Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;6.0;12.1999998093;3;21.0;1;6.0;14.0;4;20.0;
2;2;7.19999980927;11.0;3;21.0900000334;1;7.0;13.0;6;20.0;
3;2;8.21800041199;10.0;3;21.1871190071;1;8.0;12.0;5;20.0;
4;2;9.23742389679;10.0;3;21.2917383909;1;8.0;11.0;5;20.0;
5;2;9.25834751129;10.0;3;21.4042263031;1;8.0;10.0;5;20.0;
6;2;10.4212675095;10.0;3;21.5249304771;1;9.0;10.0;5;20.0;
7;2;11.4574794769;10.0;4;21.6541694403;1;9.5;10.0;5;20.0;
8;3;11.4962511063;10.0;3;22.2087649107;1;9.5;10.0;4;20.3999996185;
9;3;11.6626291275;10.1999998093;3;22.7014135122;1;9.59000015259;10.1999998093;4;20.7264003754;
10;3;11.810423851;10.3632001877;3;23.1436295509;1;9.66343975067;10.3632001877;4;20.9903717041;
11;3;11.9430885315;10.4951858521;3;24.4502608776;2;9.72283363342;10.7951860428;3;23.0419120789;
12;3;12.3350782394;11.0209560394;3;25.6018667221;2;10.184431076;11.0209560394;2;23.9543504715;
13;3;14.3350782394;11.4571752548;3;26.6129477024;2;11.9568338394;11.4571752548;2;24.7025904655;
14;3;16.3350791931;11.8107032776;3;27.5041275024;2;13.9568338394;11.8107032776;2;25.3068172932;
15;3;17.2512378693;12.0916318893;3;28.2981133461;2;15.9568338394;12.0916318893;2;25.789717555;
16;3;17.4894351959;12.3113050461;3;29.0167398453;2;16.9854335785;12.3113050461;2;26.1736010313;
17;3;17.7050209045;12.4808797836;3;29.4582490921;2;17.9954986572;12.4808797836;2;26.2577478886;
18;3;19.7242584229;12.5;4;29.883644104;2;18.7228336334;12.5;3;26.3048160076;
19;3;20.8518772125;12.5;4;30.3288545609;2;19.625;12.5;3;26.3530313969;
20;3;21.9854393005;12.5;4;30.7909274101;2;19.9294319153;12.5;5;26.4023760557;
21;3;23.1240615845;12.5;4;31.2663087845;2;19.9405345917;12.5;5;26.4528282881;
22;3;23.3798923492;12.5;4;31.7509255409;2;19.9518871307;12.5;6;26.5043625832;
23;3;23.5252780914;12.5;5;32.2403049469;2;19.9634819031;12.5;6;26.5569496155;
