Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;3;20.0;2;8.0;11.3000001907;5;21.0;
5;1;9.0;10.0;3;20.0;2;8.14999961853;10.0;5;21.0900000334;
6;1;10.0;10.0;3;20.0;2;9.24524974823;10.0;4;21.1871190071;
7;1;11.0;10.0;3;20.0;2;9.76710128784;10.0;4;21.2917383909;
8;2;12.0;10.1999998093;2;21.3999996185;2;9.79064083099;10.0;4;21.817143321;
9;2;13.1199998856;10.1999998093;2;21.7264003754;2;9.90885734558;10.1999998093;4;22.2793469429;
10;2;14.2179203033;10.3632001877;2;21.9903717041;2;10.0128526688;10.3632001877;4;22.6900259256;
11;2;14.597111702;10.4951858521;2;23.0819120407;2;10.1052560806;10.4951858521;4;23.9506295919;
12;2;14.9245738983;11.0209560394;2;23.99553442;2;10.3888921738;11.0209560394;4;25.0538563728;
13;2;16.9245738983;11.4571752548;2;24.7449600697;2;12.2042226791;11.4571752548;4;26.0146684647;
14;2;18.9245738983;11.8107032776;2;25.3503712416;2;14.2042226791;11.8107032776;4;26.8543052673;
15;2;19.9627056122;12.0916318893;2;25.8344515562;2;16.2042217255;12.0916318893;4;27.5962526798;
16;2;20.9761257172;12.3113050461;3;26.2195074558;2;16.7228336334;13.2033977509;4;28.2632865906;
17;3;21.9898986816;12.4808797836;2;26.3048160076;2;18.4656772614;12.4808797836;4;28.6547400951;
18;3;22.6125736237;12.5;3;26.3530313969;2;19.5451507568;12.5;5;29.0328326225;
19;3;24.0184822083;12.5;3;26.4023760557;2;19.625;13.5;5;29.4347915649;
20;3;24.5;12.920712471;3;26.4528282881;2;19.625;13.8304376602;5;29.8589887619;
21;3;24.5;12.9358482361;3;26.5043625832;2;19.625;14.4435958862;5;30.3031497002;
22;3;24.5;12.9513092041;1;26.5569496155;3;19.625;14.6212596893;4;30.7643566132;
23;3;24.9670848846;12.5;1;26.6105561256;3;20.625;12.6212596893;4;31.2390885353;
24;3;24.5;12.9831666946;2;26.6651450396;3;21.0287952423;12.5;4;31.7232985497;
25;3;24.5;12.99954319;3;26.72067523;3;19.625;13.5;6;32.2125329971;
26;4;24.5;13.3603372574;2;26.7771017551;4;20.625;12.5;5;32.7020812035;
27;4;23.0331306458;13.5;2;26.8343759775;4;21.3579673767;12.5;5;33.1871519089;
28;4;22.0503120422;14.5;2;26.8924454451;4;21.4671096802;12.5;6;33.6630582809;
29;4;21.0677337646;15.5;2;26.9512542486;4;17.625;14.5;6;34.1254005432;
30;4;21.5;14.4756269455;4;27.0107431412;4;16.625;16.5;6;34.570227623;
31;4;22.5;13.5053710938;4;27.0708494186;4;15.625;18.5;6;34.9941673279;
32;4;21.1212539673;13.5;4;27.1315076351;4;14.625;20.5;6;35.3945169449;
33;4;21.5;13.5;5;27.1926498413;4;14.0;22.5;7;36.7692890167;
34;4;22.5;13.5963249207;5;27.2542052269;4;15.0;24.5;7;37.1572132111;
35;5;23.5;13.5369338989;2;47.3161010742;4;16.0;26.5;7;37.5188822746;
36;5;22.5;13.5;2;48.5782637596;4;17.0;28.5;7;37.8543198109;
37;5;22.5;15.5;2;49.6582145691;4;18.0;29.7115364075;8;38.1640719175;
38;5;22.5;16.6226825714;2;50.5610380173;4;19.0;30.8978748322;9;38.4491089582;
39;5;22.5;17.6514167786;2;51.3019132614;4;19.2726631165;32.0660858154;10;38.7107260227;
40;5;22.5;18.6801662445;2;51.9016819;4;19.2829933167;33.2170829773;10;38.9504439831;
41;5;25.209569931;20.6801662445;3;52.3830661774;5;19.2935829163;34.351940155;11;39.1699278355;
42;5;26.5;22.6801662445;3;52.7525100708;5;19.3044319153;35.4718284607;11;39.3709095716;
43;5;28.5;24.1801662445;3;52.8143725395;5;20.3155345917;34.4718284607;12;39.4528282881;
44;5;30.5;25.1801662445;5;52.8758842945;5;21.3268852234;34.4718284607;12;39.5043625832;
45;5;32.7764892578;25.0;5;52.936971426;5;19.3384819031;36.4718284607;13;39.5569496155;
46;5;33.0;26.0;5;52.9975619316;5;20.3503131866;35.4718284607;14;39.6105561256;
47;5;33.25;26.3788795471;6;53.0575861931;5;19.3623752594;37.4718284607;14;40.6651450396;
48;5;34.0755462646;25.0;6;53.1169772148;5;22.0;35.4718284607;15;40.7506752014;
