Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;11.2179203033;10.3632001877;5;20.9903717041;2;9.66343975067;10.6632003784;5;21.9903717041;
11;1;11.2971115112;10.4951858521;5;22.0419120789;2;9.94783401489;10.4951858521;5;23.0619120598;
12;1;11.6125736237;11.0209560394;6;22.9143505096;2;10.1889305115;11.0209560394;5;23.9545464516;
13;1;13.2971115112;11.4571752548;6;23.6214065552;2;11.9568777084;11.4571752548;5;24.6819883585;
14;1;14.2971115112;11.8107032776;6;24.1832637787;2;13.9568777084;11.8107032776;5;25.2644146681;
15;1;15.2971115112;12.0916318893;6;24.6226100922;2;15.9568777084;12.0916318893;5;25.7245066166;
16;1;16.2971115112;12.3113050461;6;24.9617595673;2;16.9707603455;12.3113050461;5;26.0845712423;
17;1;17.2971115112;12.4808797836;6;25.0;2;17.9754657745;12.4808797836;5;26.1438889503;
18;1;18.2971115112;12.5;6;25.0;2;18.9802093506;12.5;6;26.1651208401;
19;1;19.2971115112;12.5;7;25.0;2;19.8871517181;12.5;6;26.1864993572;
20;1;19.5;12.5;7;25.0;2;19.8919620514;12.5;6;26.2080165148;
