Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;4;20.0;2;9.0;10.3000001907;5;21.0;
7;1;11.0;10.0;4;20.0;2;9.72500038147;10.0;5;21.0599999428;
8;1;11.0;10.0;4;20.3999996185;2;9.73849964142;10.0;5;21.5335636139;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.84505176544;10.1999998093;5;21.9377998114;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.93600463867;10.3632001877;5;22.2840082645;
11;2;11.2971115112;10.6951856613;3;23.0419120789;2;10.0139017105;10.4951858521;5;23.4481773376;
12;2;11.9125738144;11.0209560394;3;23.944350481;2;10.2758407593;11.0209560394;5;24.4414664507;
13;2;13.9125738144;11.4571752548;4;24.6819975376;2;12.0664348602;11.4571752548;5;25.2779132128;
14;2;15.9125738144;11.8107032776;4;25.2750298977;2;14.0664348602;11.8107032776;5;25.9779809713;
15;2;16.9401035309;12.0916318893;3;25.746127367;2;16.0664348602;12.0916318893;5;26.5645889044;
16;2;17.94962883;12.3113050461;3;26.1175945997;2;17.159778595;12.3113050461;5;27.060223341;
17;2;18.9593238831;12.4808797836;3;26.1887089014;2;18.1949882507;12.4808797836;5;27.2642745972;
18;2;19.9691867828;12.5;3;26.2221269608;2;19.23229599;12.5;6;27.439432621;
19;2;20.9792118073;12.5;3;26.2560760975;2;20.173871994;12.5;6;27.6238675117;
20;2;21.8768234253;12.5;3;26.2905418873;2;20.2153701782;12.5;6;27.8174073696;
