Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;6;20.0;1;8.0;11.0;6;20.0;
5;2;9.0;10.1999998093;5;21.0;1;8.0;10.0;6;20.0;
6;2;10.3000001907;10.0;5;21.0599999428;2;9.0;10.3000001907;5;21.0;
7;2;11.3179998398;10.0;5;21.1229639053;2;9.72500038147;10.0;5;21.0599999428;
8;2;11.336889267;10.0;5;21.6001901627;2;9.73849964142;10.0;5;21.5335636139;
9;2;11.4800567627;10.1999998093;5;22.0082015991;2;9.84505176544;10.1999998093;5;21.9377998114;
10;2;11.6024608612;10.3632001877;5;22.3582868576;2;9.93600463867;10.3632001877;5;22.2840082645;
11;2;11.7074861526;10.4951858521;5;23.5279067755;2;10.0139017105;10.4951858521;5;23.4481773376;
12;2;12.0583724976;11.0209560394;5;24.5268628597;2;10.2758407593;11.0209560394;5;24.4414664507;
13;2;14.0583724976;11.4571752548;5;25.3691681623;2;12.0664348602;11.4571752548;5;25.2779132128;
14;2;16.0583724976;11.8107032776;5;26.0752547979;2;14.0664348602;11.8107032776;5;25.9779809713;
15;2;16.8225765228;12.0916318893;5;26.6680037975;2;16.0664348602;12.0916318893;5;26.5645889044;
16;2;17.0004024506;12.3113050461;5;27.1698563099;2;17.159778595;12.3113050461;5;27.060223341;
17;2;18.9174079895;12.4808797836;5;27.3801496029;2;18.1949882507;12.4808797836;5;27.2642745972;
18;2;19.9690227509;12.5;5;27.5615134239;2;19.23229599;12.5;6;27.439432621;
19;2;21.023431778;12.5;5;27.7520513535;2;20.173871994;12.5;6;27.6238675117;
