Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;2;9.5;10.3000001907;5;21.0;
8;1;11.0;10.0;5;20.3999996185;2;9.72500038147;10.0;5;21.4999996424;
9;1;11.1199998856;10.1999998093;5;20.7264003754;2;9.8375005722;10.1999998093;5;21.9353003502;
10;1;11.2179203033;10.3632001877;5;20.9903717041;2;9.93544197083;10.3632001877;5;22.3539032936;
11;1;11.2971115112;10.4951858521;5;22.0419120789;2;10.0296278;10.4951858521;5;23.5777459145;
12;1;11.6125736237;11.0209560394;6;22.9143505096;2;10.3049936295;11.0209560394;5;24.641613245;
13;1;13.2971115112;11.4571752548;6;23.6214065552;2;12.1114673615;11.4571752548;5;25.56065166;
14;1;14.2971115112;11.8107032776;6;24.1832637787;2;14.1114673615;11.8107032776;5;26.3563964367;
15;1;15.2971115112;12.0916318893;6;24.6226100922;2;16.1114673615;12.0916318893;5;27.0527563095;
16;1;16.2971115112;12.3113050461;6;24.9617595673;2;17.2696170807;12.3113050461;5;27.6730701923;
17;2;18.2971115112;12.6808795929;5;26.0;2;18.3328781128;12.4808797836;5;28.0173821449;
18;2;20.2971115112;12.5;5;26.0199999809;2;19.4017448425;12.5;6;28.3487696648;
19;2;21.6031112671;12.5;6;26.0401959419;2;19.625;12.5;6;28.7054548264;
20;2;21.5;12.8120584488;5;26.0605818033;2;19.625;12.5;6;29.0869145393;
