Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;2;9.0;10.1999998093;4;21.0;1;8.0;10.0;6;20.0;
6;2;10.3000001907;10.0;4;21.0900000334;1;9.0;10.0;6;20.0;
7;2;11.3269996643;10.0;4;21.1871190071;1;9.5;10.0;6;20.0;
8;2;11.3561353683;10.0;4;21.7036092281;2;9.5;10.3000001907;5;21.3999996185;
9;2;11.5110826492;10.1999998093;4;22.1564130783;2;9.81500053406;10.1999998093;5;21.7964004278;
10;2;11.6469240189;10.3632001877;4;22.557236433;2;9.90419006348;10.3632001877;5;22.1345227957;
11;2;11.7671709061;10.4951858521;4;23.8035871983;2;9.98026752472;10.4951858521;5;23.2873874903;
12;2;12.141076088;11.0209560394;4;24.8916251659;2;10.2396621704;11.0209560394;5;24.268861413;
13;2;14.141076088;11.4571752548;5;25.8364036083;2;12.027598381;11.4571752548;5;25.093021512;
14;2;16.1410751343;11.8107032776;5;26.6592981815;2;14.027598381;11.8107032776;5;25.7803837061;
15;2;17.3553848267;12.0916318893;5;27.3839819431;2;16.0275993347;12.0916318893;5;26.3539340496;
16;2;18.440984726;12.3113050461;5;28.0334718227;2;17.1123809814;12.3113050461;5;26.8362411261;
17;2;19.5340881348;12.4808797836;5;28.407397747;2;18.1445922852;12.4808797836;5;27.0267930031;
18;2;20.6347923279;12.5;5;28.7683298588;2;18.7228336334;13.1080379486;6;27.1883933544;
19;2;21.7430725098;12.5;5;29.1538929939;2;19.625;13.1565179825;6;27.3593420982;
20;2;22.7461681366;12.5;6;29.562889576;2;19.625;13.2078027725;6;27.5396113396;
