Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;5;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;4;20.0;
8;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2179203033;10.3632001877;5;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;11.2971115112;10.6951856613;4;23.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;11.9125738144;11.0209560394;4;23.9543504715;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;13.9125738144;11.4571752548;5;24.7025904655;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;15.9125738144;11.8107032776;5;25.3068172932;1;12.7228336334;11.8107032776;4;24.1832637787;
15;2;16.949640274;12.0916318893;5;25.789717555;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;17.9627056122;12.3113050461;5;26.1736010313;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;18.9761257172;12.4808797836;5;26.2577478886;1;15.7228336334;12.4808797836;4;25.0;
18;2;19.9898986816;12.5;5;26.3048160076;1;16.7228336334;12.5;5;25.0;
19;2;20.6125736237;12.8914451599;5;26.3530313969;1;17.625;12.5;5;25.0;
20;2;21.9059104919;12.5;6;26.4023760557;1;17.625;12.5;6;25.0;
