Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
149;11;38.0641365051;99.048034668;19;56.4788351059;8;28.6749992371;76.1999969482;15;69.1611839533;
150;11;39.7400970459;99.0901184082;20;57.5668284893;8;27.6749992371;79.1999969482;15;69.2890895605;
151;11;38.8234214783;102.131782532;22;58.6956605911;8;27.1900444031;82.1999969482;15;69.4239569902;
152;11;39.9145126343;103.172958374;23;59.8676140308;8;26.2203903198;85.1999969482;13;69.5660107136;
153;11;40.0137214661;104.213607788;23;61.9657006264;8;24.6749992371;88.1999969482;14;69.7154545784;
154;11;40.1213264465;108.887588501;24;63.1780426502;8;24.2859764099;88.1999969482;16;69.8724671602;
155;11;42.2375144958;110.003303528;25;64.4460339546;8;23.375;91.1999969482;17;70.0371958017;
156;11;42.3623580933;111.120079041;25;65.7638128996;8;23.6794319153;91.8841629028;18;70.2097511292;
157;11;41.4957923889;115.237747192;26;67.12353158;8;23.375;94.0073776245;19;70.3902010918;
158;11;42.6375999451;116.356124878;27;68.4455217123;8;23.7018852234;94.1373748779;20;70.5785648823;
159;11;42.7873878479;117.475021362;28;69.7836068869;8;23.7134819031;95.2742004395;20;70.7748069763;
160;11;41.9445762634;121.594245911;30;71.1361050606;8;23.8740177155;95.2742004395;23;70.978831768;
161;11;43.1083984375;122.713600159;32;72.490167737;8;24.270236969;95.1999969482;24;71.1904782057;
162;12;43.2778930664;123.832855225;34;73.8331432343;8;24.3178577423;96.1999969482;23;71.4095153809;
