Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;8.0;11.0;6;20.0;
5;1;9.60000038147;11.5;6;23.0;1;8.0;10.0;6;20.0;
6;1;10.6000003815;11.5;6;23.0;1;9.0;10.0;6;20.0;
7;2;11.6000003815;11.6999998093;5;24.0;1;9.5;10.0;6;20.0;
8;2;12.1999998093;11.5;5;24.5449991226;1;9.5;10.0;6;20.3999996185;
9;2;12.3635005951;11.7299995422;5;24.9975861311;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;12.4992761612;11.9106416702;5;25.2742146254;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;12.5822649002;12.0;5;26.6045138836;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;14.5677394867;12.6000003815;5;27.7039059401;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;16.5677394867;13.0788002014;5;28.6013240814;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;18.5677394867;13.4505519867;5;29.3325686455;2;13.7228336334;12.1107034683;5;25.1832637787;
15;2;19.7064361572;13.7328653336;5;29.9338023663;2;15.7228336334;12.3916320801;5;25.6526100636;
16;2;20.1463851929;13.943564415;5;30.240152359;2;16.9545841217;12.3113050461;5;26.0223505497;
17;2;21.1463851929;14.0;5;30.4475870132;2;17.7228336334;12.7990570068;4;26.091766119;
18;2;22.1463851929;14.0;5;30.6691527367;2;18.7228336334;12.5;4;26.1235172749;
19;2;22.3999996185;14.0;7;30.9048614502;2;19.625;12.5;4;26.1558350325;
20;2;22.3999996185;14.0;7;31.154538393;2;19.625;12.5;4;26.1887089014;
21;2;22.3999996185;14.0;7;31.4177992344;2;19.625;12.9754838943;6;26.2221269608;
22;2;22.3999996185;14.0;7;31.6940326691;3;19.8999786377;12.5;4;31.2560760975;
23;2;22.3999996185;14.0;9;31.9823875427;3;20.625;13.0024299622;4;31.4405419827;
24;2;22.3999996185;14.0;9;32.2817678452;3;21.625;13.0162162781;4;31.6222834587;
25;3;22.3999996185;14.0;8;32.5908355713;3;22.9232387543;12.5;5;31.8009177446;
26;3;22.3999996185;14.0;9;32.9080238342;3;23.2569885254;13.0443840027;5;31.9760990143;
27;3;20.3999996185;15.0;9;33.2315597534;3;23.6130638123;12.5;5;32.1475217342;
28;3;19.3999996185;16.0;9;33.5594968796;3;23.6617641449;12.5;5;32.3149218559;
29;3;18.3999996185;17.0;9;33.8897590637;3;21.7092247009;13.5;5;32.4780768156;
30;3;17.3999996185;18.0;10;34.2201886177;3;20.4162578583;15.5;5;32.6368056536;
31;3;16.3999996185;19.0;10;34.5486030579;4;19.4526062012;16.5813522339;4;32.7909682989;
32;3;15.3999996185;20.0;9;34.8728504181;4;18.4874763489;16.5;4;32.9404631853;
33;3;14.3999996185;21.0;9;35.190867424;4;17.8958473206;18.5;4;33.0852262974;
34;3;14.0;22.0;9;36.5007314682;4;17.9277057648;19.6616764069;4;33.2252277136;
35;3;15.0;23.0;10;36.8582059145;4;17.9580535889;20.6888656616;5;33.3604683876;
36;3;16.0;24.0;11;37.2069754601;4;17.9869003296;21.7162284851;5;33.4909781218;
37;3;16.3353099823;25.0;12;37.545830369;4;18.0142593384;22.7437458038;6;33.6168112755;
38;3;16.3541946411;26.0;12;37.8738186359;4;18.0401592255;23.771396637;6;33.7380439043;
39;3;16.3739204407;27.0;12;38.1902451515;4;18.0646286011;24.799161911;6;33.8547712564;
40;3;17.3945007324;25.0;13;38.4946695566;4;18.0877113342;25.8270168304;7;33.9356285334;
41;3;16.4159412384;26.0;14;38.7868831158;4;18.1000003815;26.8549404144;7;33.9755871296;
42;3;16.4382514954;27.0;14;39.0668926239;4;18.1000003815;27.8829116821;9;34.015581131;
43;3;17.4614295959;25.0;14;39.3348897696;4;18.1000003815;28.9109077454;9;34.0555787086;
44;3;16.4854793549;26.0;17;39.5912184715;4;18.1000003815;29.9389057159;9;34.0955479145;
45;4;16.5103931427;27.0;16;39.8363492489;4;18.1000003815;30.9668827057;10;34.135456562;
46;4;17.0;27.0;16;40.0708432198;4;17.1000003815;29.9948196411;11;34.17527318;
47;4;18.0;28.0;18;40.2953264713;4;19.1000003815;30.9948196411;11;34.2149660587;
48;4;19.0;29.0;18;40.5104625225;4;21.598367691;31.9948196411;12;34.2545039654;
49;4;20.0;30.0;19;40.6580765247;4;22.6072635651;32.9948196411;13;34.293856144;
50;4;21.0;31.0;20;40.7571737766;4;23.1000003815;33.9948196411;14;34.3329925537;
51;4;22.0;30.0;20;40.8585846424;4;24.2499237061;32.5;15;34.3718836308;
52;4;23.0;29.0;20;40.9621598721;4;24.2586746216;31.5;16;35.4105007648;
53;4;24.0;29.0;20;41.0677332878;4;24.7250003815;32.5;16;35.4788155556;
54;4;24.3999996185;29.0;20;41.1751227379;4;25.7250003815;33.2141723633;17;35.5473921299;
55;4;24.3999996185;29.0;20;42.2841308117;4;26.2845306396;31.5;18;35.6161975861;
56;4;25.3999996185;30.0;20;42.5170457363;5;25.7250003815;32.5;16;45.6851985455;
57;4;26.3999996185;31.0;20;42.7647746801;5;27.3013782501;33.5;16;46.1543611288;
58;4;26.3999996185;32.0;21;43.0282474756;5;27.7250003815;35.5;17;46.5980528593;
59;4;26.3999996185;33.0;21;43.3083946705;5;29.3178634644;35.5;17;47.0149784088;
60;4;26.3999996185;34.0;22;43.6061245203;6;30.3259563446;36.5;16;47.404522419;
61;4;26.3999996185;34.0;24;43.9222931862;6;27.7250003815;37.5;14;47.7666816711;
62;4;26.3999996185;34.0;24;44.257668972;6;29.3418197632;37.5;14;48.1019756794;
63;4;26.3999996185;34.0;24;44.6128895283;6;27.7250003815;39.5;15;48.4113510847;
64;5;26.3999996185;34.0;24;44.9884138107;6;27.7250003815;41.4669342041;15;48.6960809231;
65;5;26.3999996185;34.0;24;45.3844687939;6;28.7250003815;39.4903411865;15;48.9576671124;
66;5;26.3999996185;34.0;24;45.8009943962;6;27.7250003815;40.5133628845;15;49.1977555752;
67;5;26.3999996185;34.0;24;46.2375876904;6;28.3794250488;39.5133628845;16;50.4180639982;
68;5;26.3999996185;34.0;24;46.6934518814;6;29.3865680695;41.5;16;50.5462464094;
69;5;26.3999996185;34.0;24;47.1673526764;6;31.393579483;40.5;17;50.6433073282;
70;5;26.3999996185;34.0;24;47.6575884819;8;31.9636325836;41.5;17;66.9727414846;
71;5;26.3999996185;34.0;24;48.1619796753;8;31.9541473389;45.5;17;69.1609070301;
72;5;26.3999996185;34.0;25;50.4922327995;8;31.9637470245;48.141998291;17;71.0090433359;
73;5;26.8199996948;34.7000007629;25;52.4858093262;8;32.9901123047;50.5735549927;18;72.5543649197;
74;5;27.1375198364;35.2291984558;26;54.1952719688;8;32.5345115662;50.8708152771;18;73.8099931479;
75;5;27.369758606;35.6162643433;26;55.6771535873;8;34.2729911804;50.6872596741;19;74.5931395292;
76;5;27.5353660583;35.8922767639;27;56.8106307983;9;35.5555648804;52.0;18;75.1232103109;
77;5;27.6000003815;36.0;27;57.7100028992;9;34.2592658997;55.6826896667;18;75.589933753;
78;5;27.6000003815;36.0;27;58.5837101936;9;34.2592658997;58.0906639099;18;76.0024129152;
79;5;27.6000003815;36.0;27;59.3850417137;9;34.2592658997;60.1540489197;20;76.1729023457;
80;5;25.6000003815;37.0;27;60.0719594955;9;32.2592658997;60.1799507141;21;76.3392326832;
81;5;24.6000003815;38.0;27;60.7277503014;9;33.0;61.0;20;76.505887866;
82;5;23.6000003815;39.0;27;61.3469934464;9;33.0;63.0;21;76.6727262735;
83;6;22.6000003815;40.0;26;61.9256415367;10;34.0;67.0;21;76.8396046162;
84;6;21.6000003815;41.0;26;62.4610786438;10;36.0;68.0;21;77.0063785315;
85;6;20.6000003815;42.0;25;62.9520688057;10;35.0999984741;71.6335983276;21;77.1729025841;
86;6;19.6000003815;43.0;26;63.3986225128;10;35.0999984741;74.6661987305;21;77.3390308619;
87;6;18.6000003815;44.0;26;63.8018040657;11;34.0999984741;77.6335983276;18;90.2546175718;
88;6;18.0;45.0;26;64.1276369095;11;32.0;79.6166992188;18;91.2163925171;
89;6;18.0;46.0;26;64.3921575546;12;32.0;85.6465301514;18;92.1191885471;
90;6;18.0;47.0;26;64.6235609055;13;33.0;88.676651001;16;92.9322061539;
91;6;18.0;48.0;27;64.824845314;13;32.0;94.7070465088;15;93.6593794823;
92;6;18.0;49.0;27;64.9990606308;13;32.0;100.737670898;15;94.3168559074;
93;6;18.0;50.0;24;65.0;13;33.0;102.768493652;15;94.9064245224;
94;6;18.0;51.0;23;66.0;13;32.0;107.799484253;18;95.4318351746;
95;6;20.0;50.0;24;65.9750000238;13;32.0;113.830589294;19;96.8981559277;
96;6;20.0;52.0;24;65.9525000453;13;36.0;112.861785889;19;97.3711869717;
97;6;20.0;54.0;24;65.9322500229;13;36.0;118.893028259;21;97.7999434471;
98;6;21.0;53.0;24;65.9140250087;14;37.0;124.92427063;21;98.1343501806;
99;6;20.0;55.0;26;65.8976225257;14;40.0;124.121894836;23;99.321808815;
100;6;20.0;56.0;26;65.8828603029;14;40.0;130.153045654;25;99.7612646818;
