Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;4;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;12.0;4;20.0;
4;1;11.8999996185;8.625;6;17.25;1;8.0;11.0;4;20.0;
5;1;12.8999996185;8.625;6;17.25;1;8.0;10.0;4;20.0;
6;1;13.8999996185;8.625;6;17.25;1;9.0;10.0;4;20.0;
7;1;14.8999996185;8.625;6;17.5949993134;1;9.5;10.0;4;20.0;
8;1;15.5569992065;8.79749965668;6;17.8861961365;1;9.5;10.0;4;20.3999996185;
9;1;15.7317180634;8.94309806824;6;18.6667137146;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;16.8000278473;9.3333568573;5;20.3355960846;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;18.8000278473;9.6677980423;5;20.9391126633;2;9.72283363342;10.7951860428;3;23.0419120789;
12;2;20.8000278473;9.94955635071;5;21.4481024742;2;10.184431076;11.0209560394;3;24.004350543;
13;2;21.2000274658;10.1834592819;5;21.8739979267;2;11.9680833817;11.4571752548;3;24.8085255623;
14;2;21.4502677917;10.3752222061;5;22.2287167311;2;13.9680833817;11.8107032776;3;25.4750021696;
15;2;21.6369667053;10.5308046341;5;22.461841464;2;15.7228336334;12.4791536331;3;26.0268363953;
16;2;21.75;10.625;5;22.5077478886;2;16.7228336334;12.7325725555;3;26.4866900444;
17;2;21.75;10.625;5;22.5548160076;2;18.0659427643;12.4808797836;5;26.6541694403;
18;2;21.75;10.625;5;22.6030313969;3;18.7228336334;12.5;4;26.7922235727;
19;2;21.75;10.625;5;22.6523760557;3;19.625;12.5;4;26.9393253326;
20;2;21.75;10.625;5;22.7028282881;3;19.625;12.5;4;27.0956480503;
21;2;23.75;10.625;5;22.7543625832;3;19.625;12.5;4;27.261295557;
22;2;24.75;10.625;5;22.8069496155;3;19.625;12.5;4;27.4362905025;
23;2;25.75;10.625;5;22.8605561256;3;19.625;12.5;8;27.6205644608;
24;2;26.75;10.625;6;22.9151450396;4;19.625;12.5;4;32.8139474392;
25;2;26.75;10.625;6;22.97067523;4;20.625;12.5;5;33.1661593914;
26;2;26.75;10.625;7;23.0271017551;4;21.625;12.5;5;33.5235779285;
27;2;26.75;10.625;7;23.0843759775;4;21.625;12.5;5;33.8853194714;
28;2;26.75;10.625;7;23.1424454451;4;19.625;13.5;5;34.2504155636;
29;2;26.75;10.625;7;23.2012542486;4;18.625;14.5;5;34.617818594;
