Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.0;10.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;1;11.0;10.0;5;20.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;11.0;10.0;5;20.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;11.0;10.0;5;20.0;2;8.32806777954;10.5;3;22.2917383909;
5;1;12.0;10.0;5;20.0;2;8.34376049042;10.5;3;22.4042263031;
6;2;13.4499998093;10.0;3;21.0;2;9.46595096588;10.5;3;22.5249304771;
7;2;14.4499998093;10.0;3;21.4999996424;2;10.0681095123;10.5;3;22.6541694403;
8;2;14.6750001907;10.1999998093;3;21.9353003502;2;10.0971889496;10.5;3;23.2287653685;
9;2;14.8708848953;10.3632001877;3;23.1829590797;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;15.4323320389;10.9097137451;3;24.267437458;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;17.4323310852;11.3658018112;3;25.2018244267;2;10.4344825745;11.0;3;26.0129473209;
12;2;19.4323310852;11.7372808456;2;26.0066431761;2;10.8529129028;11.7700004578;3;27.6574776173;
13;2;20.6914024353;12.0336990356;3;26.7056586742;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;21.7966518402;12.2662630081;3;27.3226804733;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;22.9123077393;12.446267128;3;27.7113106251;2;16.5872421265;13.3366470337;3;31.4625301361;
16;2;24.0388336182;12.5;3;28.0173821449;2;17.8879413605;13.6469516754;3;32.4630823135;
17;2;25.1765651703;12.5;3;28.3487696648;2;19.0082912445;13.879781723;3;33.2818861008;
18;2;26.3256893158;12.5;3;28.7054548264;2;20.138425827;14.0;3;33.9008235931;
19;2;26.9174537659;12.5;4;29.0869145393;2;21.2776870728;14.0;3;34.5557665825;
20;2;27.0891113281;12.5;4;29.4920539856;2;21.7750473022;14.0;3;35.2404661179;
21;2;27.2714233398;12.5;4;29.9191560745;2;21.9291038513;14.0;3;35.9471020699;
22;2;27.4636192322;12.5;4;30.3658571243;2;22.0880966187;14.0;4;36.6665449142;
23;2;27.6646347046;12.5;4;30.8291530609;2;22.2499713898;14.0;4;37.3887672424;
24;2;27.8731193542;12.5;4;31.3054442406;2;22.4124717712;14.0;4;38.1033678055;
25;2;28.0874500275;12.5;4;31.790620327;2;22.5732574463;14.0;4;38.8001594543;
26;2;28.3057785034;12.5;4;32.2801818848;2;22.7300338745;14.0;4;39.4697523117;
27;2;28.5260810852;12.5;4;32.7693967819;2;22.8806934357;14.0;4;40.1040582657;
28;2;28.7462291718;12.5;4;33.2534770966;2;23.0234127045;14.0;4;40.6966657639;
29;2;28.9640655518;12.5;4;33.7277650833;2;23.1567497253;14.0;4;41.2430458069;
30;2;29.1774940491;12.5;4;34.187912941;2;23.2796840668;14.0;4;41.7405805588;
31;2;29.3845596313;12.5;4;34.6300430298;2;23.3916301727;14.0;4;42.1884441376;
32;2;29.5835189819;12.5;4;35.0508718491;2;23.4923992157;14.0;4;42.5873603821;
33;2;29.7728919983;12.5;4;35.4477939606;2;23.5821552277;14.0;4;42.9393005371;
34;2;29.9515075684;12.5;5;35.8189210892;2;23.6613426208;14.0;4;43.2471542358;
35;2;30.1185150146;14.5;5;36.1630792618;2;23.7306098938;14.0;4;43.5144128799;
36;2;30.2733860016;16.5;5;36.4797668457;2;23.7907428741;14.0;5;43.744893074;
37;2;30.415895462;18.5;5;36.7690839767;2;23.8425998688;14.0;5;43.9425086975;
38;2;30.546087265;20.5;5;37.0316419601;2;23.8870639801;14.0;6;44.0;
39;2;30.6642379761;22.5;5;37.2684679031;2;23.8999996185;14.0;6;44.0;
40;3;31.7708110809;23.5;4;38.4809007645;2;23.8999996185;14.0;6;44.0;
41;3;32.8664054871;24.5;4;38.8004978895;2;23.8999996185;14.0;6;44.0;
42;3;33.4602241516;25.5;4;39.1143831015;2;23.8999996185;16.0;6;44.0;
43;3;33.6014709473;26.5;5;39.4257421494;2;23.8999996185;18.0;6;44.0;
44;3;33.7415847778;27.5;5;39.6183350086;2;23.8999996185;20.0;5;44.0;
45;3;33.828250885;27.5;6;39.8187118769;2;23.8999996185;22.0;5;44.0;
46;3;33.9184188843;27.5;6;40.0402543545;2;23.8999996185;24.0;7;44.0;
47;3;34.0181121826;27.5;7;40.2842636108;2;23.8999996185;24.0;7;44.0;
48;4;34.1279182434;27.5;6;40.5518820286;2;23.8999996185;24.0;7;44.0;
49;4;35.2483444214;28.5;6;41.8440244198;2;23.8999996185;24.0;8;44.0;
50;4;36.3798103333;29.5;7;42.2013030052;2;23.8999996185;24.0;8;44.0;
51;4;36.9905853271;30.5;7;42.5851309299;2;23.8999996185;24.0;8;44.0;
52;4;37.1633071899;31.5;7;42.9952766895;2;23.8999996185;24.0;8;44.0;
