Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;11.0;10.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;11.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;12.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
6;1;13.0;10.0;6;20.0;1;9.14999961853;10.5;5;21.0;
7;1;14.0;10.0;6;20.3999996185;1;9.72500038147;10.5;5;21.0;
8;1;14.1800003052;10.1999998093;6;20.7264003754;1;9.72500038147;10.5;5;21.4200000763;
9;1;14.3268795013;10.3632001877;6;21.8194274902;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;15.2687425613;10.9097137451;5;23.7316036224;1;9.8956489563;10.8792181015;5;22.0;
11;2;17.268743515;11.3658018112;5;24.5145616531;1;9.94999980927;11.0;5;23.5400009155;
12;2;19.268743515;11.7372808456;5;25.1485819817;2;10.296500206;11.970000267;5;25.8252849579;
13;2;20.3052749634;12.0336990356;5;25.6560795307;2;12.1750001907;12.4126424789;5;27.021669507;
14;2;20.5452346802;12.2662630081;5;26.0596417189;2;14.1750001907;12.9308347702;5;28.0170379877;
15;2;20.7268390656;12.446267128;5;26.211841464;2;16.1749992371;13.3366470337;5;28.8480272293;
16;2;20.7953281403;12.5;5;26.2577478886;2;17.2996768951;13.6469516754;5;29.5537353754;
17;2;22.7676277161;12.5;5;26.3048160076;2;18.3536891937;13.879781723;5;30.0669906139;
18;2;23.7888088226;12.5;5;26.3530313969;2;19.4150733948;14.0;5;30.375654459;
19;2;24.8105049133;12.5;6;26.4023760557;2;20.4845237732;14.0;5;30.7230784893;
20;2;25.8327102661;12.5;6;26.4528282881;2;20.9126911163;14.0;5;31.1118502617;
21;2;25.25;12.8632068634;6;26.5043625832;2;20.2999992371;14.9335546494;5;31.544028759;
22;2;25.25;12.8760910034;6;26.5569496155;2;21.0974063873;14.0;5;32.0209121704;
23;2;25.25;12.8892374039;6;26.6105561256;2;21.2047042847;14.0;6;32.5427899361;
24;2;25.9747505188;12.5;6;26.6651450396;2;20.2999992371;15.0;6;33.1086950302;
25;2;25.9993152618;12.5;6;26.72067523;2;21.2999992371;14.0;6;33.7161855698;
26;2;26.0243034363;12.5;8;26.7771017551;2;21.5861415863;14.0;6;34.3611893654;
27;4;26.0496959686;12.5;6;26.8343759775;2;21.7312660217;14.0;7;35.0379443169;
28;4;26.0754699707;12.5;6;26.8924454451;2;21.8835372925;14.0;7;35.7390680313;
29;4;26.101600647;12.5;6;26.9512542486;3;23.0412902832;14.5;6;37.4557781219;
30;4;26.1280651093;12.5;7;27.0107431412;3;22.2025489807;15.5;6;38.3382588625;
31;4;26.1548347473;12.5;7;27.0708494186;3;21.36510849;16.0;6;39.2399021387;
