Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;11.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;12.0;10.0;5;20.0;1;8.14999961853;10.5;4;21.0;
6;1;13.0;10.0;5;20.0;2;9.14999961853;10.6999998093;3;22.0;
7;1;14.0;10.0;4;20.3999996185;2;9.95000076294;10.5;3;22.0900000334;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;9.9702501297;10.5;3;22.618019104;
9;2;14.7768793106;10.3632001877;3;22.8194274902;2;10.0890541077;10.7100000381;3;23.0738848448;
10;2;15.2687425613;10.9097137451;3;23.8616036177;2;10.1916246414;10.8792181015;3;23.442843914;
11;2;17.268743515;11.3658018112;3;24.7499927282;2;10.2746400833;11.0;3;25.2073103189;
12;2;19.268743515;11.7372808456;3;25.5051221848;2;10.6716451645;11.7700004578;4;26.7482377291;
13;2;20.465719223;12.0336990356;4;26.1508610249;2;12.3826637268;12.4126424789;4;28.074546814;
14;2;21.5469932556;12.2662630081;4;26.7112461329;2;14.3826637268;12.9308347702;4;29.2133922577;
15;2;22.6371631622;12.446267128;4;27.0402543545;2;16.3826637268;13.3366470337;4;30.2012972832;
16;2;23.7368564606;12.5;4;27.2842636108;2;17.6041641235;13.6469516754;4;31.0766849518;
17;2;24.846660614;12.5;4;27.5518820286;2;18.696352005;13.879781723;4;31.7709991932;
18;2;25.9670906067;12.5;4;27.8440244198;2;19.7984752655;14.0;4;32.2698645592;
19;2;26.5298118591;12.5;5;28.1613030434;2;20.9107208252;14.0;4;32.8134241104;
20;2;26.672586441;12.5;5;28.5039470196;2;21.383020401;14.0;4;33.400015831;
21;2;26.8267765045;12.5;5;28.871723175;2;21.5150032043;14.0;4;34.0264167786;
22;2;26.992275238;12.5;4;29.263862133;2;21.6559429169;14.0;4;34.6877307892;
23;2;27.1687374115;12.5;4;29.6789975166;2;21.8047389984;14.0;5;35.3773875237;
24;2;27.3555488586;12.5;4;30.1151270866;2;21.9599113464;14.0;5;36.0872850418;
25;2;27.5518074036;12.5;4;30.5695996284;2;22.119638443;14.0;5;36.8080816269;
26;2;27.7563209534;12.5;4;31.0391392708;2;22.2818183899;14.0;5;37.5296325684;
27;2;27.9676132202;12.5;4;31.5199065208;2;22.4441661835;14.0;6;38.2415313721;
28;2;28.1839580536;12.5;4;32.007601738;2;22.6043434143;14.0;6;38.9337024689;
29;2;28.403421402;12.5;4;32.4976010323;2;22.7600822449;14.0;5;39.5969734192;
30;2;28.6239204407;12.5;3;32.9851250648;2;20.9093170166;15.0;5;40.2235612869;
31;2;28.8433074951;12.5;3;33.465420723;2;20.0503005981;16.0;5;40.8074121475;
