Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;11.0;10.0;5;20.0;2;7.0;11.8999996185;4;22.0;
3;1;11.0;10.0;5;20.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;11.0;10.0;5;20.0;2;8.31349945068;10.5;4;22.1871190071;
5;1;12.0;10.0;5;20.0;2;8.32806777954;10.5;4;22.2917383909;
6;1;13.0;10.0;5;20.0;2;9.44064044952;10.5;4;22.4042263031;
7;1;14.0;10.0;5;20.3999996185;2;10.0409517288;10.5;4;22.5249304771;
8;2;14.6300001144;10.1999998093;4;21.7264003754;2;10.0681095123;10.5;4;23.0894187689;
9;2;14.7768793106;10.3632001877;4;22.8394274712;2;10.1951189041;10.7100000381;4;23.5836213827;
10;2;15.2777423859;10.9097137451;4;23.7717995644;2;10.3063154221;10.8792181015;4;23.9926425219;
11;2;17.2777423859;11.3658018112;3;24.5351434946;2;10.3983440399;11.0;4;25.8316864967;
12;2;19.2777423859;11.7372808456;3;25.1485489607;2;10.8121290207;11.7700004578;5;27.4540388584;
13;2;20.3052597046;12.0336990356;3;25.6344225407;2;12.541469574;12.4126424789;5;28.8682081699;
14;2;20.535490036;12.2662630081;3;26.0153459311;2;14.541469574;12.9308347702;5;30.1005516052;
15;2;20.706905365;12.446267128;3;26.1438889503;2;16.541469574;13.3366470337;5;31.1863336563;
16;2;20.764749527;12.5;3;26.1651208401;2;17.8257961273;13.6469516754;5;32.1621966362;
17;2;22.725944519;12.5;3;26.1864993572;2;18.9405918121;13.879781723;5;32.9572491646;
18;2;23.7355651855;12.5;3;26.2080165148;2;20.0653820038;14.0;5;33.5542383194;
19;2;24.7452487946;12.5;3;26.2296639681;2;21.1997051239;14.0;5;34.1899633408;
20;2;25.754989624;12.5;3;26.2514331341;2;21.692741394;14.0;5;34.8591008186;
21;2;25.8131446838;12.5;5;26.2733153105;2;21.843296051;14.0;5;35.5546751022;
22;2;25.8229923248;12.5;5;26.2953014374;2;21.9998016357;14.0;5;36.2682390213;
23;2;25.8328857422;12.5;6;26.3173824549;2;22.1603527069;14.0;6;36.9902019501;
24;2;25.8428230286;12.5;6;26.3395489454;2;22.3227958679;14.0;6;37.7102985382;
25;2;25.8527965546;12.5;6;26.3617914915;2;22.4848175049;14.0;6;38.4181499481;
26;2;25.8628063202;12.5;6;26.3841004372;3;23.6440830231;14.3000001907;5;40.1038570404;
27;2;25.872844696;12.5;6;26.4064661264;3;24.7983665466;14.3000001907;5;40.9185563326;
28;2;25.8829097748;12.5;6;26.428878665;3;24.9456748962;14.5799999237;5;41.7186180353;
29;2;25.8929958344;12.5;6;26.4513280392;3;25.3866882324;14.0;5;42.5013513565;
30;2;25.25;13.0805311203;6;26.4738043547;3;23.5628032684;15.0;6;43.2661215067;
31;2;25.25;13.0895214081;6;26.4962974787;3;22.7348766327;16.0;6;44.0142371655;
32;2;25.25;13.0985193253;6;26.5187973976;3;21.9032020569;17.0;5;44.7486755848;
33;2;25.25;13.1075191498;6;26.5412938595;3;21.0684509277;18.0;4;45.4736754894;
34;2;25.25;13.1165180206;7;26.5637768507;3;20.2315750122;19.0;4;46.1942477226;
35;2;25.25;13.1255111694;7;26.5862361193;3;20.093706131;20.0;4;46.9156470299;
36;2;25.25;13.1344947815;7;26.6086617708;3;20.2560214996;21.0;4;47.6428394318;
