Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;2;9.19999980927;10.0;3;21.0;1;13.0;10.0;4;20.0;
2;2;9.19999980927;10.0;3;21.0399999619;1;13.0;10.0;4;20.0;
3;2;9.20800018311;10.0;3;21.0811839104;1;13.0;10.0;4;20.0;
4;2;9.21623706818;10.0;3;21.1235535145;2;14.6000003815;10.0;3;21.0;
5;2;10.3370656967;10.0;3;21.1671074629;2;15.6000003815;10.0;3;21.1349999905;
6;2;11.3501319885;10.0;3;21.211841464;2;16.6809997559;10.0;3;21.6980423927;
7;2;11.3635520935;10.0;3;21.6698659658;2;17.7788257599;10.1999998093;3;22.2087906599;
8;2;11.5009593964;10.1999998093;3;22.056333065;2;18.3252754211;10.3632001877;3;23.5540851355;
9;2;11.616900444;10.3632001877;3;22.3824131489;2;19.1324501038;10.9097137451;3;24.7570824623;
10;2;11.714723587;10.4951858521;3;23.5259389877;2;21.1324501038;11.3658018112;3;25.8337285519;
11;2;12.0577812195;11.0209560394;3;24.4950761795;2;23.1324501038;11.7372808456;3;26.8073542118;
12;2;14.0577812195;11.4571752548;2;25.3036032915;2;24.7356300354;12.0336990356;4;27.7043004036;
13;2;15.6125736237;12.3994722366;3;25.9717383385;2;25.994720459;12.2662630081;4;28.5504853725;
14;2;17.1491165161;12.0916318893;4;26.5221761465;2;27.2864265442;12.446267128;4;29.2008662224;
15;2;18.1824436188;12.3113050461;4;26.9772074223;2;28.6121749878;12.5;4;29.8015537262;
16;2;19.2172088623;12.4808797836;4;27.1360633373;2;29.9725875854;12.5;4;30.459291935;
17;2;20.2533931732;12.5;4;27.2613208294;2;31.367231369;12.5;4;31.1712222099;
18;2;21.2909698486;12.5;4;27.3910908699;2;32.7027320862;12.5;4;31.9320583344;
19;2;22.2173271179;12.5;4;27.5252048969;2;33.1592330933;12.5;4;32.7339549065;
20;2;22.25756073;12.5;5;27.663454771;2;33.64037323;12.5;4;33.5665960312;
21;2;22.299036026;12.5;5;27.8055913448;2;34.139957428;12.5;4;34.4175510406;
22;2;22.341676712;12.5;5;27.9513251781;2;34.6505317688;12.5;4;35.2728948593;
23;3;22.3853969574;12.5;4;28.1003279686;2;35.163734436;12.5;4;36.1180562973;
24;3;22.43009758;12.5;4;28.2522339821;2;35.6708335876;12.5;4;36.9387845993;
25;3;21.5;13.5;4;28.406642437;2;36.163269043;12.5;4;37.7221136093;
26;3;21.5;14.5;5;28.5631217957;2;36.6332702637;12.5;4;38.4571828842;
27;3;21.5;14.6378726959;5;28.7212131023;2;37.0743103027;12.5;4;39.1358041763;
28;3;21.5;14.7327280045;5;28.8804359436;2;37.4814834595;12.5;4;39.7527179718;
29;3;21.5;14.8282613754;5;29.0402932167;2;37.8516311646;12.5;5;40.3055438995;
30;3;21.5;14.9241762161;5;29.2002768517;2;38.1833267212;14.5;5;40.7944726944;
31;3;21.5;15.0201663971;5;29.359875679;2;38.4766845703;16.5;7;41.2217960358;
32;3;20.5;14.0201663971;4;29.5185804367;2;38.7330780029;18.5;7;41.5913619995;
33;3;19.8555736542;14.5;5;29.6758913994;2;38.9548187256;20.5;8;41.9080314636;
34;3;18.9027671814;15.5;5;30.8313231468;2;39.144821167;22.5;8;42.1772022247;
