Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
87;7;21.0;41.1090011597;22;61.1722679138;8;24.5419654846;44.9552726746;12;64.281191349;
88;7;21.0;40.3085784912;22;61.3762997389;8;23.5736026764;46.9719314575;13;65.0457651615;
89;7;20.0;42.1953964233;22;61.5791318417;8;24.6047420502;47.053276062;13;65.7194066048;
90;7;20.0;44.1826591492;21;61.7807209492;8;25.6353187561;47.038269043;13;66.3127114773;
91;8;21.0;44.1808128357;20;61.9810426235;9;25.3999996185;49.0855293274;10;66.8365676403;
92;8;22.0;44.1789627075;17;62.1800874472;9;27.3999996185;49.1404418945;10;67.2026376724;
93;8;20.0;43.1771011353;15;62.3778582811;9;25.7230968475;51.2115936279;9;67.4276366234;
94;8;21.0;44.1361808777;14;62.5743654966;9;24.7508773804;53.2970695496;8;67.6499814987;
95;8;22.0;46.1343078613;14;62.7696233988;9;23.7778511047;55.3827781677;9;67.8692584038;
96;8;23.0;48.132434845;15;62.9636474848;9;22.8039875031;57.4685134888;9;68.0850734711;
97;9;24.0;51.132434845;14;63.1564490795;9;22.3999996185;57.5540618896;9;68.2970552444;
98;9;25.0;54.132434845;14;63.307669282;9;21.3999996185;58.6392173767;10;68.504858017;
99;9;26.0;54.132434845;15;63.4328702688;9;21.477142334;60.7237739563;12;68.7081627846;
100;9;26.2999992371;56.1248931885;16;63.5606768131;9;22.4997291565;60.8075256348;12;68.9066786766;
101;9;26.2999992371;58.1230049133;16;63.690910697;9;23.5214080811;61.8902854919;12;69.1001458168;
102;9;26.2999992371;60.1211128235;17;63.8233731985;9;24.5421772003;62.5718688965;13;69.2883343697;
103;9;26.2999992371;62.1192245483;16;63.9578464031;9;25.5620422363;63.65209198;14;69.4710464478;
104;9;26.2999992371;64.1173324585;15;64.0940943956;10;26.5810165405;64.730796814;13;69.6481156349;
105;9;26.2999992371;66.115447998;14;64.2318644524;11;27.5991096497;65.8078384399;11;89.3194065094;
106;9;27.2999992371;65.1135559082;16;64.3708885908;11;26.6163387299;68.8830795288;12;90.8027009964;
107;9;26.2999992371;67.1116790771;17;64.5108863115;11;26.6200008392;71.9563903809;12;92.0802741051;
108;9;26.2999992371;68.4500274658;16;64.6515666246;11;26.6200008392;74.823600769;12;93.1619253159;
109;9;27.2999992371;66.4481582642;18;64.7926303148;11;26.6200008392;76.7944717407;11;94.0579781532;
110;9;26.2999992371;67.4462890625;18;64.9337732792;11;26.6200008392;78.7813949585;12;95.7879443169;
111;9;26.2999992371;68.4444198608;18;65.0746890306;11;27.0;82.7823410034;12;96.4657281637;
112;9;27.2999992371;66.442565918;18;65.2150713205;11;29.0;86.7948760986;12;97.1413106918;
113;9;26.2999992371;67.4407119751;16;65.3546177149;11;32.0;87.8142623901;12;97.5916050673;
114;9;26.2999992371;68.4388656616;16;65.4930320978;11;34.6199989319;88.9698791504;13;97.8896965981;
115;9;27.2999992371;66.4370346069;17;65.6300278902;11;36.2700004578;90.1369247437;14;98.1908345222;
116;9;26.2999992371;67.4352111816;15;65.7653294802;12;37.2700004578;90.2993087769;12;98.4948209524;
117;9;26.2999992371;68.4333953857;13;65.8986766338;12;38.2700004578;90.4565887451;12;99.8014951944;
118;9;27.2999992371;66.4315872192;14;66.0298243761;13;38.6500015259;91.6083450317;9;101.140725374;
119;9;26.2999992371;68.7797927856;14;66.1585457325;13;39.6500015259;93.6083450317;10;101.482989311;
120;9;26.2999992371;69.7779998779;14;66.2846343517;13;40.2700004578;96.6083450317;10;101.94286108;
121;10;26.2999992371;70.7762298584;13;66.4026489258;13;41.2700004578;98.6083450317;11;102.418445826;
122;11;26.2999992371;71.7750015259;12;66.5054745674;14;42.2700004578;102.608345032;9;103.772968173;
123;11;26.2999992371;72.7750015259;13;66.6053099632;14;41.2700004578;104.608345032;8;104.250140905;
124;12;26.2999992371;73.7750015259;12;66.7020397186;15;43.2700004578;106.331138611;8;105.937635183;
125;12;26.2999992371;74.7749938965;12;66.7955703735;15;45.2700004578;109.345359802;9;106.72755754;
126;12;26.2999992371;75.7750015259;13;66.8858294487;15;47.2700004578;112.501365662;8;108.79402101;
