Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.0;4;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;4;20.0;
5;1;9.60000038147;11.5;6;23.0;1;9.0;10.0;4;20.0;
6;1;10.6000003815;11.5;6;23.0;1;10.0;10.0;4;20.0;
7;1;11.6000003815;11.5;6;23.0;1;11.0;10.0;4;20.0;
8;1;11.8999996185;11.5;6;23.4599990845;2;12.0;10.1999998093;3;21.3999996185;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;13.1199998856;10.1999998093;3;21.7264003754;
10;1;12.1463851929;11.9106416702;6;24.0;2;14.2179203033;10.3632001877;3;21.9903717041;
11;1;12.2000007629;12.0;6;25.2000007629;2;14.597111702;10.4951858521;3;23.0719120502;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;14.9215736389;11.0209560394;3;23.9749414921;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;16.9215736389;11.4571752548;4;24.7131726742;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;18.9215736389;11.8107032776;4;25.3067810535;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;19.94962883;12.0916318893;4;25.7784451246;
16;1;18.1463851929;13.943564415;7;28.0;2;20.9593238831;12.3113050461;4;26.1504684687;
17;1;19.1463851929;14.0;7;28.0;2;21.9691867828;12.4808797836;4;26.2221269608;
18;1;20.1463851929;14.0;7;28.0;2;22.9792118073;12.5;4;26.2560760975;
19;1;20.3999996185;14.0;7;28.0;2;23.989397049;12.5;4;26.2905418873;
20;1;20.3999996185;14.0;7;28.0;2;24.8871631622;12.5;5;26.3255085945;
21;1;20.3999996185;14.0;7;28.0;2;24.8976516724;12.5;5;26.3609591722;
22;1;20.3999996185;14.0;8;28.0;2;24.9082870483;12.5;5;26.3968753815;
23;1;20.3999996185;14.0;8;28.0;2;24.9190635681;12.5;5;26.4332377911;
24;1;20.3999996185;14.0;8;28.0;2;24.5;12.9299716949;5;26.4700255394;
25;1;20.3999996185;14.0;8;28.0;2;24.5;12.9410076141;5;26.5072168112;
26;1;20.3999996185;14.0;8;28.0;2;22.9521656036;13.5;5;26.5447884798;
27;1;20.3999996185;14.0;8;28.0;2;21.9634361267;14.5;5;26.5827163458;
28;1;20.3999996185;14.0;8;28.0;2;22.5;13.2913579941;5;26.6209751368;
29;1;20.3999996185;14.0;8;28.0;2;23.9862937927;12.5;5;26.6595385075;
30;1;18.3999996185;15.0;8;28.0;2;21.5;14.3297691345;5;26.6983793974;
31;1;19.3999996185;14.0;8;28.0;2;20.5;15.3491897583;5;26.7374696732;
32;1;20.3999996185;14.0;8;28.0;2;19.5;16.3687343597;5;26.7767804861;
33;1;20.3999996185;14.0;8;28.0;2;18.5;17.3883895874;5;26.8162822723;
34;1;20.3999996185;14.0;8;28.0;2;17.5;18.4081420898;6;26.8559447527;
35;1;20.3999996185;14.0;9;28.0;2;17.0;19.4279727936;8;26.8957372904;
36;1;20.3999996185;14.0;9;28.0;2;17.0;20.4478683472;8;26.9356285334;
37;1;20.3999996185;14.0;9;28.0;2;17.0;21.4678134918;8;26.9755871296;
38;1;20.3999996185;14.0;9;28.0;2;17.0;22.4877929688;9;27.015581131;
39;1;20.3999996185;14.0;9;28.0;2;17.0;23.5077896118;9;27.0555787086;
40;1;20.3999996185;14.0;9;28.0;3;18.0;25.0277900696;8;28.0955479145;
41;1;20.3999996185;14.0;9;28.0;3;19.0;25.0;9;28.1854565144;
42;1;20.3999996185;14.0;10;28.0;3;21.0;24.0249996185;9;28.2772481441;
43;1;20.3999996185;14.0;10;28.0;3;23.6525821686;25.0249996185;9;28.3709160089;
44;1;20.3999996185;14.0;10;28.0;3;25.0;26.0249996185;10;28.4664486647;
45;1;20.3999996185;15.0;10;28.0;3;26.3635826111;27.0249996185;11;28.563829422;
46;1;20.3999996185;16.0;10;28.0;3;27.6881561279;28.0249996185;11;28.6630358696;
47;1;20.3999996185;17.0;10;28.0;3;28.0;29.0249996185;12;28.7640393972;
48;1;20.3999996185;18.0;11;28.0;3;29.0;29.382019043;12;28.8668049574;
49;1;20.3999996185;19.0;11;28.0;3;30.6600418091;27.5;12;28.9712897539;
50;1;20.3999996185;19.0;11;28.0;3;30.2346458435;28.2612380981;13;29.0774444342;
51;1;20.3999996185;19.0;11;28.0;3;29.5;29.2953224182;13;29.1852118969;
52;1;20.3999996185;19.0;11;28.0;3;30.2573299408;28.3303909302;13;29.294526577;
53;3;21.3999996185;20.0;9;29.0;3;29.5;29.3664226532;14;29.4053149223;
54;3;22.3999996185;21.0;9;29.1050000191;3;30.2795581818;28.4033946991;15;29.5174951553;
55;3;22.7314987183;22.0;10;29.2198647261;3;30.2904834747;27.5;16;29.6309767962;
56;3;22.3999996185;23.0;10;29.3452684879;3;29.5;28.5;16;29.7456610203;
57;3;22.8035812378;24.0;10;29.4818768501;3;30.3119239807;27.5;17;29.8614404202;
58;3;22.8445625305;24.0;11;29.630333066;4;29.5;28.5;16;29.9781997204;
59;3;22.8890991211;24.0;11;29.7912415266;4;29.5;27.5;16;30.0958154202;
60;3;22.9373722076;24.0;11;29.9651488066;4;27.5;29.5;16;30.2141568661;
61;3;22.3999996185;24.0;11;30.1525228024;4;26.5;30.921672821;16;30.3330857754;
62;3;22.3999996185;25.0;13;31.3537294865;4;25.5;31.9381160736;16;30.4524579048;
63;3;24.1061191559;25.0;14;31.6590079069;4;24.5;32.9542770386;16;30.5721228123;
64;4;25.1707019806;26.0;12;53.7355647087;4;23.5;33.9701499939;16;32.800283432;
65;4;25.3999996185;28.0;13;55.17119205;4;25.5;33.0004310608;16;33.8738558292;
66;4;26.3999996185;30.0;15;56.4344863892;4;25.4182548523;33.5;16;35.9022901058;
67;4;25.3999996185;33.0;15;57.5421898365;4;25.5;33.5;15;37.5696040392;
68;4;25.3999996185;36.0;15;58.5174351931;4;26.5;35.522064209;15;38.918971777;
69;4;25.3999996185;38.1579208374;16;59.3852134943;4;27.5;37.0677185059;16;40.0097955465;
70;4;25.3999996185;39.2545547485;16;60.1418056488;5;28.5;37.4805107117;15;41.0511859655;
71;4;25.3999996185;40.3575286865;16;60.6119177341;5;30.5;35.9559555054;16;41.7032625675;
72;4;25.3999996185;41.4669532776;17;63.2122502327;5;30.5;37.0;16;42.2862972021;
73;4;27.3999996185;39.626914978;17;65.3631482124;5;28.5;38.9569015503;16;42.8860032558;
74;4;29.3999996185;38.8006019592;18;67.0499958992;5;27.5;38.0;16;43.4995721579;
75;5;30.5;37.9883651733;16;68.310366869;5;26.5;39.0;17;44.1238058805;
76;5;31.5;38.082649231;16;69.2570753098;6;25.5;40.0;15;45.7551870346;
77;5;32.5;39.4065818787;14;70.0072968006;6;24.5;41.5;10;45.4788576365;
78;5;33.5;40.6366996765;15;70.7721037865;6;24.0;42.4500007629;9;45.2527287602;
79;5;31.5;42.880153656;15;71.5467977524;6;24.0;43.0;9;45.0710638762;
80;5;30.5;45.1360702515;16;72.3264527321;6;24.0;44.3645019531;10;44.9287154078;
81;6;29.5;46.6355857849;13;73.1060171127;6;24.0;45.3280487061;10;44.8210726976;
82;6;28.5;48.1044998169;14;73.8804211617;6;24.0;46.2952461243;10;45.7440078259;
83;6;27.5;49.5731124878;16;74.6446795464;6;24.0;47.2657203674;10;45.5938260555;
84;6;26.5;51.0383453369;16;76.3939957619;6;24.0;48.2391471863;12;45.4772199392;
85;6;27.1000003815;53.4971542358;13;77.1588565111;7;24.0;49.0;9;45.3902289271;
86;6;28.1000003815;53.7929039001;13;77.9009842873;7;27.0;49.0;9;47.0896811187;
87;6;28.1000003815;55.0873985291;14;79.6166893244;7;26.0;51.0;10;48.4517125785;
88;6;29.1000003815;57.378162384;15;80.3553003073;7;26.0;54.0;10;49.5886436701;
89;6;30.1000003815;59.7162017822;15;81.0639179945;7;26.0;57.0;11;50.3424653709;
90;6;30.1000003815;62.584312439;16;81.7405788898;7;26.0;60.0;11;50.9202638268;
91;6;30.1000003815;64.8699569702;18;82.3839272261;7;27.0;60.0;11;51.4789278656;
92;6;30.1000003815;67.1440429688;18;82.9932097197;7;26.0;63.0;12;52.0166509748;
93;6;30.1000003815;69.0476379395;18;83.5682433844;7;26.0;66.0;12;52.5321517289;
94;6;31.1000003815;67.3267669678;19;84.0756852627;7;27.0;66.0;13;53.0246359855;
95;6;30.1000003815;68.5924530029;19;84.4674254656;7;26.0;69.0;14;53.4937416017;
96;6;30.1000003815;69.8443450928;20;84.8402606249;7;26.0;72.0;14;53.9394846857;
97;6;31.1000003815;68.0824127197;22;85.1944687366;7;27.0;72.0;16;54.3621887639;
98;6;30.1000003815;69.3068389893;23;85.5306254625;8;26.0;75.0;14;54.7624260411;
99;6;30.1000003815;70.5180435181;23;85.8495388031;8;26.0;77.7496566772;14;55.1409541219;
100;6;31.1000003815;68.7166213989;24;86.1521880627;8;27.0;76.7909240723;15;55.4986656979;
101;6;30.1000003815;69.9032592773;24;86.4396640062;8;26.0;78.4055023193;16;55.7984059975;
102;6;30.1000003815;71.078742981;25;86.7131205797;8;26.0;79.4597930908;16;56.0016884655;
103;6;31.1000003815;69.2439041138;28;86.9100857973;8;26.0;81.9177627563;17;56.2001755089;
104;6;30.1000003815;70.3550415039;28;87.0460381508;8;26.0;82.9898834229;17;56.3936858624;
105;6;30.1000003815;71.4230194092;29;87.1841013432;8;26.0;84.0600891113;18;56.5749576613;
106;6;31.1000003815;69.4920501709;31;87.3241068125;8;26.0;85.1234436035;19;56.6984834559;
107;6;30.1000003815;70.5620498657;31;87.4658737183;8;26.0;86.1482086182;19;56.8197436593;
108;6;30.1000003815;74.5261154175;32;87.6092097759;8;26.0;87.1732940674;20;56.9386143573;
109;6;30.1000003815;76.0264511108;32;87.7539114952;8;26.0;88.1986846924;21;57.0549946427;
110;6;30.1000003815;77.1277389526;34;87.8997664452;8;27.0;86.224395752;23;57.1688064523;
111;6;30.1000003815;78.2298355103;34;88.0465528965;8;26.0;87.2503662109;24;57.2799916789;
112;6;30.1000003815;80.3325881958;34;88.1940424442;8;26.0;88.2766265869;23;57.3885113951;
113;6;30.1000003815;82.4358291626;34;88.3420009613;8;26.0;85.2766265869;23;56.2985532545;
114;7;30.1000003815;84.5394058228;28;88.4901902676;7;26.0;83.1366271973;22;55.3213498946;
115;7;30.1000003815;86.6431350708;26;88.6383693218;7;27.0;81.0106277466;20;54.4453604892;
116;7;31.1000003815;85.7468643188;27;88.7862966061;7;30.0;81.8972320557;21;55.4468144644;
117;7;30.1000003815;87.8504104614;28;88.9337315559;7;33.0;82.9561462402;25;56.2080773022;
118;6;30.1000003815;85.2028503418;28;89.0804357529;9;31.0;85.7864990234;25;56.5071740393;
119;6;31.1000003815;83.2705459595;28;89.2261753082;10;30.0;87.8643798828;24;58.3117133547;
120;6;30.1000003815;86.1583251953;29;89.3707222939;10;29.0;90.15234375;24;60.0838333517;
121;6;30.1000003815;88.2595062256;28;90.9230947495;10;28.0;91.4608612061;25;61.7987444084;
122;6;31.1000003815;85.5621643066;28;92.4503774643;10;28.0;92.7572860718;26;63.4358257614;
123;6;30.1000003815;88.8384552002;28;93.9305770397;10;29.0;93.0535736084;27;64.9798618574;
124;6;31.1000003815;89.1943664551;29;95.3459107876;11;30.0;93.3522338867;26;67.421502417;
125;6;31.1000003815;89.5606842041;31;96.6836884022;11;32.0;94.6512298584;26;68.7769792043;
126;6;30.1000003815;92.9355621338;31;97.9364495277;12;34.0;96.9497680664;25;70.0274606012;
127;6;30.1000003815;96.316986084;30;99.1014389992;12;33.0;99.2471542358;27;71.1775147542;
128;6;32.0999984741;93.7027282715;32;100.179677248;13;33.0;102.542762756;26;72.2341036201;
129;6;30.1000003815;97.0904693604;32;101.174844265;13;32.0;103.83605957;26;73.205507379;
130;6;30.1000003815;100.477783203;33;102.092224121;13;31.0;106.126556396;27;75.100448899;
131;6;33.0999984741;94.8623046875;27;102.937828064;13;33.0;110.413871765;26;75.8954126723;
132;6;30.1000003815;98.2416992188;28;103.717748642;14;35.0;113.715606689;25;77.5694623254;
133;6;30.1000003815;101.613739014;29;104.245834827;14;39.0;114.99786377;27;78.2911760993;
134;6;32.0999984741;98.9764251709;29;104.748013973;14;43.0;117.276062012;28;80.0037691332;
135;6;31.1000003815;99.3279571533;29;105.232052803;14;47.0;120.549911499;31;80.7876062319;
136;6;31.1000003815;99.6667785645;34;105.696149349;14;49.0;123.819076538;32;81.5685856119;
137;6;31.1000003815;99.9916534424;35;106.13890934;14;50.0;127.083251953;32;82.3189908788;
138;6;31.1000003815;92.9916534424;35;106.559339523;14;51.0;130.342071533;32;82.9693358317;
139;6;30.1000003815;91.9916534424;35;106.956827164;14;53.0;131.520278931;34;83.5590181351;
140;6;31.1000003815;88.1982574463;36;107.331109524;14;50.0;130.621246338;29;84.1648620218;
141;6;31.1000003815;85.1982574463;36;107.682236195;14;49.0;131.8152771;30;84.3857985139;
142;6;30.1000003815;85.1982574463;37;108.010522842;14;48.8800010681;130.008239746;31;84.6606837139;
143;6;31.1000003815;83.7043457031;36;108.316509724;14;46.7719993591;132.199295044;31;84.984315373;
144;6;31.1000003815;82.7043457031;36;108.600916386;14;45.6748008728;134.387634277;30;85.3518377468;
145;6;36.7617416382;84.7043457031;37;108.864601135;15;45.5873184204;133.572540283;30;85.7587118447;
146;6;39.0864601135;86.1043395996;38;109.108521938;15;44.5085906982;135.753311157;31;86.200688228;
147;6;41.8108520508;85.1043395996;34;109.223004818;15;44.4377288818;137.929351807;32;86.6737803072;
148;6;41.8222999573;85.1043395996;33;109.329482079;15;45.3739547729;137.100189209;33;87.174233526;
149;6;41.0329475403;89.1043395996;34;109.430047512;15;44.3165588379;139.265350342;34;87.6985041499;
