Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
150;12;41.4202613831;95.4204711914;45;96.235252142;14;46.9892807007;114.296829224;34;100.778213978;
151;12;41.4395713806;95.7229385376;45;96.851266861;14;47.0559616089;117.380966187;35;101.447208166;
152;12;41.4586181641;96.0359039307;46;97.4781696796;14;49.1026954651;117.465805054;35;102.116721153;
153;12;41.4773712158;96.3583450317;47;98.1140427589;14;50.1898078918;118.55115509;36;102.785024405;
154;12;41.4958000183;96.6891021729;47;98.7567687035;14;49.8785057068;122.636810303;38;103.450401783;
155;12;41.6510772705;93.6891021729;47;99.4040541649;14;49.9450416565;126.722564697;38;104.096430302;
156;12;41.7791137695;92.6891021729;48;100.053461075;14;51.9905700684;124.808197021;41;104.711404562;
157;12;41.9080238342;91.6891021729;49;100.702447414;14;50.071144104;128.893508911;41;105.319791317;
158;12;42.0372581482;90.6891021729;51;101.348410606;14;51.1319770813;129.978286743;42;105.920105457;
159;12;42.7658348083;93.6891021729;52;101.988735676;14;51.1920089722;131.062332153;42;106.510957718;
160;12;45.7658348083;96.6891021729;52;102.620841026;14;51.2341499329;132.145446777;43;107.091065884;
161;12;48.0672683716;99.6891021729;53;103.242230892;14;52.2973937988;131.145446777;44;107.659261703;
162;12;50.1160621643;102.689102173;54;103.850542068;14;51.3659286499;133.145446777;44;108.214500427;
163;12;52.1633529663;105.689102173;54;104.443584442;14;51.4065170288;135.145446777;45;108.755860329;
164;12;54.2091217041;108.689102173;54;105.019379139;14;52.4644966125;134.145446777;45;109.282546282;
165;12;58.2533683777;105.689102173;55;105.57618618;14;51.5282554626;136.145446777;45;109.793891191;
166;12;58.2960777283;108.689102173;56;106.112528324;14;50.5793876648;141.145446777;46;110.289349556;
167;12;60.3372573853;111.689102173;56;106.627200127;14;53.6065788269;137.145446777;46;110.768496037;
168;12;61.3769111633;114.689102173;56;107.117727757;14;51.6768493652;139.145446777;47;111.23101902;
169;12;64.4150543213;111.689102173;58;107.499794006;14;51.7124252319;141.145446777;48;111.676713943;
170;12;61.4250030518;112.689102173;58;107.848555565;14;51.7676696777;143.145446777;51;112.105477333;
171;12;59.4250030518;116.689102173;58;108.177528381;14;51.801197052;145.145446777;54;112.517296553;
172;12;60.4250030518;114.689102173;59;108.486719131;14;51.8517303467;147.145446777;56;112.848850727;
173;12;58.4250030518;115.689102173;60;108.776330948;14;53.8765220642;147.145446777;56;113.151555538;
174;12;56.4249992371;119.689102173;60;109.046737671;15;53.9151535034;150.145446777;55;113.443193913;
