Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;1;9.0;10.0;4;20.0;
7;1;8.82499980927;8.5;5;17.0;2;9.5;10.3000001907;3;21.0;
8;1;8.82499980927;8.5;5;17.0;2;9.72500038147;10.0;3;21.4399995804;
9;1;8.82499980927;8.5;4;17.3400001526;2;9.82400035858;10.1999998093;3;21.8075842857;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;9.90670585632;10.3632001877;3;22.1139252186;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;9.97563362122;10.4951858521;3;23.2202551365;
12;2;9.02068901062;9.33486270905;3;19.786491394;2;10.2245578766;11.0209560394;3;24.1495091915;
13;2;9.45196056366;9.39324569702;4;20.6855620146;2;12.000743866;11.4571752548;3;24.9154186249;
14;2;11.2698764801;9.78903102875;4;21.4733762741;2;14.000743866;11.8107032776;3;25.5381718874;
15;2;13.2698764801;10.1240053177;4;22.159563899;2;16.000743866;12.0916318893;3;26.0404549837;
16;2;15.0206890106;10.9443492889;4;22.7569825649;2;17.0418491364;12.3113050461;3;26.4445723295;
17;2;16.3570919037;10.6309299469;4;23.2798658609;2;18.0564670563;12.4808797836;3;26.5497941971;
18;2;17.3915901184;10.8157100677;4;23.7424279451;2;19.0715370178;12.5;4;26.6187632084;
19;2;18.4290561676;10.9637317657;4;23.9952818155;2;19.9892215729;12.5;4;26.6896851063;
20;2;19.3989391327;11.0;4;24.1899158955;2;20.0051784515;12.5;4;26.7625159025;
21;2;19.4427318573;11.0;4;24.399273634;2;20.021566391;12.5;4;26.8372021914;
22;2;18.9500007629;12.0;4;24.6236231327;2;20.0383701324;12.5;4;26.9136811495;
23;2;18.9500007629;12.3118114471;6;24.8630647659;2;20.0555782318;12.5;5;26.9918802977;
24;2;18.9500007629;12.4315319061;5;25.1175034046;3;20.0731735229;12.5;4;27.0717172623;
25;2;19.6514396667;11.0;5;25.3866217136;3;20.0911369324;12.5;5;27.1531002522;
26;3;19.7119903564;11.0;3;25.6698577404;3;20.1094474792;12.5;5;27.2359278202;
27;3;18.9500007629;12.0;3;25.9663875103;4;20.1280841827;12.5;4;27.320089817;
28;3;18.9500007629;12.9831933975;3;26.2751159668;4;19.625;12.5;4;27.4054670334;
29;3;18.9500007629;13.1375579834;3;26.5946760178;4;18.166229248;13.5;4;27.4919323921;
30;3;17.9500007629;12.1375579834;3;26.9234399796;4;17.1856842041;14.5;4;27.5793509483;
31;3;17.0577754974;13.0;3;27.2595415115;4;16.2053546906;15.5;4;27.6675815582;
32;3;16.133398056;14.0;3;27.6009097099;4;15.2252063751;16.5;4;27.7564766407;
33;3;14.0;16.0;3;27.9453148842;4;14.6202068329;17.5;4;27.8458836079;
34;3;14.0;18.0;3;28.2904214859;4;14.6403236389;18.5;4;27.9356460571;
35;3;14.0;20.0;3;28.633852005;4;14.6605205536;19.5;4;28.0256047249;
36;3;14.0;22.0;3;28.9732499123;4;14.6807613373;20.5;3;28.1155982018;
37;3;14.0;24.0;3;28.8063445091;4;14.7010097504;21.5;4;28.2054646015;
38;3;14.0;26.0;4;29.1428265572;4;14.7212295532;22.5;4;28.2950425148;
39;3;14.0;27.4285430908;4;29.4719090462;4;14.7413845062;23.5;4;28.3841719627;
40;3;14.0;28.7247180939;6;29.7915639877;4;14.7614383698;24.5;5;28.4726960659;
41;3;15.0;30.9124069214;5;30.5999879837;4;15.7813568115;26.2000007629;4;29.5604617596;
42;3;16.0;30.8399887085;5;31.0228885412;4;16.8011035919;26.5;4;30.7773205042;
43;3;16.2491874695;32.1238479614;5;31.444278717;4;18.0748977661;27.5;5;31.0085612535;
44;3;16.2757072449;33.3970222473;6;31.8634613752;4;19.1269264221;28.5;6;31.2554795742;
45;3;16.304725647;34.6582183838;7;31.7800233364;4;19.4074840546;29.5;6;31.5194032192;
46;3;16.3364028931;35.4564094543;8;32.2204262018;4;20.4668655396;27.5;6;31.8016608953;
47;3;16.3708992004;36.7147827148;8;32.6593638659;4;19.530374527;28.5;6;32.1035416126;
48;3;17.0;35.9599609375;6;33.0966640711;4;19.5982971191;29.5;7;32.4262452126;
49;3;18.0;35.9869995117;7;33.5323593616;4;19.5139598846;30.5;7;32.7708222866;
50;3;19.0;35.3791236877;7;33.9666421413;4;21.5234336853;32.5;7;33.1381065845;
51;3;17.5398368835;34.6106338501;8;34.3998119831;4;21.0;34.5;8;33.5286388397;
52;3;18.0;34.6106338501;9;34.8322172165;4;22.9826507568;36.5;8;33.9425866604;
53;3;20.0;32.6106338501;9;34.7641909122;5;23.7883872986;38.5;7;34.3796658516;
54;3;22.7014389038;31.6106319427;10;34.7362091541;5;23.625;39.4000015259;8;34.8390660286;
55;3;23.8156471252;30.6106319427;10;34.7438743114;5;25.5843696594;37.4000015259;9;35.3193888664;
56;3;21.0536575317;31.6106319427;8;35.2832229137;5;24.6777744293;37.4000015259;9;35.8186097145;
57;3;20.9500007629;32.6106338501;7;35.8186454773;5;24.7759037018;37.4000015259;10;36.33406353;
58;3;20.9500007629;33.6106338501;8;36.348780632;5;24.8781604767;37.4000015259;12;36.8624696732;
59;3;21.9500007629;31.6106319427;8;36.8722267151;5;24.625;35.4000015259;14;37.3999915123;
60;3;20.9500007629;32.6106338501;8;37.3875274658;5;25.7230186462;33.4000015259;15;37.9423394203;
61;3;21.9500007629;31.3442192078;8;37.8931727409;5;26.3120250702;33.4000015259;14;38.4849066734;
62;3;22.9500007629;31.0408191681;9;38.387611866;5;26.4341030121;33.4000015259;17;38.9851250648;
63;4;23.2995185852;31.3507843018;8;38.8692722321;5;24.75;34.4000015259;18;39.465420723;
64;4;23.330242157;31.6613788605;7;39.336596489;5;24.75;35.4000015259;16;39.9339466095;
65;4;22.330242157;30.6613788605;8;39.7232499123;5;25.75;33.4000015259;16;40.3865451813;
66;4;22.5189819336;30.6613788605;9;40.0563445091;5;26.75;33.4000015259;17;40.8195896149;
67;4;22.5939292908;30.6613788605;9;40.3810133934;5;26.9594078064;33.4000015259;18;41.2300891876;
68;4;22.6669788361;30.6613788605;10;40.6953339577;5;27.0517692566;33.4000015259;18;41.6157541275;
69;4;22.737701416;31.0;10;40.9976272583;5;27.1385440826;33.4000015259;19;41.9750175476;
70;4;22.8057174683;32.0;11;41.2864894867;5;27.219379425;33.4000015259;19;42.307009697;
71;4;22.8707103729;33.0;11;41.5608100891;5;27.2940769196;33.4000015259;19;42.6115064621;
72;4;22.932434082;34.0;10;41.819776535;5;27.3625888824;33.4000015259;20;42.8888463974;
73;4;22.9906997681;35.0;11;42.0628671646;5;27.4249916077;33.4000015259;20;43.1398382187;
74;4;23.0453948975;35.6749992371;10;42.2898340225;5;27.481464386;33.4000015259;20;43.3656587601;
75;4;21.0453948975;36.6749992371;11;42.5006799698;5;27.5322723389;33.4000015259;21;44.8350691795;
