Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;2;7.55000019073;10.9000005722;4;18.0;1;8.0;11.0;6;20.0;
5;2;7.7000002861;9.30000019073;3;18.0449999571;1;8.0;10.0;6;20.0;
6;2;8.55000019073;9.12699985504;3;18.0915547609;1;9.0;10.0;5;20.0;
7;2;8.82499980927;9.15493297577;3;18.1396753788;1;9.5;10.0;5;20.0;
8;2;8.82499980927;9.1838054657;3;18.1893689632;1;9.5;10.0;5;20.3999996185;
9;2;8.82499980927;9.21362113953;3;18.5925321579;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;8.9015007019;9.42151927948;3;18.9461020231;2;9.66343975067;10.6632003784;4;21.9903717041;
11;2;8.96626472473;9.60487651825;3;19.2562930584;2;9.94783401489;10.4951858521;4;23.0719120502;
12;2;9.02068901062;9.76680278778;3;20.2716907263;2;10.1911802292;11.0209560394;3;23.9749414921;
13;2;9.22696018219;10.284365654;4;21.1674451828;2;11.9614667892;11.4571752548;3;24.7131726742;
14;2;11.0206890106;10.7426605225;4;21.9472299814;2;13.9614667892;11.8107032776;3;25.3067810535;
15;2;13.0206890106;11.1435365677;4;22.6200125217;2;15.7228336334;12.4286870956;3;25.7784451246;
16;2;15.0206890106;11.4914836884;4;23.1979614496;2;16.9828968048;12.3113050461;3;26.1504684687;
17;2;16.0206890106;11.792591095;4;23.6946053505;2;17.7228336334;12.8374919891;3;26.2221269608;
18;2;17.0206890106;12.0536212921;4;24.1234521866;2;18.9978122711;12.5;4;26.2560760975;
19;2;18.0206890106;10.9637317657;4;24.3344240189;2;19.625;12.8768224716;4;26.2905418873;
20;2;18.9500007629;11.0;4;24.4783546925;2;19.625;12.8871622086;5;26.3255085945;
21;2;18.9500007629;11.0;4;24.6275923252;2;19.9232387543;12.5;5;26.3609591722;
22;2;18.9500007629;11.0;4;24.7818951607;3;19.625;13.0443840027;4;26.3968753815;
23;2;18.9500007629;12.0;4;24.9409668446;3;19.625;13.0587501526;5;26.4332377911;
24;2;18.9500007629;13.0;4;25.1044561863;3;19.947479248;12.5;6;26.4700255394;
25;2;17.6485023499;12.0;4;25.2719585896;3;19.625;13.0880098343;6;26.5072168112;
26;2;16.6861915588;13.0;4;25.4430179596;3;19.625;13.1028871536;6;26.5447884798;
27;2;16.9500007629;12.0;6;25.6171307564;3;19.625;13.1179151535;6;26.5827163458;
28;3;17.9500007629;13.0;5;25.7937505245;3;19.9811115265;12.5;6;26.6209751368;
29;3;18.9500007629;13.6556253433;5;25.9722938538;3;19.625;13.1483898163;6;26.6595385075;
30;3;18.9500007629;13.7806053162;6;26.1521477699;3;17.9983959198;13.5;6;27.6983793974;
31;3;18.9500007629;13.9065036774;6;26.3326768875;3;18.0071353912;14.5;6;27.777469635;
32;3;17.9248523712;12.9065036774;6;26.5132336617;3;18.0159301758;15.5;6;27.8579643965;
33;3;16.9654788971;13.0;6;26.6931657791;3;17.2680416107;16.5;8;27.9398357868;
34;3;14.9500007629;15.0;6;26.8718266487;3;16.6614627838;17.5;9;28.0230522156;
35;3;14.0;17.0;6;27.048584938;3;16.6801872253;18.5;9;28.1075787544;
36;3;14.0;19.0;6;27.2228326797;3;16.6992053986;19.5;10;28.1933764219;
37;3;14.0;21.0;6;28.3939938545;3;16.7185096741;20.5;10;28.2804031372;
38;3;15.0;23.0;6;28.6690315008;4;16.7380905151;21.5;7;43.3686125278;
39;3;16.0;25.0;7;28.9503211975;4;17.757938385;22.5;7;44.2079547644;
40;3;16.2757072449;26.2974510193;8;29.2381566763;4;18.7780399323;23.5;7;44.9677506685;
41;4;16.3047237396;27.4722080231;7;29.532879591;4;19.7983856201;24.5;7;45.6471090317;
42;4;16.3364028931;28.6415328979;8;29.8348671198;4;20.8189601898;25.5;7;46.2484924793;
43;4;16.3708992004;29.8050632477;9;30.1445137262;4;21.8397502899;26.5;8;46.7768485546;
44;4;16.408367157;30.9625053406;9;30.4622107744;4;22.860742569;27.5;8;47.2387388945;
45;4;16.4489383698;32.1136207581;9;30.7883222103;4;22.1217956543;30.5;8;47.6415493488;
46;4;17.0;31.2582473755;10;31.1231548786;4;22.191078186;32.3101730347;8;47.9928572178;
47;5;16.5398368835;31.3962688446;9;31.4669287205;4;23.2486209869;30.3770656586;8;48.2062596083;
48;5;16.0;32.5276374817;9;31.8197431564;4;24.2749996185;32.3770675659;8;48.3029462099;
49;5;17.0;31.6523456573;10;32.181545496;4;25.700799942;34.3770675659;8;48.4000698328;
50;5;16.7014389038;31.7704467773;10;32.55210042;4;26.2749996185;36.3770675659;8;48.4975442886;
51;5;16.7619895935;32.8820266724;11;32.9309613705;4;27.2749996185;38.3770675659;10;48.5952808857;
52;5;17.825717926;32.8820266724;12;33.3174488544;4;28.365940094;39.1330947876;10;48.6931889057;
53;5;18.8924369812;33.8820266724;12;33.7106366158;4;28.4763774872;37.5;10;48.7911763191;
54;5;19.9619007111;34.8820266724;13;34.0946760178;4;27.8999996185;38.0348548889;10;48.8891494274;
55;5;21.0338020325;35.8820266724;14;34.4234399796;4;28.4928627014;36.0779418945;11;48.9870138168;
56;5;22.0577754974;36.8820266724;14;34.7595415115;5;28.5009555817;35.1212692261;10;49.0846745968;
57;5;22.133398056;36.25;15;35.1009097099;5;27.8999996185;35.1647834778;10;49.1820361614;
58;5;22.2102050781;35.25;16;35.4453148842;5;28.5168190002;34.2084312439;11;49.2790038586;
59;5;22.2876968384;34.25;17;35.7904214859;5;27.8999996185;35.252155304;11;49.3754832745;
60;5;22.3653450012;34.25;17;36.133852005;5;27.8999996185;36.2628364563;11;49.471380949;
61;5;22.4426174164;34.25;18;36.4732499123;6;28.8999996185;37.3299674988;10;50.5666046143;
62;5;22.5189819336;34.25;18;36.8063445091;7;29.8999996185;38.3966217041;11;50.6910643578;
63;6;22.5939292908;34.25;18;37.1310133934;7;29.8999996185;39.4627456665;11;51.8152630329;
64;8;22.6669788361;34.25;13;52.4453339577;7;31.5615673065;39.5060501099;12;51.9591083527;
65;8;23.737701416;35.25;13;53.4976272583;7;33.2156524658;39.5;12;52.8708848953;
66;8;24.8057174683;36.25;14;54.4558639526;7;32.3073387146;42.5;14;53.6350001097;
67;8;25.8707103729;37.25;14;55.3180999756;7;32.4583587646;45.5;14;54.2898188829;
68;8;26.932434082;38.25;16;56.0860462189;7;32.5847930908;46.7403106689;14;54.8479008675;
69;8;27.9906997681;39.25;16;56.7641935349;7;33.3908004761;44.7403106689;14;55.3350249529;
70;8;29.0453948975;39.25;16;57.358923912;8;33.4900131226;44.5999984741;12;58.3106929064;
71;8;28.0453948975;40.25;16;57.8776979446;8;34.1685371399;47.141998291;11;60.051450491;
72;8;28.0453948975;40.25;17;59.3283901215;8;35.4814758301;49.5735549927;12;61.4695751667;
73;9;30.0453948975;42.25;16;61.0687792301;7;34.4413261414;44.3499641418;13;61.1836992502;
74;9;32.2281455994;45.25;17;61.3004567623;7;31.5196113586;48.0926399231;11;61.8701244593;
