Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;2;7.0;13.3000001907;5;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;2;8.14999961853;12.0;5;21.1200000048;
4;1;7.55000019073;10.3000001907;4;17.0;2;8.16800022125;11.0;5;21.2530560493;
5;1;7.55000019073;9.30000019073;4;17.0;2;8.18795871735;10.0;5;21.4002518654;
6;2;8.55000019073;8.89999961853;3;18.0;2;9.31505680084;10.0;5;21.5626775026;
7;2;9.05000019073;8.5;3;18.0225000381;2;9.85160255432;10.0;5;21.7414059639;
8;2;9.05506229401;8.5;3;18.0452762842;2;9.89181613922;10.0;5;22.3548774719;
9;2;9.06018733978;8.5;3;18.4187746048;2;10.0298480988;10.1999998093;5;22.9167456627;
10;2;9.14422512054;8.67000007629;3;18.7408286333;2;10.1562671661;10.3632001877;5;23.4393892288;
11;2;9.21668624878;8.81392192841;3;19.0176254511;2;10.2738628387;10.4951858521;5;24.8717758656;
12;2;9.27896595001;8.93486309052;3;19.9814786911;2;10.5961503983;11.0209560394;5;26.1735084057;
13;2;9.49583244324;9.39324569702;4;20.8215062618;2;12.4561443329;11.4571752548;5;27.3609917164;
14;2;11.3004636765;9.78903102875;4;21.5412740707;2;14.4561443329;11.8107032776;5;28.4561290741;
15;2;13.3004636765;10.6413106918;4;22.1496675014;2;16.4561443329;12.0916318893;5;29.4820175171;
16;2;15.3004636765;10.4026165009;4;22.6588021517;2;16.7228336334;13.3113050461;5;30.4597220421;
17;2;16.0206890106;11.1897068024;4;23.0821874142;2;18.7228336334;12.4808797836;5;31.1853199005;
18;2;17.3471107483;10.8157100677;4;23.4333488941;2;18.7228336334;13.5;6;31.9160957336;
19;2;18.3595123291;10.9637317657;4;23.5622674227;2;19.625;14.5;6;32.6826691628;
20;2;18.9500007629;11.6249065399;5;23.6198797226;2;19.625;14.8048009872;6;33.475315094;
21;2;18.9500007629;11.6479520798;4;23.6786832809;3;19.625;15.8048009872;5;34.2825622559;
22;2;18.9500007629;11.8393421173;4;23.7386343479;3;19.625;16.2130241394;6;35.0917634964;
23;2;18.9500007629;11.8693170547;5;23.7996841669;4;20.625;14.2130250931;5;35.8898439407;
24;2;18.9500007629;11.8998422623;5;23.8617789745;4;21.625;13.2130250931;3;36.6641292572;
25;2;18.9500007629;11.9308891296;5;23.9248601198;4;22.2494277954;12.5;3;37.4031534195;
26;2;18.9500007629;11.9624300003;5;23.9888644218;4;22.4157104492;12.5;3;38.0973386765;
27;3;18.9500007629;11.9944324493;4;24.0537240505;4;22.5719013214;12.5;3;38.7394571304;
28;3;18.9500007629;12.0268621445;6;24.1193666458;4;20.5719013214;13.5;3;40.3248329163;
29;3;17.426858902;12.0;6;24.1857161522;4;20.625;15.1999998093;3;40.8912944794;
30;3;15.9500007629;14.0;6;24.2526926994;4;21.625;15.5;3;41.4001021385;
31;4;15.4568567276;14.0;5;36.1512570381;4;22.625;17.2568283081;3;41.8531849384;
32;4;15.0;16.0;5;36.9195086956;4;22.625;15.5;4;42.2538594007;
33;4;16.0;18.0;5;37.641824007;5;23.625;16.3169746399;3;42.606372714;
34;4;17.0;19.2108821869;5;39.3123168945;5;24.625;16.5;3;42.9154875278;
35;4;19.0;21.1726417542;5;40.0349863768;5;24.9079933167;17.5;3;43.1861464977;
36;4;21.0;22.3313179016;5;40.7114498615;5;23.9185829163;16.5;3;43.3530313969;
37;4;22.0;23.4994049072;5;41.3431497812;5;23.625;17.4471225739;3;43.4023760557;
38;4;23.0;24.6774749756;6;41.9330821037;5;24.625;18.4816627502;3;44.4528282881;
39;5;24.0;25.8661003113;5;42.4853569269;5;25.625;19.5169792175;3;44.544362545;
40;5;25.0;27.0658302307;5;43.004768014;5;26.9634819031;19.5;4;44.6381335258;
41;5;25.3135566711;28.2771759033;5;43.4964178801;6;26.9753131866;20.5;3;44.7341096401;
42;5;25.4230880737;29.5005989075;5;43.9654090405;6;26.9873752594;21.5;4;44.8322525024;
43;5;25.5161933899;30.7364826202;4;44.2890174389;6;27.625;22.5;5;44.9325166941;
44;5;25.5375003815;31.9851150513;4;44.5796234608;6;28.625;24.5;5;45.0348496437;
45;5;25.5375003815;33.2466621399;5;45.8845956326;6;27.024848938;28.5;5;45.1391919851;
46;5;26.5375003815;35.4211387634;6;46.3112603426;6;26.625;32.5;6;45.2454768419;
47;5;28.9895973206;40.4211387634;6;46.7620916367;6;27.0508003235;36.5;7;45.3536303043;
48;5;29.340221405;45.4211349487;7;47.2371913195;6;26.625;38.5;7;46.4635714293;
49;6;29.3166770935;46.4767608643;6;47.7363965511;6;28.0774173737;39.5;8;46.6152119637;
50;6;30.3306007385;48.4767608643;7;48.2592562437;6;29.0909423828;41.5;7;46.769641161;
51;6;31.3442821503;49.5767593384;8;48.8050118685;6;29.1045894623;44.5;6;46.9267594814;
