Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;1;9.0;10.0;4;20.0;
7;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;4;20.0;
8;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;4;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;9.66343975067;10.6632003784;3;21.9903717041;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;9.94783401489;10.4951858521;3;23.0919120312;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;10.1956806183;11.0209560394;3;24.0163254738;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;11.9707775116;11.4571752548;3;24.7773565054;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;13.9707775116;12.1574878693;3;25.395208478;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;15.7228336334;12.4552154541;3;25.8925833702;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;16.7228336334;12.6922969818;3;26.2918028831;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;17.7228336334;12.8798923492;3;26.3921557665;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;19.0360679626;12.5;4;26.4563041925;
19;1;16.0206890106;10.9637317657;6;22.0;2;19.625;12.9368915558;4;26.5224741697;
20;1;16.9500007629;11.0;6;22.0;2;19.9675559998;12.5;4;26.5906432867;
21;1;16.9500007629;11.0;6;22.0;2;19.625;13.1362571716;4;26.6607804298;
22;1;16.9500007629;11.0;7;22.0;2;19.625;13.1643123627;4;26.7328453064;
23;1;16.9500007629;11.0;8;22.0;2;20.0148906708;12.5;4;26.8067884445;
24;1;16.9500007629;11.0;8;22.0;2;20.0315284729;12.5;4;26.8825509548;
25;1;16.9500007629;11.0;8;22.0;2;19.625;13.2530202866;6;26.9600640535;
26;1;16.9500007629;11.0;8;22.0;4;19.625;13.2840251923;4;27.0392494202;
27;1;16.9500007629;11.0;8;22.0;4;19.625;13.3156995773;5;27.120018959;
28;1;16.9500007629;11.0;9;22.0;4;20.1020050049;12.5;5;27.2022752762;
29;1;16.9500007629;11.0;10;22.0;4;20.1205120087;12.5;5;27.2859115601;
30;3;14.9500007629;12.0;8;33.5;4;18.1393299103;13.5;5;27.3708124161;
31;3;14.9500007629;13.0;8;33.9600000381;4;17.1584320068;14.5;5;27.4568536282;
32;3;14.9500007629;14.0;8;34.3833837509;4;16.1777915955;15.5;6;27.5439035892;
33;3;14.0;15.0;8;34.76932621;4;15.1973781586;16.5;6;27.6318233013;
34;4;14.0;16.0;9;40.1180152893;4;14.5921602249;17.5;7;27.7204678059;
35;4;15.0;17.0;9;40.5804848671;4;14.6121053696;18.5;7;27.8096864223;
36;4;16.0;18.0;8;41.0052051544;4;14.6321792603;19.5;7;27.8993241787;
37;4;17.0;19.0;9;41.3939847946;4;14.6523475647;20.5;7;27.989222765;
38;4;17.6319885254;20.0;9;41.7489757538;4;14.6725749969;21.5;7;28.079221487;
39;4;17.6737670898;21.0;9;42.0725288391;4;14.6928253174;22.5;8;28.1691586971;
40;4;17.7142848969;22.0;9;42.3448963165;4;14.713060379;23.5;9;28.258872509;
41;4;17.7534694672;23.0;10;42.4708600044;4;14.7332458496;24.5;10;28.348202467;
42;5;17.7912578583;24.0;7;42.5920171738;4;14.7533454895;25.5;10;28.4369900227;
43;5;17.8276062012;25.0;7;42.7082519531;4;14.7733230591;26.5;11;28.5250804424;
44;5;17.8624763489;26.0;7;42.8194880486;4;14.7931432724;27.5;11;28.6123232841;
45;5;17.8958473206;27.0;7;42.9256877899;4;14.8127727509;28.5;11;28.6985738277;
46;5;17.9277057648;28.0;7;43.0268483162;4;14.8321790695;29.5;11;28.7836937904;
47;5;17.9580535889;29.0;7;44.1229987144;5;15.8513317108;27.5;10;28.867552042;
48;5;18.9869003296;30.0;7;44.264197588;5;14.8701992035;28.5;10;28.9500255585;
49;5;21.0142593384;28.0;8;45.4025039673;5;14.8887557983;29.5;11;29.0310001373;
50;5;21.0401592255;29.5509872437;9;45.5680490732;5;15.9069747925;27.5;12;29.110370636;
51;5;22.4114131927;30.0;9;45.7315696478;6;16.0;27.5;8;44.1880412102;
52;5;21.0646286011;32.0;9;45.861739397;6;18.9423103333;28.5;10;45.0139269829;
53;5;22.0;35.0;9;45.9535605907;6;20.0;29.5;10;45.7573261261;
54;5;23.0;38.0;10;46.047990799;6;21.9760398865;30.5;10;46.4173402786;
55;5;24.0;41.0;10;46.1450130939;6;22.6172618866;31.5;11;46.9964375496;
56;6;25.9500007629;44.0;13;61.2446011305;6;21.625;32.5;11;48.4995851517;
57;6;25.9500007629;44.0;14;62.0967193842;6;23.625;31.5;11;48.9633777142;
58;6;26.9500007629;44.0;14;62.8706967831;6;23.625;32.5;12;49.3658373356;
59;7;27.9500007629;44.0;12;73.5656437874;6;23.625;33.5;12;49.7145926952;
60;7;29.9500007629;45.0;10;74.5840169191;6;24.625;31.5;12;49.9233028889;
61;7;31.9500007629;46.0;10;75.5051524639;6;25.70495224;32.5;12;50.0132282972;
62;8;32.9500007629;46.0;12;76.3343304396;6;26.7179145813;32.5;15;50.1016031504;
63;8;34.9500007629;46.0;11;77.0783276558;7;26.625;33.5;15;50.1884293556;
64;8;34.538105011;46.0;12;77.7447170019;7;28.625;32.5;15;50.2560760975;
65;8;34.6148300171;46.0;12;78.2476063967;7;29.0249996185;32.5;16;50.2905418873;
66;8;34.6500015259;46.0;14;78.6091159582;7;29.0249996185;32.5;18;50.3255085945;
67;8;34.6500015259;46.0;12;78.9476486444;7;29.0249996185;32.5;16;50.3609591722;
68;8;35.6500015259;46.0;14;79.2645893097;7;27.0249996185;33.5;17;50.3968753815;
69;8;34.6500015259;46.0;14;79.5614587069;7;25.0249996185;32.5;18;50.4332377911;
70;8;34.6500015259;46.0;14;79.8398406506;7;24.75;32.5;18;50.4700255394;
71;8;34.6500015259;46.0;14;79.997248292;7;24.75;32.5;19;50.5072168112;
72;8;34.6500015259;46.0;14;80.1259686947;7;24.75;32.5;19;50.5447884798;
73;8;34.6500015259;46.0;16;82.1350131035;7;24.75;32.5;19;50.5827163458;
74;9;32.8209991455;47.0;16;84.8472299576;7;24.75;32.5;20;50.6209751368;
75;9;34.9636688232;47.595123291;16;86.39780581;7;24.75;33.5;20;50.6595385075;
76;9;37.081199646;48.8049659729;17;87.7318902016;7;24.75;32.5;20;50.6983793974;
77;9;37.6130905151;49.9690628052;17;88.6481020451;7;24.75;32.5;18;52.3244531155;
78;9;38.6999969482;51.0;17;89.0381492376;7;23.8500003815;34.0;19;53.6369470358;
79;9;37.6999969482;52.0;17;89.3388345242;7;24.0255012512;35.3899993896;18;54.6810028553;
