Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;2;9.19999980927;10.0;3;21.0;
2;1;7.0;11.0;5;20.0;2;9.19999980927;10.0;3;21.0900000334;
3;1;8.0;10.0;5;20.0;2;9.21800041199;10.0;3;21.1871190071;
4;2;9.0;10.1999998093;4;21.0;2;9.23742389679;10.0;3;21.2917383909;
5;2;9.19999980927;10.0;4;21.0599999428;2;10.3875217438;10.0;3;21.4042263031;
6;2;10.3179998398;10.0;4;21.1229639053;2;11.4212675095;10.0;3;21.5249304771;
7;2;11.336889267;10.0;4;21.1889609098;2;11.4574794769;10.0;3;22.0694183111;
8;2;11.3566884995;10.0;4;21.6699410677;2;11.6208257675;10.1999998093;3;22.5515855551;
9;2;11.5009822845;10.1999998093;4;22.0818096399;2;11.7654762268;10.3632001877;3;22.983014226;
10;2;11.62454319;10.3632001877;4;22.4358423948;2;11.8949041367;10.4951858521;3;24.2738182545;
11;2;11.7307529449;10.4951858521;4;23.611035943;2;12.2821455002;11.0209560394;3;25.4089095592;
12;2;12.0833110809;11.0209560394;4;24.615765214;2;14.2821455002;11.4571752548;3;26.4029755592;
13;2;14.0833110809;11.4571752548;5;25.4640146494;2;16.2821464539;11.8107032776;3;27.276881218;
14;2;16.0833110809;11.8107032776;5;26.1761806011;2;17.5406589508;12.0916318893;3;28.0536293983;
15;2;17.2104492188;12.0916318893;5;26.7751014233;2;18.6418800354;12.3113050461;3;28.755402565;
16;2;18.2583217621;12.3113050461;5;27.2831678391;2;19.750667572;12.4808797836;4;29.1808357239;
17;2;19.3089962006;12.4808797836;5;27.4996597767;3;20.8668251038;12.5;4;29.5913586617;
18;2;20.3624725342;12.5;5;27.687142849;3;21.9899806976;12.5;5;30.0233430862;
19;2;21.4187164307;12.5;5;27.883649826;3;23.0070037842;12.5;5;30.4742712975;
20;2;22.3650951385;12.5;6;28.0888605118;3;23.1422805786;12.5;5;30.9409928322;
21;2;22.4266586304;12.5;6;28.3023359776;3;23.2822971344;12.5;5;31.4197778702;
22;3;22.4906997681;12.5;5;28.5235154629;3;23.4259338379;12.5;5;31.906411171;
23;3;22.5570545197;12.5;5;28.7517154217;3;23.5719223022;12.5;5;32.3963236809;
24;3;22.6255149841;12.5;5;28.986133337;3;23.7188968658;12.5;6;32.8847527504;
