Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;9.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;10.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;1;11.0;10.0;5;20.0;2;11.3000001907;10.0;3;21.3999996185;
8;1;11.0;10.0;5;20.3999996185;2;11.4200000763;10.1999998093;3;21.8564003706;
9;1;11.1199998856;10.1999998093;5;20.7264003754;2;11.5569200516;10.3632001877;3;22.2658027411;
10;2;11.2179203033;10.5631999969;4;21.9903717041;2;11.6797409058;10.4951858521;3;23.5306534767;
11;2;11.597111702;10.4951858521;4;23.1319121122;2;12.0591964722;11.0209560394;3;24.6489018202;
12;2;11.939573288;11.0209560394;4;24.1014695168;2;14.0591964722;11.4571752548;3;25.6380903721;
13;2;13.939573288;11.4571752548;5;24.9131449461;2;16.0591964722;11.8107032776;4;26.5222804546;
14;2;15.939573288;11.8107032776;5;25.5874900818;2;17.3142776489;12.0916318893;4;27.3279397488;
15;2;17.0338420868;12.0916318893;5;26.1475405693;2;18.4241714478;12.3113050461;4;28.0808603764;
16;2;18.0700531006;12.3113050461;5;26.6159290075;2;19.5483036041;12.4808797836;4;28.5832509995;
17;2;19.1088237762;12.4808797836;5;26.7922235727;2;20.6875495911;12.5;4;29.0998392105;
18;2;20.1502399445;12.5;5;26.9393253326;2;21.8425254822;12.5;4;29.6697235107;
19;2;21.1943702698;12.5;4;27.0956480503;2;22.9009170532;12.5;5;30.2922105789;
20;2;22.1286945343;12.5;5;27.261295557;2;23.0876636505;12.5;5;30.9647336006;
21;2;21.5;13.1783885956;5;27.4362905025;2;23.2894210815;12.5;5;31.6826052666;
22;2;22.2308864594;12.5;5;27.6205644608;2;23.504781723;12.5;5;32.4389019012;
23;2;21.5;13.2861690521;5;27.8139474392;3;21.504781723;13.5;5;33.2245311737;
24;2;21.5;13.3441839218;6;28.016159296;3;22.504781723;12.5;5;34.0285177231;
25;3;19.5;14.4048480988;5;28.2268030643;3;23.504781723;12.5;6;34.8385095596;
26;4;18.5;15.4680404663;5;28.445360899;3;22.4515533447;13.5;6;35.6414785385;
27;4;17.5;15.5;5;28.6711919308;3;21.6924438477;14.5;6;36.424533844;
28;4;16.5;17.5;5;28.9035346508;3;20.9273605347;15.5;6;37.1757497787;
29;4;15.5;19.4517669678;5;29.141512394;3;20.1527252197;16.5;6;37.8848962784;
30;4;14.5;20.5707569122;5;29.3841423988;3;19.3654689789;17.5;7;38.5439720154;
31;4;14.0;21.6920719147;5;29.6303496361;3;18.5631904602;18.5;7;39.1474952698;
32;4;14.0;22.8151741028;5;29.8789830208;3;18.2442474365;19.5;7;39.692527771;
33;4;15.0;21.8151741028;5;30.1288366318;3;18.4077587128;20.5;7;41.1784791946;
34;4;15.5386505127;22.5;5;30.3786706924;3;19.5535430908;21.5;8;41.6667428017;
35;4;15.6136016846;23.5;6;30.6272368431;3;20.6820220947;22.5;9;43.9774866104;
36;4;15.6881713867;24.5;6;30.8733024597;3;20.9813575745;23.5;9;45.9237517118;
37;4;15.0;23.5;6;31.1156759262;3;19.9813575745;22.5;10;47.5334882736;
38;4;15.0;23.5;6;31.353228569;3;19.9813575745;22.5;10;48.8478246927;
39;4;15.9059686661;24.5;6;31.5849161148;3;18.9813575745;21.5;11;49.9123171568;
