Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
70;4;25.1800003052;33.5;16;55.25;5;25.5;30.1575565338;15;30.8246593475;
71;4;25.1800003052;34.5;16;55.25;5;25.5;30.1660499573;15;30.8848787546;
72;4;25.1800003052;35.5;16;55.25;5;25.8559494019;29.5813503265;16;30.9454861879;
73;4;25.1800003052;36.5;16;55.25;5;25.5;30.1832084656;16;31.0064444542;
74;4;25.1800003052;37.5;17;55.25;5;25.5;30.191865921;16;32.1454831362;
75;4;25.1800003052;38.5;18;55.25;5;25.7999992371;30.5945739746;16;33.0647951365;
76;4;25.1800003052;39.5;18;57.2268753052;5;26.0340003967;30.9093894958;16;33.798766613;
77;4;25.4986000061;41.0;18;58.8250236511;5;26.2123565674;31.1501235962;16;34.3832029104;
78;4;26.7543106079;39.3899993896;18;60.0965585709;5;26.7410583496;30.6724624634;16;35.7030717134;
79;4;25.9565467834;40.6872596741;19;61.0971155167;5;27.801864624;31.736743927;18;35.862180829;
80;4;26.1151275635;41.9097442627;19;61.7313194275;6;28.3999996185;33.4097938538;18;36.0211133957;
81;4;26.1991767883;43.0;20;61.8944940567;6;28.3999996185;34.413192749;18;36.1797366142;
82;4;25.2315139771;42.0;20;62.0;6;26.3999996185;36.4167022705;18;36.3379187584;
83;4;23.2599983215;44.0;22;62.0;6;25.3999996185;38.420337677;18;36.4955298901;
84;4;22.2599983215;46.0;22;62.0;6;24.3999996185;39.4240913391;19;36.6524429321;
85;4;22.2599983215;45.0;22;62.0;6;23.3999996185;40.4279632568;19;36.8085325956;
86;4;20.2599983215;47.0;23;62.0;6;22.3999996185;41.4319572449;19;36.9636776447;
87;4;19.2599983215;49.0;22;62.0;6;21.3999996185;42.4360656738;19;37.1177592278;
88;4;19.7000007629;48.0;22;62.0;6;20.3999996185;43.4402923584;20;37.2706627846;
89;4;18.7000007629;50.0;22;62.0;6;20.0;44.4446258545;21;37.422277689;
90;5;18.7000007629;52.0;22;62.0;6;20.0;45.4490737915;23;37.5724974871;
91;5;19.7000007629;51.0;22;62.0;6;20.0;46.45362854;23;37.7212208509;
92;5;18.7000007629;53.0;23;62.0;7;20.0;47.4582862854;22;37.8683508635;
93;5;18.7000007629;55.0;24;62.0;7;20.0;48.4630470276;23;37.990240097;
94;5;20.7000007629;51.0;24;62.0;7;20.0;49.4702529907;24;38.0946257114;
95;6;19.7000007629;54.0;23;63.0;8;21.0;47.479133606;23;38.198371768;
96;6;19.7000007629;54.0;21;63.0800000429;8;20.0;47.6280059814;23;38.3013944626;
97;6;19.2915992737;54.0;21;63.165536046;8;20.0;49.4967803955;24;38.4036138058;
98;6;19.0;54.0;23;63.2568495274;8;21.0;47.5055503845;23;38.5049530268;
99;6;20.0;55.0;23;63.3541692495;8;20.0;48.5142669678;22;38.6053390503;
