Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;9.0;10.0;5;20.0;
3;2;8.19999980927;10.0;4;21.0599999428;1;9.0;10.0;6;20.0;
4;2;9.21199989319;10.0;4;21.1229639053;2;9.19999980927;10.0;5;21.0;
5;2;9.22459316254;10.0;4;21.1889609098;2;10.3000001907;10.0;5;21.0900000334;
6;2;10.3566884995;10.0;4;21.2580518723;2;11.3269996643;10.0;5;21.1871190071;
7;2;11.377415657;10.0;4;21.3302885294;2;11.3561353683;10.0;5;21.7036092281;
8;2;11.3990869522;10.0;4;21.8190145493;2;11.5110826492;10.1999998093;4;22.1564130783;
9;2;11.5457038879;10.1999998093;4;22.2388005257;2;11.6469240189;10.3632001877;4;22.557236433;
10;2;11.6716403961;10.3632001877;4;22.6008902788;2;11.7671709061;10.4951858521;4;23.8035871983;
11;2;11.7802667618;10.4951858521;4;23.7875448465;2;12.141076088;11.0209560394;4;24.8916251659;
12;2;12.1362638474;11.0209560394;4;24.8040741682;2;14.141076088;11.4571752548;4;25.8364036083;
13;2;14.1362628937;11.4571752548;5;25.6643919945;2;16.1410751343;11.8107032776;4;26.6592981815;
14;2;16.1362628937;11.8107032776;5;26.3888099194;2;16.9977893829;12.0916318893;4;27.3839819431;
15;2;17.2742366791;12.0916318893;5;27.0000665188;2;17.2151947021;12.3113050461;4;28.0334718227;
16;2;18.3258094788;12.3113050461;5;27.5204386711;2;17.4100418091;12.4808797836;4;28.407397747;
17;2;19.3801765442;12.4808797836;5;27.7490785122;2;19.4090023041;12.5;4;28.7683298588;
18;2;20.437297821;12.5;5;27.9484119415;2;20.517282486;12.5;4;29.1538929939;
19;2;21.4970970154;12.5;5;28.156321764;2;21.6329517365;12.5;5;29.562889576;
20;2;22.4468955994;12.5;6;28.3723301888;2;22.7556495667;12.5;6;29.9934945107;
21;2;22.5116996765;12.5;6;28.5958371162;2;22.9980487823;12.5;6;30.4432339668;
22;2;22.5787506104;12.5;6;28.8261203766;2;23.1329708099;12.5;6;30.9089989662;
23;3;22.6478366852;12.5;5;29.0623402596;2;23.2726993561;12.5;6;31.3870959282;
24;3;22.7187023163;12.5;5;29.303548336;2;21.5;13.5;6;31.8733391762;
25;3;22.7910652161;12.5;6;29.5486979485;2;22.5;12.5;6;32.36317873;
26;4;21.5;13.5;4;29.796661377;2;21.5;13.5;7;32.8518595695;
27;4;20.5;13.5;4;30.0462479591;2;20.5;13.5;7;33.3346033096;
28;4;20.013874054;14.5;5;30.2962265015;2;20.5;13.5;7;33.8067913055;
29;4;19.0888671875;15.5;5;30.5453491211;2;21.5;14.5;7;34.2641468048;
