Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
6;1;10.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;2;11.0;10.0;4;20.0;1;11.0;10.0;5;20.3999996185;
8;2;11.0;10.0;5;20.3999996185;2;11.4200000763;10.1999998093;4;21.7264003754;
9;3;11.1199998856;10.3999996185;3;21.7264003754;2;11.5179204941;10.3632001877;4;21.9903717041;
10;3;11.5179204941;10.3632001877;3;21.9903717041;2;11.597111702;10.4951858521;4;23.0619120598;
11;3;11.597111702;10.4951858521;3;23.0919120312;2;11.9185733795;11.0209560394;4;23.9545464516;
12;3;11.927573204;11.0209560394;3;24.0163254738;2;13.9185733795;11.4571752548;4;24.6819883585;
13;3;13.9275741577;11.4571752548;3;24.7773565054;2;15.9185733795;11.8107032776;5;25.2644146681;
14;3;15.9275741577;11.8107032776;3;25.395208478;2;16.9369182587;12.0916318893;5;25.7245066166;
15;3;16.6185626984;12.0916318893;3;25.8925833702;2;17.9431419373;12.3113050461;5;26.0845712423;
16;3;16.7677764893;12.3113050461;3;26.2918028831;2;18.9494171143;12.4808797836;4;26.1438889503;
17;3;16.8875408173;12.4808797836;3;26.3921557665;2;19.955739975;12.5;4;26.1651208401;
18;3;16.9176464081;12.5;3;26.4563041925;2;20.9621105194;12.5;4;26.1864993572;
19;3;18.9254188538;12.5;3;26.5224741697;2;21.8559494019;12.5;5;26.2080165148;
20;3;19.9452705383;12.5;3;26.5906432867;2;21.5;12.8624048233;5;26.2296639681;
21;3;20.9657211304;12.5;3;26.6607804298;2;21.5;12.8688993454;5;26.2514331341;
22;3;21.9867610931;12.5;3;26.7328453064;2;21.5;12.8754301071;5;26.2733153105;
23;3;22.0198535919;12.5;2;26.8067884445;2;21.5;12.8819942474;5;26.2953014374;
24;3;22.0420360565;12.5;2;26.8825509548;2;21.5;12.8885908127;5;26.3173824549;
25;3;21.5;13.0647649765;2;26.9600640535;2;21.8952140808;12.5;5;26.3395489454;
26;3;21.5;13.088019371;2;27.0392494202;2;21.9018650055;12.5;6;26.3617914915;
27;3;22.1117744446;12.5;2;27.120018959;3;21.5;13.1808958054;6;26.3841004372;
28;3;21.5;13.5;2;27.2022752762;4;21.5;13.1920499802;4;26.4064661264;
29;3;22.1606826782;12.5;2;27.2859115601;4;21.9219398499;12.5;3;26.428878665;
30;3;21.5;13.5;2;27.3708124161;4;19.9286632538;13.5;4;26.4513280392;
31;3;21.5;13.6854057312;3;27.4568536282;4;18.9353981018;14.5;4;26.4738043547;
32;3;21.5;13.7284269333;3;27.5439035892;4;17.9421405792;15.5;4;26.4962974787;
33;3;20.2631721497;13.5;3;27.6318233013;4;16.9488887787;16.5;3;26.5187973976;
34;3;20.5;13.5;3;27.7204678059;4;15.9556388855;17.5;3;26.5412938595;
35;3;19.3161411285;13.5;3;27.8096864223;4;14.9623880386;18.5;3;26.5637768507;
36;4;19.3429069519;15.0;2;28.8993241787;4;14.4691333771;19.5;4;26.5862361193;
37;4;19.3697967529;15.5;2;29.0092227459;4;14.4758710861;20.5;4;26.6086617708;
38;4;19.3967666626;16.5;2;29.119417429;4;14.4825983047;21.5;5;26.6310436726;
