Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
6;1;10.0;10.0;4;20.0;1;11.0;10.0;5;20.0;
7;1;11.0;10.0;4;20.0;1;11.0;10.0;5;20.3999996185;
8;1;11.0;10.0;4;20.3999996185;2;11.4200000763;10.1999998093;4;21.7264003754;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;11.2179203033;10.5631999969;2;21.9903717041;2;11.597111702;10.4951858521;4;23.0819120407;
11;2;11.597111702;10.4951858521;2;23.0819120407;2;11.9245738983;11.0209560394;4;23.99553442;
12;2;11.9245738983;11.0209560394;2;23.99553442;2;13.9245738983;11.4571752548;4;24.7449600697;
13;2;13.9245738983;11.4571752548;3;24.7449600697;2;15.9245738983;11.8107032776;5;25.3503712416;
14;2;15.9245738983;11.8107032776;3;25.3503712416;2;16.9627056122;12.0916318893;5;25.8344515562;
15;2;16.9627056122;12.0916318893;3;25.8344515562;2;17.9761257172;12.3113050461;5;26.2195074558;
16;2;17.9761257172;12.3113050461;3;26.2195074558;2;18.9898986816;12.4808797836;5;26.3048160076;
17;2;18.9898986816;12.4808797836;3;26.3048160076;2;20.0040187836;12.5;5;26.3530313969;
18;2;20.0040187836;12.5;3;26.3530313969;2;21.0184822083;12.5;5;26.4023760557;
19;2;21.0184822083;12.5;3;26.4023760557;2;21.5;12.920712471;6;26.4528282881;
20;2;21.5;12.920712471;4;26.4528282881;2;21.5;12.9358482361;6;26.5043625832;
21;2;21.5;12.9358482361;4;26.5043625832;2;21.5;12.9513092041;6;26.5569496155;
22;2;21.5;12.9513092041;4;26.5569496155;2;21.9670848846;12.5;6;26.6105561256;
23;2;21.9670848846;12.5;4;26.6105561256;2;21.9831676483;12.5;6;26.6651450396;
24;2;21.9831676483;12.5;5;26.6651450396;2;21.5;12.99954319;7;26.72067523;
25;3;21.5;12.99954319;4;26.72067523;3;21.5;13.0162029266;6;26.7771017551;
26;4;21.5;13.0162029266;5;26.7771017551;3;21.5;12.5;6;26.8343759775;
27;4;21.5;13.0331306458;5;26.8343759775;3;21.5;13.4171876907;6;26.8924454451;
28;4;20.0503120422;13.5;5;26.8924454451;3;22.0677337646;12.5;6;26.9512542486;
29;4;19.0677337646;14.5;5;26.9512542486;3;21.5;13.4756269455;6;27.0107431412;
30;4;19.5;13.4756269455;5;27.0107431412;3;21.5;13.5053710938;6;27.0708494186;
31;4;20.5;13.5053710938;5;27.0708494186;3;20.1212539673;13.5;6;27.1315076351;
32;4;19.1212539673;13.5;5;27.1315076351;3;20.5;13.5;6;27.1926498413;
33;4;19.5;13.5;5;27.1926498413;3;21.5;13.5963249207;6;27.2542052269;
34;4;18.1577949524;13.5;5;27.2542052269;3;21.5;13.6271028519;7;27.3161010742;
35;4;17.1762619019;14.5;5;27.3161010742;3;20.1948299408;13.5;7;27.3782629967;
36;4;16.1948299408;15.5;6;27.3782629967;3;19.2134780884;14.5;7;27.4406147003;
37;4;15.2134790421;16.5;6;27.4406147003;3;18.2321853638;15.5;7;27.5030794144;
38;4;14.7321844101;17.5;6;27.5030794144;3;17.2509231567;16.5;9;27.5655794144;
39;4;14.7509241104;18.5;7;27.5655794144;3;16.2696743011;17.5;9;27.628036499;
