Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;2;13.3999996185;10.0;3;21.0;2;6.0;12.8999996185;3;22.0;
2;2;13.3999996185;10.0;3;21.1200000048;2;7.15000009537;11.6999998093;3;22.0900000334;
3;2;13.4479999542;10.0;3;21.2530560493;2;8.16349983215;10.6999998093;3;22.1871190071;
4;2;14.7518339157;10.0;3;21.4002518654;2;8.32806777954;10.5;2;22.2917383909;
5;2;15.8401508331;10.0;3;21.5626775026;2;8.34376049042;10.5;1;22.4042263031;
6;2;16.9376068115;10.0;2;22.1570323706;2;9.46595096588;10.5;1;22.5249304771;
7;2;18.0542201996;10.1999998093;2;22.698546052;2;10.0681095123;10.5;1;22.6541694403;
8;2;18.6191272736;10.3632001877;2;24.1076657772;2;10.0971889496;10.5;1;23.2287653685;
9;2;19.4645996094;10.9097137451;2;25.3793644905;2;10.2264719009;10.7100000381;1;23.7334493399;
10;2;21.4645996094;11.3658018112;2;26.5288131237;2;10.3400268555;10.8792181015;1;24.1532578468;
11;2;23.4645996094;11.7372808456;2;27.5781302452;2;10.4344825745;11.0;1;26.0129473209;
12;2;25.1980953217;12.0336990356;2;28.5519375801;2;10.8529129028;11.7700004578;1;27.6574776173;
13;2;26.5033035278;12.2662630081;2;29.473883152;2;12.5872430801;12.4126424789;1;29.0951218605;
14;2;27.8404655457;12.446267128;2;30.1961040497;2;14.5872430801;12.9308347702;1;30.3518810272;
15;2;29.209318161;12.5;3;30.8614077568;2;16.5872421265;13.3366470337;2;31.4625301361;
16;3;30.6085014343;12.5;2;31.5729002953;3;17.8879413605;13.6469516754;1;32.4630823135;
17;3;32.0353965759;12.5;2;32.3239922523;3;19.0082912445;13.879781723;1;33.2818861008;
18;3;33.3943939209;12.5;1;33.1059026718;3;20.138425827;14.0;1;33.9008235931;
19;3;33.8635406494;12.5;2;33.9079084396;3;21.2776870728;14.0;1;34.5557665825;
20;3;34.344745636;12.5;2;34.7178239822;3;21.7750473022;14.0;1;35.2404661179;
21;3;34.830696106;12.5;1;35.5226716995;3;21.9291038513;14.0;1;35.9471020699;
22;3;35.3136024475;12.5;1;36.3094863892;3;22.0880966187;14.0;1;36.6665449142;
23;3;35.7856903076;12.5;1;37.0661487579;3;22.2499713898;14.0;1;37.3887672424;
24;3;36.2396888733;12.5;2;37.7821359634;3;22.4124717712;14.0;1;38.1033678055;
25;3;36.6692810059;12.5;2;38.449090004;3;22.5732574463;14.0;1;38.8001594543;
26;3;37.0694541931;12.5;2;39.0611457825;3;22.7300338745;14.0;2;39.4697523117;
27;3;37.4366874695;12.5;2;39.6149940491;3;22.8806934357;14.0;2;40.1040582657;
28;3;37.7689971924;12.5;3;40.1097126007;3;23.0234127045;14.0;2;40.6966657639;
29;3;38.065826416;12.5;3;40.5464267731;3;23.1567497253;14.0;2;41.2430458069;
30;3;38.3278579712;14.5;3;40.9278697968;3;21.2796840668;15.0;2;41.7405805588;
31;3;38.5567207336;16.5;3;41.2579154968;3;20.3916301727;16.0;2;42.1884441376;
32;3;38.7547492981;18.5;3;41.54114151;3;19.4923992157;17.0;2;42.5873603821;
33;3;38.9246826172;20.5;3;41.782453537;3;18.5821552277;18.0;2;42.9393005371;
34;3;39.0694732666;22.5;4;41.986787796;3;17.6613426208;19.0;2;43.2471542358;
35;3;39.192073822;22.5;4;42.0;3;17.4306106567;20.0;2;43.5144128799;
36;3;39.2000007629;22.5;4;42.0;3;17.4907436371;21.0;2;43.744893074;
37;3;39.2000007629;22.5;5;42.0;3;17.5426006317;22.0;1;43.9425086975;
38;3;39.2000007629;22.5;5;42.0;3;17.587064743;23.0;2;44.0;
39;3;39.2000007629;22.5;6;42.0;3;17.6000003815;24.0;3;44.0;
40;3;39.2000007629;22.5;6;42.0;3;17.6000003815;25.0;4;44.0;
41;3;39.2000007629;22.5;7;42.0;4;18.6000003815;26.5;4;45.0;
42;3;39.2000007629;22.5;7;42.0;4;19.6000003815;27.0;5;45.1599999666;
43;3;39.2000007629;22.5;8;42.0;4;20.6000003815;25.5799999237;6;45.3437439203;
44;3;39.2000007629;22.5;8;42.0;4;19.90234375;26.0;7;45.5541238785;
45;3;39.2000007629;22.5;8;43.6800003052;4;20.6000003815;26.0;7;45.7941719294;
46;3;40.2080001831;23.0;9;45.0469760895;4;21.6000003815;27.0;8;46.0669906139;
47;3;41.0281867981;23.3899993896;9;46.1407337189;4;22.6000003815;28.0;9;46.375654459;
48;3;41.6844406128;23.6872596741;9;47.0048980713;4;24.1345233917;29.0;9;46.7230784893;
49;3;42.2029380798;23.9097423553;9;47.5335483551;4;24.6000003815;30.0;9;47.1118502617;
50;3;42.5201263428;24.0;10;47.8199977875;4;25.6000003815;30.0;9;47.544028759;
51;3;42.6919975281;24.0;10;48.0;4;25.8999996185;30.7720146179;9;48.0209121704;
