Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
66;9;31.4195747375;33.0;6;46.9236295223;4;34.7999992371;31.375082016;3;56.846529007;
67;9;31.8412799835;35.3899993896;5;48.9710195065;4;36.7999992371;31.9629058838;3;58.6100823879;
68;9;33.3742980957;39.2762756348;5;49.9756263494;4;37.7999992371;33.0117645264;1;60.1196053028;
69;9;36.310798645;38.9097442627;6;50.6181708574;4;35.7999992371;35.0621185303;1;61.3779950142;
70;9;35.9841384888;42.0;5;52.1114743948;4;34.7999992371;37.1139030457;2;62.4074883461;
71;9;37.0591621399;45.49477005;5;52.6980870962;4;34.7999992371;38.9101219177;2;63.2409338951;
72;10;34.5999984741;50.2497596741;4;53.3229629993;4;34.7999992371;40.0061035156;3;63.9142413139;
73;10;33.5999984741;50.693572998;5;53.9880422354;5;34.7999992371;41.1016082764;2;64.3930976391;
74;10;32.5999984741;54.8717803955;5;54.6950422525;5;34.7999992371;42.1965484619;2;64.5816595554;
75;10;31.5999984741;58.7184944153;5;55.4453407526;5;34.7999992371;43.2908287048;3;64.7687096596;
76;10;32.5999984741;59.5987472534;6;56.2398355007;5;35.7999992371;43.8931884766;3;64.9540529251;
77;10;34.5888442993;59.2232437134;7;57.0787893534;5;35.7999992371;41.9764289856;4;65.1374890804;
78;10;35.714466095;60.3083190918;9;57.9616624117;5;36.7999992371;41.197971344;4;65.2611646652;
79;10;37.3212471008;61.6134681702;9;59.8869485855;5;33.7999992371;41.2828140259;4;65.3830943108;
80;10;36.4948005676;65.6623306274;7;60.9320294857;5;33.7999992371;43.3681640625;6;65.5054576397;
81;10;36.6799240112;68.4594726562;8;62.0186023712;6;34.7999992371;45.4538192749;6;65.6279573441;
82;10;36.4990119934;68.6336212158;8;63.1418015957;6;34.7999992371;47.5395698547;8;65.7502937317;
83;10;35.5547981262;69.8074417114;9;64.2955120802;6;34.7999992371;44.6252059937;6;65.8721673489;
84;10;35.0062484741;71.9804840088;9;65.4489359856;6;33.7999992371;45.7105178833;7;65.9932823181;
85;10;34.037311554;72.2026367188;9;66.6017485857;6;32.7999992371;45.7952957153;8;66.1133489609;
86;10;34.7386398315;72.2910232544;9;67.7621523142;6;33.7999992371;47.8793449402;8;66.2320871353;
87;10;34.4646072388;73.4400634766;8;68.9211837053;6;34.7999992371;49.9624595642;9;66.3492274284;
88;10;30.8591213226;72.5872573853;8;70.0700737238;7;35.7999992371;49.0444602966;9;66.464515686;
89;10;31.8591213226;76.7009124756;9;71.2006514072;7;34.7999992371;51.1251602173;10;66.5777130127;
90;10;32.0003738403;75.9117584229;8;72.3056938648;7;34.7999992371;53.2043991089;11;66.688598156;
91;10;31.2000007629;77.1231994629;9;73.3791890144;7;35.7999992371;52.2820205688;12;66.7969703674;
92;10;30.2000007629;79.7853546143;10;74.4164834023;7;34.7999992371;54.3578796387;12;66.9026489258;
93;10;30.2000007629;82.0565185547;9;75.4143242836;7;34.7999992371;56.431854248;14;67.0054745674;
94;10;30.2000007629;76.4136352539;10;76.3707890511;8;34.7999992371;57.7038345337;12;67.8256387711;
95;10;30.2000007629;81.5396194458;10;77.2851390839;8;34.7999992371;55.7038345337;12;68.6585988998;
96;10;30.2000007629;85.8703765869;9;78.15762043;8;33.7999992371;57.7038345337;11;69.4977502823;
97;10;30.2000007629;89.5964508057;9;78.9892365932;8;34.7999992371;60.7038345337;14;70.3362092972;
98;10;31.2000007629;89.8421630859;9;79.7815287113;8;34.7999992371;58.7038345337;14;71.1670322418;
99;10;31.2000007629;90.9964675903;11;80.5363676548;8;35.3925590515;58.7038345337;14;71.9834423065;
100;10;31.3616504669;93.6054611206;12;81.2557854652;8;35.486869812;59.2000007629;13;72.7790465355;
101;10;31.2000007629;94.2859649658;14;81.8740544319;8;32.7999992371;60.2000007629;15;73.5480365753;
102;10;32.2000007629;95.5324935913;14;82.3051729202;8;33.7999992371;59.2000007629;12;74.2853517532;
103;10;33.2000007629;96.7136306763;16;82.7330517769;8;34.7999992371;59.2000007629;12;74.9867944717;
104;10;34.2000007629;97.013130188;17;83.156443119;8;34.7999992371;62.2000007629;11;75.649102211;
105;10;35.2000007629;97.3095092773;19;83.5741291046;8;35.7999992371;62.2000007629;12;76.2699699402;
106;11;37.2000007629;95.460723877;20;83.9849395752;8;35.7999992371;62.2000007629;9;76.8480243683;
107;12;39.75730896;92.5306091309;19;84.3877663612;8;34.7999992371;65.1999969482;8;77.3827590942;
