Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;2;9.19999980927;10.0;3;21.0;1;13.0;10.0;4;20.0;
2;2;9.19999980927;10.0;3;21.0900000334;2;13.3999996185;10.0;4;21.0;
3;2;9.21800041199;10.0;3;21.1871190071;2;13.3999996185;10.0;5;21.0599999428;
4;2;9.23742389679;10.0;3;21.2917383909;2;14.6359996796;10.0;4;21.1229639053;
5;2;10.3875217438;10.0;3;21.4042263031;2;15.6737785339;10.0;4;21.1889609098;
6;2;11.4212675095;10.0;3;21.5249304771;2;16.7133769989;10.0;4;21.6699410677;
7;2;11.4574794769;10.0;3;22.0694183111;2;17.761964798;10.1999998093;4;22.0818096399;
8;2;11.6208257675;10.1999998093;3;22.5515855551;2;18.24908638;10.3632001877;4;23.3055604696;
9;2;11.7654762268;10.3632001877;3;22.983014226;2;18.983335495;10.9097137451;4;24.3591253757;
10;2;11.8949041367;10.4951858521;3;24.2738182545;2;20.983335495;11.3658018112;4;25.2546225786;
11;2;12.2821455002;11.0209560394;3;25.4089095592;2;22.983335495;11.7372808456;4;26.0115795135;
12;2;14.2821455002;11.4571752548;3;26.4029755592;2;24.2581653595;12.0336990356;4;26.6527690887;
13;2;16.2821464539;11.8107032776;2;27.276881218;2;24.9916629791;12.2662630081;4;27.2010498047;
14;2;17.5406589508;12.0916318893;2;28.0536293983;2;25.3206291199;12.446267128;3;27.5091598034;
15;2;18.6418800354;12.3113050461;2;28.755402565;2;25.5054969788;12.5;3;27.7222084999;
16;2;19.750667572;12.4808797836;3;29.1808357239;2;27.5688457489;12.5;3;27.9475471973;
17;3;20.8668251038;12.5;3;29.5913586617;2;28.7040481567;12.5;3;28.184896946;
18;3;21.9899806976;12.5;3;30.0233430862;2;29.8464584351;12.5;3;28.4337999821;
19;3;23.0070037842;12.5;3;30.4742712975;2;30.9958000183;12.5;4;28.6936080456;
20;3;23.1422805786;12.5;3;30.9409928322;2;31.2161636353;12.5;4;28.9634776115;
21;3;23.2822971344;12.5;3;31.4197778702;2;31.3780860901;12.5;4;29.2423686981;
22;3;23.4259338379;12.5;3;31.906411171;3;31.5454216003;12.5;3;29.5290522575;
23;3;23.5719223022;12.5;4;32.3963236809;3;31.7174301147;12.5;3;29.822124958;
24;3;23.7188968658;12.5;4;32.8847527504;3;31.8932762146;12.5;3;30.1200299263;
25;3;23.8654251099;12.5;4;33.3669252396;3;32.0720176697;12.5;3;30.4210863113;
26;3;21.8654251099;13.5;4;33.8382406235;3;32.2526512146;12.5;4;30.7235240936;
27;3;21.5;14.5;5;34.2944498062;4;32.4341125488;12.5;3;31.0255246162;
28;4;21.5;15.5;5;34.7318048477;4;32.6153144836;12.5;3;31.3252630234;
29;4;21.5;16.5;5;35.1471776962;4;32.7951583862;12.5;3;31.6209526062;
30;4;21.5;17.5;5;35.5381307602;4;32.9725723267;12.5;3;31.9108872414;
31;4;22.5;15.5;6;35.9029474258;4;33.1465339661;14.5;3;32.1934814453;
32;4;21.5;15.5;6;36.2406177521;4;33.3160896301;16.5;3;33.4673027992;
33;4;21.5;15.5;6;36.5507898331;4;34.480381012;19.5;3;33.8611000776;
34;4;20.5;14.5;6;36.8336925507;4;35.6386604309;22.5;3;34.2592529058;
35;4;19.5;13.5;6;37.0900468826;4;36.5555496216;25.5;3;34.662352562;
36;4;19.5;14.5;6;37.3209609985;4;36.7974128723;26.5;3;35.0712273121;
37;4;18.5;13.5;6;38.5278348923;4;37.0427360535;27.5;4;36.486908555;
38;4;19.5;15.0;6;38.7522649765;5;38.2921447754;28.5;3;36.9405765533;
39;4;19.5;13.5;7;38.9571490288;5;39.5463447571;29.5;3;37.4040863514;
40;4;19.5;14.0405921936;7;39.1235535145;5;40.4424514771;30.5;4;37.878698349;
41;5;20.8370666504;14.5;4;54.1671074629;5;40.7272186279;31.5;4;38.3655862808;
42;5;19.5;17.0835533142;6;54.961841464;5;41.0193519592;32.5;4;38.8657354116;
43;5;21.8635520935;21.0835533142;6;55.6771223545;5;41.3194389343;32.5;4;39.3798421621;
44;5;23.8773231506;25.0835533142;7;56.3121058941;5;41.6279067993;32.5;5;39.9082107544;
45;5;25.5;29.0835533142;7;56.8693010807;6;41.9449272156;32.5;4;41.4506614208;
46;5;27.9059104919;33.0835533142;8;57.353702426;6;42.5167503357;33.5;4;41.9895393848;
47;5;29.5;36.0835533142;9;57.7719181776;6;44.5817260742;34.5;6;42.4808316231;
48;5;29.6217956543;37.2264137268;9;58.131380558;6;44.8643798828;35.5;6;44.4066984653;
49;5;30.1423873901;37.5;10;58.4397125244;6;46.0076675415;37.0;6;46.1209939718;
50;5;29.7486209869;39.2784729004;10;58.6105561256;6;47.0239067078;38.3899993896;6;47.6530146599;
51;5;31.2581672668;36.5;11;58.6651450396;6;47.9306716919;38.6872596741;6;50.0327003002;
52;5;29.7749996185;38.332572937;13;58.72067523;6;49.7459335327;39.9097442627;7;51.1985186338;
53;5;29.7749996185;39.3603363037;13;58.7771017551;6;51.3967781067;41.0;7;52.1703360081;
54;5;31.3081302643;36.5;14;58.8343759775;6;51.9293518066;42.0;8;53.1216065884;
55;5;29.7749996185;38.4171905518;15;58.8924454451;6;52.4476890564;43.0;9;54.0455160141;
56;5;30.3427333832;38.5;15;58.9512542486;7;52.9476661682;44.0;9;54.9358545542;
57;5;31.360376358;36.5;15;59.0107431412;7;51.4255371094;45.0;9;55.7126275301;
58;5;29.7749996185;38.5;13;59.0708494186;7;47.3444900513;47.6325454712;11;56.4093937874;
59;5;30.3962554932;38.5;12;59.1315076351;7;45.3444900513;48.7010612488;11;57.0729366541;
60;5;30.7749996185;36.5;12;59.1926498413;7;46.3444900513;46.7831115723;11;57.700573802;
61;6;29.7749996185;38.5;9;70.7542052269;7;47.5664749146;48.8256645203;12;58.2909665108;
62;6;30.7749996185;40.6271018982;10;71.2761011124;7;48.6026878357;50.8698272705;15;58.8439879417;
63;6;33.4698295593;38.5;10;71.7616467476;7;48.639213562;52.9155807495;16;59.3605282307;
64;6;31.7749996185;40.5;11;74.40325737;7;48.5998497009;54.9629058838;16;59.8422707319;
65;6;30.9032497406;40.5;11;76.6445736885;8;48.6473617554;57.0117645264;15;60.2914675474;
66;6;31.0102500916;42.3899993896;13;78.5304489136;9;47.4372558594;60.0621185303;11;70.7107284069;
67;6;32.098400116;43.6872596741;13;80.1101603508;9;48.575843811;63.316493988;12;71.6028367281;
68;6;31.1702575684;42.6872596741;15;81.2689702511;9;49.6963882446;66.4008560181;12;72.4419101477;
69;6;31.2250003815;42.6872596741;15;81.9287302494;9;47.6963882446;70.4865570068;12;73.0801465511;
70;6;31.2250003815;42.6872596741;15;82.519241333;9;46.6963882446;73.332862854;16;73.6878881454;
71;6;28.2250003815;44.6872596741;17;82.9360976219;9;45.6963882446;75.4320983887;16;74.2637640238;
72;6;26.2250003815;46.6872596741;16;83.2730493546;9;42.6963882446;79.5322647095;15;75.8072882891;
73;6;25.2250003815;48.6872596741;16;83.5554509163;9;42.6963882446;84.1409683228;16;76.3837360144;
74;6;24.7250003815;50.6872596741;17;83.6779201031;10;42.6963882446;87.2398986816;16;76.9325306416;
75;6;24.7250003815;52.6872596741;18;83.8001036644;11;42.6963882446;92.3397064209;16;77.4551292658;
76;6;24.7250003815;54.6872596741;18;83.9217031002;11;42.6963882446;96.5144195557;16;77.9533025026;
77;6;25.7250003815;53.6872596741;19;84.0424246788;11;42.7999992371;100.657608032;18;78.4290009737;
78;6;24.7250003815;55.6872596741;20;84.1619825363;12;43.7999992371;101.75353241;18;78.8842493296;
79;6;24.7250003815;57.6872596741;20;84.2801003456;12;43.7999992371;102.913253784;19;79.225382328;
80;6;25.7250003815;56.6872596741;21;84.3965148926;12;45.639881134;104.844573975;19;80.9060924053;
81;6;24.7250003815;58.6872596741;22;84.5109772682;12;45.7999992371;105.127120972;19;81.6939554214;
82;6;25.7250003815;57.6872596741;22;84.6232566833;12;44.7999992371;110.626205444;20;82.5121665001;
83;6;25.7250003815;56.6872596741;23;84.7331395149;13;45.7999992371;113.003295898;20;83.3580933809;
84;6;24.7250003815;58.6872596741;23;84.8404331207;14;45.7999992371;112.048171997;20;85.2285872698;
85;6;25.7250003815;58.6872596741;24;84.9449653625;14;43.7999992371;117.374588013;21;86.1600329876;
86;6;25.7250003815;58.6872596741;24;85.0465860367;14;45.7999992371;119.707427979;22;88.5504081249;
87;6;24.7250003815;61.6872596741;25;85.1451668739;15;44.7999992371;121.044418335;21;89.9684749842;
88;6;25.7250003815;61.6872596741;26;85.2406010628;15;43.7999992371;126.383087158;22;91.3553122282;
89;6;25.7250003815;61.6872596741;26;85.332804203;16;43.7999992371;130.72088623;22;93.7097748518;
90;6;24.7250003815;64.6872558594;27;85.4217123985;17;49.7999992371;126.055290222;21;96.171212554;
91;6;25.7250003815;64.6872558594;27;85.5072827339;17;48.7999992371;133.383850098;22;97.6773408651;
92;6;25.7250003815;64.6872558594;28;85.5894908905;17;50.7999992371;140.704315186;22;99.1317520142;
93;6;24.7250003815;67.6872558594;29;85.6683311462;17;53.7999992371;143.01461792;22;101.234411359;
94;6;25.7250003815;67.6872558594;29;85.7438144684;17;55.7999992371;146.313018799;23;102.432232261;
95;6;25.7250003815;67.6872558594;29;85.8159675598;17;56.7999992371;153.598114014;24;104.66537571;
96;6;24.7250003815;70.6872558594;30;85.8848304749;17;60.7999992371;154.060058594;28;106.991639495;
97;6;25.7250003815;70.6872558594;31;85.9504561424;17;61.7999992371;158.354919434;28;108.502181649;
98;6;25.7250003815;70.6872558594;31;86.0;17;61.7999992371;162.634887695;30;111.245653391;
99;6;24.7250003815;73.0872650146;31;86.0;17;61.7999992371;163.976013184;32;113.97605145;
100;6;25.7250003815;72.0872650146;32;86.0;18;58.7999992371;171.31010437;32;116.696828604;
