Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
80;9;32.0999984741;59.6478881836;23;69.7304346561;7;37.7999992371;56.6532440186;17;61.5708452463;
81;9;32.0999984741;60.8652114868;26;70.1656069756;7;36.7999992371;57.675491333;17;61.7405935526;
82;9;32.0999984741;62.0827980042;26;70.6006937027;7;36.7999992371;59.6976623535;19;61.9213812351;
83;9;32.0999984741;67.1812362671;25;71.0351002216;7;37.7999992371;62.7197532654;19;62.1138327122;
84;9;32.0999984741;71.2866592407;24;71.4682402611;7;35.7999992371;66.4384460449;18;62.3185337782;
85;9;32.0999984741;75.3895492554;25;71.8995382786;7;35.7999992371;66.4691009521;18;62.5360126495;
86;9;32.0999984741;79.4897537231;26;72.3284304142;7;33.7999992371;69.4996032715;19;62.7667194605;
87;9;32.0999984741;83.5871429443;26;72.7543666363;7;32.7999992371;72.5299377441;19;63.0110025406;
88;9;32.0999984741;87.6816177368;28;73.1768109798;7;32.7999992371;72.5600891113;19;63.2690839767;
89;9;32.0999984741;91.1003417969;29;73.5952451229;7;30.7999992371;75.590057373;23;63.5410348177;
90;9;32.0999984741;94.2471313477;30;74.0091664791;7;29.7999992371;78.6198120117;23;63.8267500401;
91;9;33.0999984741;94.3915939331;29;74.4180924892;8;28.7999992371;78.6493530273;22;64.1259249449;
92;9;32.0999984741;96.2090454102;28;74.8215589523;8;27.7999992371;79.6786804199;21;64.438035965;
93;10;32.0999984741;97.4107818604;17;75.1674284935;8;26.7999992371;80.7077636719;22;64.7623250484;
94;10;33.0999984741;95.5837097168;17;75.5012807846;8;25.7999992371;81.7366027832;22;65.4071536064;
95;11;32.0999984741;96.7506408691;18;75.8313736916;8;24.7999992371;83.8199157715;22;66.1019427776;
96;11;32.0999984741;97.915687561;18;76.1572420597;8;24.7999992371;82.904083252;23;66.8447561264;
97;11;33.0999984741;96.07862854;18;76.4784417152;8;22.7999992371;84.9890213013;23;67.6318571568;
98;11;32.0999984741;97.2392272949;18;76.7945506573;8;22.0;87.0746307373;23;69.4575748444;
99;11;32.0999984741;98.397277832;19;78.1051726341;8;24.0;87.1608123779;23;71.3743047714;
100;11;34.0999984741;97.5525894165;19;78.5899387598;8;25.0;91.247467041;24;72.3756513596;
101;11;34.0999984741;99.7049713135;19;82.0422134399;8;26.0;96.334487915;24;73.3938905001;
102;11;35.0999984741;103.125968933;20;84.2366932631;8;27.0;98.4217681885;25;74.4175342321;
103;11;36.0999984741;106.541603088;22;86.1753841639;8;27.0;100.50920105;25;75.4348706007;
104;12;36.0999984741;109.950431824;21;87.9226299524;8;26.0;104.596664429;26;76.4346678257;
