Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;4;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;4;20.0;
5;1;10.0;10.0;4;20.0;1;15.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;16.0;10.0;4;20.3999996185;
7;1;11.0;10.0;4;20.3999996185;1;17.0;10.1999998093;3;20.7264003754;
8;1;11.1199998856;10.1999998093;4;20.7264003754;2;18.0358409882;10.3632001877;2;22.8194274902;
9;1;11.2179203033;10.3632001877;3;20.9903717041;2;18.6916561127;10.9097137451;2;23.7816035748;
10;2;11.597111702;10.4951858521;2;23.0419120789;2;20.6916561127;11.3658018112;2;24.5765366554;
11;2;11.9125738144;11.0209560394;2;24.0843504667;2;22.6916561127;11.7372808456;2;25.2233480215;
12;2;12.2253055573;11.4571752548;1;24.9883174896;2;23.7852249146;12.0336990356;3;25.7444707155;
13;2;14.9635734558;11.8107032776;2;25.7775342464;2;24.8188228607;12.2662630081;3;26.162507534;
14;2;16.9635734558;12.0916318893;2;26.4784322977;2;25.8536396027;12.446267128;3;26.3300433159;
15;2;18.1693210602;12.3113050461;2;27.1171889305;2;26.8896827698;12.5;3;26.3921557665;
16;2;19.2592029572;12.4808797836;2;27.4969480038;2;27.9269485474;12.5;3;26.4563041925;
17;2;20.3616580963;12.5;2;27.8840510845;2;28.9654388428;12.5;3;26.5224741697;
18;2;21.4777889252;12.5;2;28.3200027943;2;29.9134845734;12.5;3;26.5906432867;
19;2;22.4960002899;12.5;2;28.8073790073;2;29.9543857574;12.5;4;26.6607804298;
20;2;22.6422138214;12.5;2;29.3477458954;2;29.9964675903;12.5;4;26.7328453064;
21;2;22.8043231964;12.5;4;29.9413113594;2;30.0397071838;12.5;4;26.8067884445;
22;2;22.9823932648;12.5;4;30.586581707;2;30.084072113;12.5;4;26.8825509548;
23;2;23.1759738922;12.5;4;31.2800674438;2;30.129529953;12.5;4;26.9600640535;
24;2;23.3840198517;12.5;4;32.0160870552;2;30.1760387421;12.5;4;27.0392494202;
25;2;21.5;13.5;4;32.7867279053;2;30.2235488892;12.5;4;27.120018959;
26;2;22.5;12.5;6;33.5820074081;2;30.2720108032;12.5;4;27.2022752762;
27;2;21.5;13.5;6;34.3902606964;2;30.3213653564;12.5;4;27.2859115601;
28;2;21.5;14.5;6;35.1987380981;2;30.371547699;12.5;4;27.3708124161;
29;2;20.5;13.5;6;35.9943685532;2;30.4224872589;12.5;5;27.4568536282;
30;2;20.5;13.5;7;36.7645931244;2;29.0;13.5;5;27.5439035892;
31;2;21.5;14.5;7;37.4981632233;2;29.0;13.7719516754;5;27.6318233013;
32;2;21.5;15.5;7;38.1857919693;2;30.0;15.7719516754;5;27.7204678059;
33;2;21.5;16.5;7;38.8205833435;2;30.6322803497;17.7719516754;5;27.8096864223;
34;2;21.5;17.5;7;39.3982028961;2;30.6858119965;19.7719516754;5;27.8993241787;
35;2;21.5;18.5;7;39.9167966843;3;30.7395935059;21.5;5;27.989222765;
36;2;21.5;19.5;7;40.3767118454;3;30.7935333252;22.5;5;28.079221487;
37;2;22.5;17.5;7;40.780087471;3;30.8475322723;22.5;5;28.1691586971;
38;2;21.5;17.5;7;41.1303920746;3;30.9014949799;22.5;6;28.258872509;
39;2;20.5;17.5;8;41.4319667816;3;30.955324173;22.5;6;28.348202467;
