Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;13.0;10.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;14.0;10.0;6;20.0;
5;1;10.0;10.0;4;20.0;1;15.0;10.0;6;20.0;
6;1;11.0;10.0;4;20.0;1;16.0;10.0;6;20.3999996185;
7;1;11.0;10.0;4;20.3999996185;1;17.0;10.1999998093;5;20.7264003754;
8;2;11.4200000763;10.1999998093;3;21.7264003754;1;17.4358406067;10.3632001877;5;21.8194274902;
9;2;11.5179204941;10.3632001877;2;21.9903717041;1;18.0916557312;10.9097137451;5;22.7316036224;
10;2;11.597111702;10.4951858521;2;23.0619120598;1;19.0916557312;11.3658018112;5;23.4745616913;
11;2;11.9185733795;11.0209560394;1;23.9545464516;1;20.0916557312;11.7372808456;5;24.0673980713;
12;2;13.9185733795;11.4571752548;1;24.6819883585;1;21.0916557312;12.0336990356;5;24.5325260162;
13;2;15.9185733795;11.8107032776;2;25.2644146681;1;21.7195167542;12.2662630081;5;24.892534256;
14;2;16.9369182587;12.0916318893;2;25.7245066166;1;21.9355201721;12.446267128;5;25.0;
15;2;17.9431419373;12.3113050461;2;26.0845712423;1;22.0;12.5;5;25.0;
16;2;18.9494171143;12.4808797836;2;26.1438889503;1;23.9355201721;12.5;5;25.0;
17;2;19.955739975;12.5;2;26.1651208401;2;25.9355201721;12.5;4;26.0;
18;2;20.9621105194;12.5;2;26.1864993572;2;27.9355201721;12.5;5;26.0199999809;
19;2;21.8559494019;12.5;3;26.2080165148;2;29.5475196838;12.5;4;26.0401959419;
20;2;21.8624038696;12.5;3;26.2296639681;2;29.0;12.5;5;26.0605818033;
21;2;21.8688983917;12.5;3;26.2514331341;2;29.0;12.5;4;26.0811508894;
22;2;21.8754291534;12.5;4;26.2733153105;2;29.6486911774;12.5;4;26.1018965244;
23;2;21.8819942474;12.5;4;26.2953014374;2;29.6611385345;12.5;4;26.1228116751;
24;3;21.888589859;12.5;4;26.3173824549;2;29.6736869812;12.5;4;26.1438889503;
25;3;21.8952140808;12.5;4;26.3395489454;2;29.6863327026;12.5;4;26.1651208401;
26;3;21.9018650055;12.5;4;26.3617914915;2;29.6990718842;12.5;3;26.1864993572;
27;3;21.5;13.1808958054;4;26.3841004372;2;29.7118988037;12.5;3;26.2080165148;
28;3;21.5;13.1920499802;4;26.4064661264;2;29.7248096466;12.5;3;26.2296639681;
29;3;21.9219398499;12.5;4;26.428878665;2;29.7377986908;12.5;3;26.2514331341;
30;3;21.5;13.2144393921;4;26.4513280392;2;29.7508602142;12.5;3;26.2733153105;
31;3;21.5;13.2256641388;4;26.4738043547;2;29.7639884949;12.5;3;26.2953014374;
32;3;21.5;13.2369022369;4;26.4962974787;2;29.7771816254;12.5;2;26.3173824549;
33;3;21.9488887787;12.5;4;26.5187973976;2;29.790430069;12.5;2;26.3395489454;
34;3;21.5;13.2593984604;4;26.5412938595;2;29.0;14.5;3;26.3617914915;
35;3;21.5;13.270647049;4;26.5637768507;2;29.0;16.5;3;26.3841004372;
36;3;21.9691333771;12.5;4;26.5862361193;2;29.0;18.5;3;26.4064661264;
37;3;21.9758701324;12.5;4;26.6086617708;2;29.0;20.5;2;26.428878665;
38;3;21.9825992584;12.5;4;26.6310436726;2;29.0;22.5;2;26.4513280392;
39;3;21.9893131256;12.5;5;26.6533719301;2;29.0;22.5;2;26.4738043547;
