Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;2;9.19999980927;10.0;3;21.0;
2;1;7.0;13.0;6;20.0;2;9.19999980927;10.0;3;21.1200000048;
3;1;8.0;12.0;6;20.0;2;9.22399997711;10.0;3;21.2530560493;
4;1;8.0;11.0;6;20.0;2;9.25061130524;10.0;3;21.4002518654;
5;1;8.0;10.0;6;20.0;2;10.4200754166;10.0;3;21.5626775026;
6;1;9.0;10.0;6;20.0;2;11.4688034058;10.0;3;21.7414059639;
7;1;9.5;10.0;6;20.0;2;11.5224218369;10.0;4;22.3548774719;
8;1;9.5;10.0;6;20.3999996185;3;11.7064628601;10.1999998093;3;22.9167456627;
9;1;9.59000015259;10.1999998093;6;20.7264003754;3;11.8750238419;10.3632001877;3;23.4393892288;
10;1;9.66343975067;10.3632001877;6;20.9903717041;3;12.0318164825;10.4951858521;3;24.8717758656;
11;2;9.72283363342;10.9951858521;5;23.0419120789;3;12.4615325928;11.0209560394;3;26.1735084057;
12;2;9.95943069458;11.5209560394;5;23.9143505096;3;14.4615325928;11.4571752548;3;27.3609917164;
13;2;11.7228336334;11.9571752548;5;24.6214065552;3;16.4615325928;11.8107032776;3;28.4561290741;
14;2;13.7228336334;12.3107032776;5;25.1832637787;3;17.5368385315;12.0916318893;3;29.4820175171;
15;2;15.7228336334;12.5916318893;5;25.6226100922;3;17.8446063995;12.3113050461;3;30.4597220421;
16;2;16.7228336334;12.8113050461;5;25.9617595673;3;18.1379165649;12.4808797836;3;31.1853199005;
17;2;17.7228336334;12.9808797836;5;26.0;3;20.2423801422;12.5;4;31.9160957336;
18;2;18.7228336334;13.0;6;26.0;3;21.4616127014;12.5;4;32.6826691628;
19;2;19.625;13.0;6;26.0;3;22.6915855408;12.5;4;33.475315094;
20;2;19.625;13.0;6;26.0;3;23.9293785095;12.5;4;34.2825622559;
21;2;19.625;13.1000003815;6;26.0;3;24.2847690582;12.5;4;35.0917634964;
22;2;19.625;13.1000003815;7;26.0;3;22.2847690582;13.5;4;35.8898439407;
23;2;19.625;13.1000003815;7;26.0;3;23.2847690582;12.5;5;36.6641292572;
24;2;19.625;13.1000003815;7;26.0;3;24.2847690582;12.5;5;37.4031534195;
25;2;17.8500003815;13.5;8;26.0;3;25.2209472656;12.5;5;38.0973386765;
26;2;16.8500003815;14.5;8;26.0;3;23.2209472656;13.5;5;38.7394571304;
27;2;15.8500003815;15.5;8;26.0;3;22.2209472656;14.5;5;39.3248329163;
28;2;14.8500003815;16.5;8;26.0;3;23.2209472656;12.5;5;39.8512945175;
29;2;14.2250003815;17.5;8;26.0;3;24.2209472656;12.5;5;40.3189182281;
30;2;14.2250003815;18.5;8;26.0;3;22.2209472656;13.5;5;40.729631424;
31;2;14.2250003815;19.5;8;26.0;3;21.5;14.5;5;41.0867519379;
32;2;14.2250003815;20.5;9;26.0;3;21.5;15.5;6;41.39453125;
33;2;14.2250003815;21.5;9;26.0;3;21.5;16.5;6;41.6577396393;
34;2;14.2250003815;22.5;9;26.0;3;20.5;15.5;7;41.8813304901;
35;2;14.2250003815;23.5;9;26.0;3;20.5;15.5;7;42.0;
36;2;14.2250003815;24.5;9;26.0;3;19.5;14.5;7;42.0;
37;2;14.2250003815;25.5;9;26.0;3;20.5;15.5;6;42.0;
