Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
4;1;8.0;11.0;4;20.0;2;9.19999980927;10.0;3;21.0;
5;1;8.0;10.0;4;20.0;2;10.3000001907;10.0;3;21.0900000334;
6;1;9.0;10.0;4;20.0;2;11.3269996643;10.0;2;21.1871190071;
7;2;9.5;10.3000001907;3;21.0;2;11.3561353683;10.0;2;21.7036092281;
8;2;9.72500038147;10.0;2;21.3999996185;2;11.5110826492;10.1999998093;2;22.1564130783;
9;2;9.81500053406;10.1999998093;2;21.7264003754;2;11.6469240189;10.3632001877;2;22.557236433;
10;2;9.88844013214;10.3632001877;2;21.9903717041;2;11.7671709061;10.4951858521;2;23.8035871983;
11;2;9.94783401489;10.4951858521;1;23.0819120407;2;12.141076088;11.0209560394;2;24.8916251659;
12;2;10.1934309006;11.0209560394;1;23.99553442;2;14.141076088;11.4571752548;2;25.8364036083;
13;2;11.9660997391;11.4571752548;1;24.7449600697;2;16.1410751343;11.8107032776;3;26.6592981815;
14;2;13.9660997391;11.8107032776;1;25.3503712416;2;17.3553848267;12.0916318893;3;27.3839819431;
15;2;15.9660997391;12.0916318893;2;25.8344515562;2;18.440984726;12.3113050461;3;28.0334718227;
16;3;16.9954986572;12.3113050461;2;26.2195074558;2;19.5340881348;12.4808797836;3;28.407397747;
17;3;18.0058269501;12.4808797836;3;26.3048160076;2;20.6347923279;12.5;3;28.7683298588;
18;3;19.0164165497;12.5;4;26.3530313969;2;21.7430725098;12.5;3;29.1538929939;
19;3;19.9294319153;12.5;5;26.4023760557;2;22.7461681366;12.5;4;29.562889576;
20;3;19.9405345917;12.5;5;26.4528282881;2;22.8688659668;12.5;5;29.9934945107;
21;3;19.9518871307;12.5;5;26.5043625832;2;22.9980487823;12.5;5;30.4432339668;
22;3;19.9634819031;12.5;5;26.5569496155;2;23.1329708099;12.5;5;30.9089989662;
23;3;19.9753131866;12.5;6;26.6105561256;3;23.2726993561;12.5;4;31.3870959282;
24;3;19.9873752594;12.5;6;26.6651450396;3;23.4161281586;12.5;4;31.8733391762;
25;3;19.9996566772;12.5;5;26.72067523;3;23.562002182;12.5;4;32.36317873;
26;3;20.0121517181;12.5;5;26.7771017551;3;23.7089538574;12.5;4;32.8518595695;
27;3;20.024848938;12.5;5;26.8343759775;3;21.7089538574;12.5;4;33.3346033096;
28;3;19.625;13.2337503433;5;26.8924454451;3;21.5;12.5;4;33.8067913055;
29;3;18.0508003235;13.5;4;26.9512542486;3;21.5;12.5;4;34.2641468048;
30;3;17.064031601;14.5;4;27.0107431412;3;19.5;13.5;3;34.7028827667;
31;3;16.0774173737;15.5;4;27.0708494186;3;18.5;14.5;3;35.1198272705;
32;3;15.0909414291;16.5;4;27.1315076351;3;17.5;15.5;3;36.5124940872;
33;3;14.4795894623;17.5;4;27.1926498413;3;17.5;16.5;3;36.9091179371;
34;3;14.4933462143;18.5;4;27.2542052269;3;17.5;17.5;3;37.2792332172;
35;3;14.5071964264;19.5;5;27.3161010742;3;16.5;18.5;3;37.622439146;
36;3;14.5211229324;20.5;6;27.3782629967;3;16.0;19.5;3;37.9389202595;
37;3;14.5351085663;21.5;5;27.4406147003;3;16.0;20.5;4;38.2293566465;
38;3;14.5491380692;22.5;5;27.5030794144;3;16.0;21.5;4;38.4948240519;
39;3;14.5631923676;23.5;5;27.5655794144;3;16.0;22.5;4;38.7366933823;
40;3;14.577255249;24.5;5;27.628036499;4;16.0;23.5;3;38.9565384388;
41;3;14.5913085938;25.5;5;27.690372467;4;16.0;24.5;3;39.1560518742;
42;3;14.6053333282;26.5;5;27.7525100708;4;17.0;22.5;4;39.3255085945;
43;3;14.6193141937;27.5;5;27.8143725395;4;16.0;23.5;4;39.3609591722;
44;3;14.633234024;28.5;6;27.8758842945;4;16.0;24.5;4;39.3968753815;
45;3;14.6470737457;29.5;6;27.936971426;4;17.0;24.5;4;39.4332377911;
46;3;15.6608181;27.5;8;27.9975619316;4;18.0;25.5;3;39.4700255394;
47;3;14.674451828;28.5;8;28.0575861931;4;19.0;26.5;3;40.5072168112;
48;3;14.68795681;29.5;9;28.1169772148;4;21.0;28.5;4;40.5947884321;
49;3;15.7013196945;27.5;11;28.1756706238;4;23.0;30.5;4;40.6846913099;
50;3;14.7145261765;28.5;11;28.2336053848;4;24.3305931091;30.5;4;40.776925087;
51;3;15.727560997;27.5;11;28.2907235622;4;25.3467845917;31.5;5;40.8714832067;
52;3;16.0;27.5;12;28.346971035;4;25.5;32.5;6;40.9683526754;
53;3;17.753068924;27.5;12;28.4022974968;4;25.5;33.1349868774;6;41.067512989;
54;3;18.7655162811;27.5;13;28.4566559792;4;25.5;33.1650238037;7;41.1689362526;
55;3;19.0;27.5;13;28.5100040436;4;25.5;33.1960792542;8;41.2725864649;
56;3;19.625;27.5;13;28.5623030663;4;25.9368915558;32.5;8;41.3784189224;
57;3;19.625;27.5;14;28.6135182381;4;25.956741333;32.5;8;41.4863805771;
58;3;20.438041687;24.5;14;28.6636190414;4;25.977191925;32.5;10;41.5964089632;
59;3;19.625;24.5;14;28.7125790119;4;26.9982337952;33.4678153992;10;41.708432436;
60;4;20.625;25.5;14;29.7603754997;4;28.6125297546;32.5;11;41.8223695755;
61;4;22.4710845947;24.5;16;29.9369901419;4;29.104675293;32.5;12;41.9381296635;
62;4;21.625;26.5;16;30.1278389692;4;30.0166721344;32.5;12;42.055611968;
63;4;21.625;28.5;17;30.3343420029;5;31.0286636353;33.5;11;43.1747059822;
64;4;21.625;30.2276325226;16;30.5579473972;5;31.3999996185;34.5;11;43.3652921915;
65;4;21.625;31.2577285767;17;30.8000994921;5;32.6885871887;35.5;12;45.4596990347;
66;4;22.5208129883;29.5308265686;16;31.0402543545;5;33.2946624756;37.125;12;47.2539131641;
67;4;22.9840564728;27.5;16;31.2842636108;5;30.9653549194;40.6171875;12;48.7823616266;
68;4;23.0389595032;27.5;16;31.5518820286;5;32.247013092;38.9937896729;11;50.087490797;
69;4;23.0991725922;27.5;17;31.8440244198;5;33.4744033813;39.2754020691;11;52.5025215149;
70;4;22.5249996185;28.5;17;32.1613030434;6;32.9421348572;41.9105415344;11;55.5563883781;
71;4;22.5249996185;29.5;17;32.5039470196;6;35.3192634583;42.3845367432;12;57.3407667875;
72;4;23.3133869171;27.5;17;32.871723175;7;32.801651001;45.7277526855;12;58.8897974491;
73;3;20.5249996185;22.5;18;29.0;8;30.4926528931;47.7277526855;10;63.8522269726;
74;3;20.5249996185;22.5;18;29.0;8;30.7820320129;51.7277526855;12;65.3266119957;
75;3;20.5249996185;22.5;19;29.0;8;31.2336521149;54.7277526855;11;66.8140875101;
76;3;20.5249996185;22.5;19;29.0;8;32.0153427124;56.7277526855;12;68.3112255335;
77;3;20.5249996185;22.5;19;29.0;9;33.1374969482;59.7314453125;11;69.6470096111;
78;3;20.5249996185;22.5;19;29.0;9;34.2621765137;61.0;11;71.0239031315;
79;3;20.5249996185;22.5;19;29.0;9;35.3884124756;65.0;13;72.4319872856;
80;3;20.5249996185;22.5;20;30.1199998856;9;34.5999984741;66.914932251;13;73.8600730896;
81;4;19.8500003815;24.0;18;38.8293046951;8;31.6000003815;60.0;14;66.8457809687;
82;4;21.9791984558;24.3899993896;18;40.1805071831;8;30.6000003815;63.0;15;67.6391851902;
83;4;22.1592674255;26.6872596741;18;41.3786249161;9;30.6000003815;63.0;16;69.4253237247;
84;4;23.2593841553;26.9097423553;18;42.3003706932;9;30.6000003815;66.1543502808;16;70.2201328278;
85;4;23.3313884735;28.0;19;43.0216608047;9;32.5999984741;70.2123260498;15;71.0000833273;
86;4;23.3563079834;29.0;18;43.7157402039;9;32.9120597839;69.0229187012;17;71.7618558407;
87;4;24.380657196;29.0;18;44.3764195442;10;32.5999984741;69.0417022705;16;72.5025823116;
88;4;25.4044017792;29.0;18;44.9988145828;10;32.5999984741;73.0606689453;16;73.2198709249;
89;4;26.1247310638;29.0;19;45.5794625282;10;35.9305686951;70.8104858398;17;73.9118057489;
90;4;25.1054534912;30.0;19;46.1163249016;10;33.9368438721;73.8297729492;18;74.5769318342;
91;4;25.2045211792;31.0;19;46.6086931229;10;34.9431686401;74.8491897583;18;75.2142231464;
92;4;25.2943000793;32.0;20;47.0570192337;10;34.5999984741;76.0318145752;19;75.8230448961;
93;4;25.3749084473;33.0;20;47.4627051353;10;35.955947876;76.2437438965;19;76.403111577;
94;4;25.4466686249;34.0;20;47.8278741837;10;36.5999984741;78.1170043945;20;76.9544398785;
95;4;25.5100669861;35.0;20;48.1551513672;10;38.5999984741;76.1599273682;21;77.4773072004;
96;4;25.5656986237;36.0;21;48.4474649429;10;38.5999984741;77.2030181885;25;77.9722080231;
97;4;25.6142196655;37.0;21;48.7078766823;10;40.0;75.2462615967;26;78.3747341633;
98;4;25.6563148499;38.0;21;48.8609347343;10;40.7061233521;75.2896270752;27;78.7030683756;
99;4;25.6749992371;38.1026535034;22;48.9276947975;11;39.3952178955;76.4109039307;25;94.0185421705;
100;4;25.6749992371;38.1493873596;22;48.9912576675;11;41.4018669128;77.4389038086;27;95.3709613085;
