Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;2;10.0;10.0;4;21.0;
3;2;8.0;12.3000001907;5;21.0;2;11.0;10.0;4;21.0599999428;
4;2;8.14999961853;11.0;5;21.0599999428;2;12.0;10.0;4;21.1229639053;
5;2;8.15900039673;10.0;5;21.1229639053;2;13.336889267;10.0;4;21.1889609098;
6;2;9.25266647339;10.0;5;21.1889609098;2;14.3566884995;10.0;4;21.2580518723;
7;2;9.76751613617;10.0;3;21.2580518723;2;14.377415657;10.0;4;21.7428686619;
8;2;9.7830619812;10.0;3;21.7428686619;2;14.522860527;10.1999998093;4;22.1586660147;
9;2;9.89214611053;10.1999998093;2;22.1586660147;2;14.647600174;10.3632001877;4;23.3744058609;
10;2;9.98569965363;10.3632001877;2;22.5167047977;2;15.0123214722;10.9097137451;4;24.4179002047;
11;2;10.0662584305;10.4951858521;2;23.6975815296;2;17.0123214722;11.3658018112;4;25.3010519743;
12;2;10.3319559097;11.0209560394;2;24.7081744671;2;19.0123214722;11.7372808456;4;26.0431767702;
13;2;12.1264438629;11.4571752548;2;25.5624349117;2;20.1385612488;12.0336990356;5;26.6668455601;
14;2;14.1264438629;11.8107032776;2;26.2807190418;2;21.1861228943;12.2662630081;5;27.194732666;
15;2;16.1264438629;12.0916318893;2;26.8858177662;2;22.2364883423;12.446267128;5;27.4794170856;
16;2;17.2320556641;12.3113050461;1;27.4000668526;2;23.2896537781;12.5;5;27.6658837795;
17;2;18.2714538574;12.4808797836;1;27.6226844788;2;23.5458278656;13.2997655869;5;27.86140275;
18;2;19.3129386902;12.5;2;27.8161680698;2;25.3584213257;12.5;5;28.0656666756;
19;2;20.258638382;12.5;2;28.018476963;2;24.5;13.4196996689;6;28.2782502174;
20;2;20.3041572571;12.5;2;28.2292125225;2;24.5;13.4834747314;6;28.4986059666;
21;2;20.3515720367;12.5;2;28.447855711;2;24.5;13.5495815277;6;28.7260642052;
22;2;20.40076828;12.5;2;28.6737642288;2;25.5;12.5;7;28.9598350525;
