Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
87;18;47.1821250916;106.599998474;18;123.463205457;4;24.3999996185;35.0;14;61.4513280392;
88;18;48.4141540527;107.599998474;17;125.37157166;4;24.3999996185;36.0;13;61.4738043547;
89;18;49.1687507629;109.599998474;17;127.165258884;4;24.3999996185;37.0;13;61.4962974787;
90;19;50.3411712646;111.599998474;17;128.865095615;4;24.3999996185;38.0;13;61.5187973976;
91;20;51.4866638184;113.599998474;16;130.48693347;4;24.3999996185;39.0;12;61.5412938595;
92;20;52.6094741821;115.599998474;15;132.838953495;4;24.3999996185;40.0;11;61.5637768507;
93;21;55.1172561646;118.758285522;13;135.804638386;3;22.3999996185;36.0;12;60.0;
94;22;57.4626350403;122.812530518;12;137.236165881;3;22.3999996185;37.0;12;61.0;
95;22;58.7727966309;125.984260559;13;138.670245409;3;23.3999996185;39.0;11;61.0599999428;
96;22;58.5464706421;129.120269775;13;141.101989508;3;24.3999996185;41.0;11;61.1229639053;
97;22;59.952003479;134.255706787;14;143.616314411;3;24.3999996185;43.0;12;61.1889609098;
98;23;61.9934005737;139.390319824;14;145.081646442;3;24.3999996185;45.0;13;61.2580518723;
99;23;62.8399772644;144.523849487;16;146.501756072;3;24.3999996185;47.0;13;61.3302885294;
100;24;63.5584259033;153.77835083;17;147.854471684;3;24.3999996185;48.0;14;61.4057120085;
