Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;2;7.0;13.3000001907;5;21.0;1;9.0;10.0;5;20.0;
3;2;8.14999961853;12.0;5;21.0299999714;1;9.0;10.0;5;20.0;
4;2;8.15450000763;11.0;5;21.0605909824;1;9.0;10.0;5;20.0;
5;2;8.15908908844;10.0;5;21.091766119;1;10.0;10.0;5;20.0;
6;2;9.24564743042;10.0;5;21.1235172749;1;11.0;10.0;4;20.0;
7;2;9.75279140472;10.0;4;21.1558350325;1;11.0;10.0;3;20.3999996185;
8;2;9.76006317139;10.0;4;21.6002668142;1;11.1199998856;10.1999998093;3;20.7264003754;
9;2;9.86006069183;10.1999998093;4;21.9722745419;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;9.94376182556;10.3632001877;4;22.2830175161;2;11.597111702;10.4951858521;2;23.0419120789;
11;2;10.0136785507;10.4951858521;4;23.3954073191;2;11.9125738144;11.0209560394;2;23.9543504715;
12;2;10.263967514;11.0209560394;4;24.3307359219;2;12.1863059998;11.4571752548;2;24.7025904655;
13;2;12.0415201187;11.4571752548;4;25.1027135849;2;14.9245738983;11.8107032776;3;25.3068172932;
14;2;14.0415201187;11.8107032776;4;25.7315064669;2;16.9245738983;12.0916318893;3;25.789717555;
15;2;16.0415210724;12.0916318893;4;26.2397767305;2;17.9627056122;12.3113050461;3;26.1736010313;
16;2;17.0866966248;12.3113050461;4;26.6498038769;2;18.9761257172;12.4808797836;3;26.2577478886;
17;2;18.1026439667;12.4808797836;4;26.7608320713;2;19.9898986816;12.5;3;26.3048160076;
18;2;19.119020462;12.5;5;26.8354767561;2;21.0040187836;12.5;3;26.3530313969;
19;2;19.625;13.0506429672;5;26.9119156599;2;21.9059104919;12.5;3;26.4023760557;
20;2;19.625;13.2647666931;5;26.9900764227;2;21.9207134247;12.5;3;26.4528282881;
21;2;20.0727672577;12.5;5;27.0698769093;2;21.9358482361;12.5;5;26.5043625832;
22;2;20.0907230377;12.5;5;27.1512255669;2;21.9513092041;12.5;5;26.5569496155;
23;2;19.625;13.3604898453;4;27.2340214252;2;21.9670848846;12.5;5;26.6105561256;
24;3;19.625;13.3936080933;3;27.3181540966;2;21.9831676483;12.5;6;26.6651450396;
25;3;18.1465854645;13.5;5;27.4035048485;2;21.5;12.99954319;6;26.72067523;
26;4;17.1657886505;14.5;4;27.4899468422;2;21.5;13.0162029266;6;26.7771017551;
27;4;16.1852378845;15.5;4;27.5773453712;2;22.0331306458;12.5;6;26.8343759775;
28;4;15.2049026489;16.5;4;27.6655590534;2;21.5;13.4171876907;6;26.8924454451;
29;4;14.5997505188;17.5;4;27.754440546;2;22.0677337646;12.5;6;26.9512542486;
30;5;14.6197490692;18.5;3;33.5502817631;2;19.5;14.4756269455;6;27.0107431412;
31;5;15.0;20.5;4;34.8137168884;2;18.5;15.5053710938;6;27.0708494186;
32;5;17.0;23.2000007629;5;35.2024248838;2;17.5;16.5354251862;6;27.1315076351;
33;5;19.0;24.4074859619;5;35.6012381315;2;16.5;17.5657539368;7;27.1926498413;
34;5;19.8636779785;25.5722827911;5;36.0110533237;2;15.5;18.5963249207;7;27.2542052269;
35;5;19.9109745026;26.7487983704;5;36.4328598976;2;14.5;19.6271018982;8;27.3161010742;
36;5;19.9564571381;27.9379367828;6;36.8677088022;3;14.0;20.6580505371;6;31.8960618973;
37;6;20.0000572205;27.8675003052;6;37.316671133;3;15.0;21.6891307831;6;32.1157326698;
38;6;20.041721344;28.9294776917;6;37.7807862759;3;16.0;22.7203063965;6;32.3336396217;
39;6;20.0814170837;29.9909267426;6;38.2609996796;3;16.0;23.7515392303;7;32.5492415428;
40;6;20.1191310883;31.0517444611;7;38.7580888271;3;16.0;24.7827892303;7;32.7620224953;
41;6;20.1548652649;32.1118278503;8;39.2725851536;3;16.0;25.8140182495;8;32.9714994431;
42;6;19.1548652649;31.1710853577;8;39.8046894073;3;17.0;23.8451862335;9;33.1772241592;
43;6;19.1548652649;31.2294273376;8;41.3541855812;3;17.0;24.8762550354;9;33.3787884712;
44;6;19.0;33.9867668152;8;42.0503638983;3;17.2519931793;25.9071865082;10;33.5758264065;
45;6;21.0;34.1340293884;8;42.7773836851;3;18.2824859619;23.9379425049;11;33.7680156231;
46;6;21.0;34.2909431458;8;43.5200538635;3;19.3119850159;24.9379425049;12;33.9550790787;
47;6;22.0;36.4584503174;9;44.2303216457;4;20.3404407501;25.9379425049;13;34.1367845535;
48;6;25.2907886505;38.4584503174;10;44.9735356569;4;21.3678188324;26.9379425049;13;34.3129448891;
49;6;25.3072795868;41.4584503174;10;45.7471945286;4;22.3940925598;27.9379425049;14;34.4834156036;
50;7;26.7840576172;43.4584503174;11;46.548248291;4;23.4192428589;28.9379425049;15;34.6480937004;
51;7;27.9017105103;45.452041626;13;47.3731739521;4;24.4432601929;29.1168022156;15;34.8069145679;
52;7;29.5861320496;46.452041626;13;48.2180755138;4;24.9661426544;29.145362854;16;34.9598498344;
53;8;27.9500007629;47.7472496033;13;55.6916680336;3;21.5;24.1734848022;16;28.4022974968;
54;8;29.9500007629;47.7472496033;14;56.6555964947;3;21.5;24.2011489868;17;28.4566559792;
55;8;32.8100852966;42.7472496033;14;57.6217374802;3;22.5;22.5;18;28.5100040436;
56;8;34.034954071;43.5;14;59.5858011246;3;21.5;23.5;17;28.5623030663;
57;8;35.6653213501;44.5;16;60.6485643387;3;21.5;22.5;17;28.6135182381;
58;8;37.8685150146;44.5;16;61.6868747473;3;21.5;22.5;18;28.6636190414;
59;8;36.4655151367;46.5;18;62.639885664;3;21.5;22.5;18;28.7125790119;
60;8;37.6085090637;46.5;18;63.5780258179;3;21.5;22.5;18;28.7603754997;
61;8;35.0945625305;49.5;18;64.5117460489;3;21.5;22.5;16;28.8069901466;
62;8;36.1390991211;49.5;21;65.437689662;3;21.5;22.5;17;28.8524079323;
63;9;35.7640838623;48.5;20;66.3525880575;3;21.5;22.5;17;28.8966178894;
64;10;35.9265060425;48.5;18;67.2533066273;3;21.5;22.5;18;28.9396123886;
65;10;36.2957572937;48.5;18;68.1369059086;4;21.5;22.5;17;28.9813876152;
66;10;37.3561210632;49.5;20;69.000711441;4;21.5;22.5;17;29.0;
67;10;36.4207038879;48.5;21;71.4114246368;4;21.5;22.5;18;29.0;
68;10;34.6301574707;52.0;22;73.5592346191;4;21.5;22.5;18;29.0;
69;10;35.9193000793;52.3899993896;23;76.4509944916;4;21.5;22.5;19;29.0;
70;10;38.1644439697;55.6872596741;23;78.1230509281;4;21.5;22.5;19;29.0;
71;10;40.2629928589;53.6872596741;23;80.4809403419;4;21.5;22.5;19;29.0;
72;10;41.4922599792;53.0;24;81.7865227461;4;21.5;22.5;19;29.0;
73;10;40.6018714905;56.0;25;83.0696519613;4;21.5;22.5;19;30.0;
74;10;38.9789237976;60.0;25;84.3141958714;4;22.5;23.5;19;31.2099999189;
75;10;37.8349723816;63.8482894897;26;85.4190171957;4;23.7999992371;25.0;19;32.2057757378;
76;11;37.2400474548;66.0;25;86.537612915;4;24.0340003967;26.3899993896;20;33.0219558477;
77;11;36.2502670288;69.0;26;87.6735041142;4;24.2123565674;27.6872596741;20;33.6945886612;
78;11;35.3873214722;69.0;26;88.8303226233;4;24.3458442688;28.9097423553;20;34.1088819504;
79;11;36.0503730774;70.9816589355;27;90.0114146471;4;24.3999996185;29.0;20;34.3488715887;
80;12;36.0503730774;71.0;26;91.2194037437;4;24.3999996185;29.0;20;34.5951524973;
81;12;35.321647644;74.0;24;92.4142594337;4;24.3999996185;29.0;18;34.8477778435;
82;12;35.3499984741;78.0;24;93.5345349312;4;24.3999996185;29.0;17;35.1067631245;
83;12;36.3499984741;82.0;24;94.7011400461;4;22.3999996185;30.0;17;35.3720757961;
84;12;37.3499984741;86.0;25;95.906722784;4;21.3999996185;31.0;18;35.6436245441;
85;13;38.3499984741;90.0;24;97.1415083408;5;20.3999996185;32.0;16;35.921248436;
86;13;38.7249984741;94.0;25;98.3933292627;5;19.3999996185;33.0;17;36.2047069073;
87;14;38.7249984741;98.0;25;99.6479481459;5;18.3999996185;34.0;15;36.4936692715;
88;14;38.7249984741;102.0;25;100.889676452;5;17.3999996185;35.0;15;36.7877075672;
89;14;37.7249984741;104.0;22;102.102262497;5;16.3999996185;36.0;16;37.0862920284;
90;14;37.7249984741;106.407516479;24;103.269958496;6;16.0;37.0;15;37.3887870312;
91;14;38.3499984741;108.44959259;23;104.378597975;6;16.0;38.0;15;37.6944525242;
92;14;39.3499984741;110.4920578;21;105.416539192;6;16.0;39.0;16;38.0024471283;
93;14;40.3500022888;112.534851074;22;106.375314236;6;16.0;40.0;17;38.3118371964;
94;15;41.3500022888;114.577941895;19;122.249918938;6;17.0;39.0;18;38.6216073036;
95;15;43.3500022888;118.121269226;22;124.088731289;7;18.0;39.0;17;38.8789830208;
96;15;45.3499984741;121.164779663;22;125.685983658;7;19.0;39.0;16;39.1288366318;
97;15;45.3499984741;125.440612793;23;127.046023369;7;17.0;38.0;14;39.3786706924;
98;15;46.3499984741;129.503082275;23;128.234444618;7;16.0;38.0;15;39.6272368431;
99;16;47.3499984741;133.565582275;22;129.258928299;7;16.0;39.0;14;39.8733024597;
100;16;48.3499984741;136.628036499;22;130.13220787;7;16.0;40.0;14;40.1156759262;
