Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;2;7.0;13.3000001907;5;24.0;1;13.0;10.0;4;20.0;
3;2;8.19999980927;12.1000003815;5;24.1124999523;1;13.0;10.0;4;20.0;
4;2;9.22249984741;11.5;5;24.2364046574;1;14.0;10.0;4;20.0;
5;2;9.84728145599;11.5;5;24.3725773096;2;15.6000003815;10.0;3;21.0;
6;2;11.0117731094;11.5;5;24.5218783617;2;16.6000003815;10.0;3;21.3999996185;
7;2;12.0565643311;11.5;5;24.6851472855;2;17.6000003815;10.1999998093;3;21.7264003754;
8;2;12.405544281;11.5;5;25.340031147;2;18.0358409882;10.3632001877;3;22.8494274616;
9;2;12.6020097733;11.7299995422;5;25.9150743484;2;18.7096557617;10.9097137451;3;23.7921946049;
10;2;12.7745227814;11.9106416702;5;27.4451127052;2;20.7096557617;11.3658018112;3;24.5663278103;
11;2;13.2335338593;12.5274600983;5;28.7648246288;2;22.7096557617;11.7372808456;3;25.1909153461;
12;2;14.9628257751;13.0216779709;5;29.9030094147;2;23.7657661438;12.0336990356;4;25.6883610487;
13;2;16.9628257751;13.4066829681;5;30.8959269524;2;24.78515625;12.2662630081;4;26.0812431574;
14;2;18.9628257751;13.6998376846;5;31.7803142071;2;25.8048820496;12.446267128;4;26.2221269608;
15;2;20.3290309906;13.9190797806;5;32.4273490906;2;26.8249320984;12.5;4;26.2560760975;
16;2;21.4745903015;14.0;5;32.9507789612;2;27.8453006744;12.5;4;26.2905418873;
17;2;22.6316184998;14.0;6;33.510178566;2;28.8659801483;12.5;4;26.3255085945;
18;2;23.7994384766;14.0;6;34.1019620895;2;29.7953052521;12.5;4;26.3609591722;
19;2;24.230588913;14.0;6;34.7211914062;2;29.816576004;12.5;5;26.3968753815;
20;2;24.4163570404;14.0;6;35.3616409302;2;29.8381252289;12.5;5;26.4332377911;
21;2;24.6084918976;14.0;6;36.0159702301;3;29.8599433899;12.5;4;26.4700255394;
22;2;24.8047904968;14.0;6;36.6760072708;3;29.8820152283;12.5;4;26.5072168112;
23;3;25.0028018951;14.0;7;37.3331270218;3;29.9043292999;12.5;4;26.5447884798;
24;4;25.1999378204;14.0;6;37.9786872864;3;29.9268722534;12.5;4;26.5827163458;
25;4;25.3936061859;14.0;7;38.6044816971;3;29.9496307373;12.5;4;26.6209751368;
