Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;14.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;15.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;16.0;10.0;5;20.3999996185;
7;1;11.6000003815;11.5;6;23.0;1;17.0;10.1999998093;5;20.7264003754;
8;1;11.8999996185;11.5;6;23.4599990845;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;18.0916557312;10.9097137451;5;22.7316036224;
10;2;12.1463851929;12.1106414795;5;25.0;2;20.0916557312;11.3658018112;4;24.4745616913;
11;2;12.5000009537;12.0;5;26.2300007343;2;22.0916557312;11.7372808456;3;25.1573981047;
12;2;14.4553852081;12.6000003815;5;27.2181913853;2;23.7456550598;12.0336990356;4;25.7196450233;
13;2;16.4553852081;13.0788002014;5;27.9928700924;2;24.8039264679;12.2662630081;3;26.1842726469;
14;2;18.4553852081;13.4505519867;5;28.589247942;2;25.8666992188;12.446267128;3;26.4042263031;
15;2;19.4834403992;13.7328653336;5;29.0429638624;2;26.9341907501;12.5;3;26.5249304771;
16;2;20.4931354523;13.943564415;5;29.1887089014;2;28.0066146851;12.5;3;26.6541694403;
17;2;21.5029983521;14.0;5;29.2221269608;2;29.0841579437;12.5;3;26.7922235727;
18;2;22.5130233765;14.0;5;29.2560760975;2;30.075334549;12.5;3;26.9393253326;
19;2;22.7768230438;14.0;7;29.2905418873;2;30.1635951996;12.5;4;27.0956480503;
20;2;22.7871627808;14.0;7;29.3255085945;2;30.2573890686;12.5;4;27.261295557;
21;2;22.7976531982;14.0;7;29.3609591722;2;30.3567771912;12.5;4;27.4362905025;
22;2;22.8082866669;14.0;7;29.3968753815;2;30.461774826;12.5;4;27.6205644608;
23;2;22.8190612793;14.0;9;29.4332377911;2;30.5723381042;12.5;4;27.8139474392;
24;3;22.3999996185;14.4299716949;8;29.4700255394;2;30.6883678436;12.5;4;28.016159296;
25;3;22.3999996185;14.0;9;29.5072168112;2;30.8096961975;12.5;4;28.2268030643;
26;3;20.8521652222;15.0;9;29.5447884798;2;30.9360809326;12.5;4;28.445360899;
27;3;19.8634357452;16.0;9;29.5827163458;2;31.0672168732;12.5;4;28.6711919308;
28;3;18.8748149872;17.0;9;29.6209751368;2;31.20271492;12.5;4;28.9035346508;
29;3;17.8862915039;18.0;9;29.6595385075;2;31.3421211243;12.5;5;29.141512394;
30;4;16.8978614807;19.0;6;46.9483793974;2;29.3421211243;13.5;5;29.3841423988;
31;4;18.9095134735;18.0;6;48.8499689102;3;29.0;14.5;6;29.6303496361;
32;4;21.9212398529;18.5;6;49.6786845922;3;29.0;14.8151750565;6;29.8789830208;
33;4;23.3999996185;18.0;6;50.3984293938;3;30.0;16.8151741028;6;30.1288366318;
34;4;24.3999996185;18.5405921936;6;51.0165504217;3;31.0;18.8151741028;7;30.3786706924;
35;4;25.7370662689;19.0;6;51.5433058739;3;32.0;20.5;7;30.6272368431;
36;4;26.7501316071;20.0;6;51.9903407097;3;32.3763427734;21.5;7;30.8733024597;
37;4;26.763551712;21.0;7;52.3694911003;3;32.523979187;22.5;8;31.1156759262;
38;4;26.9926757812;22.6288738251;7;52.5703971386;3;32.6694068909;22.5;9;31.353228569;
39;5;27.0046730042;23.6524085999;7;52.6586101055;3;32.8119354248;22.5;9;31.5849161148;
40;5;26.3999996185;24.0;7;52.7479239702;3;32.9509506226;22.5;10;31.8097963333;
41;5;26.3999996185;28.0;8;52.8382848501;3;33.0858764648;22.5;10;32.0270428658;
42;6;26.3999996185;32.0;7;52.9296357632;3;33.2162246704;22.5;11;32.2359538078;
43;6;26.8513088226;36.0;7;53.0219156742;3;33.3415718079;22.5;11;32.4359588623;
44;6;26.8670845032;40.0;8;53.115060091;3;33.4615745544;22.5;12;32.6266198158;
45;6;26.8831672668;44.0;9;53.2090011835;3;31.4615745544;23.5;12;32.8076286316;
46;6;26.3999996185;45.832572937;11;53.3036677837;3;30.4615745544;24.5;12;32.9788007736;
47;6;26.3999996185;46.8603363037;12;53.3989853859;3;29.4615745544;25.5;12;33.1400680542;
48;6;26.9331302643;47.0;13;53.4948767424;3;29.0;26.5;12;33.2914676666;
49;6;26.3999996185;48.9171905518;13;53.5912610292;3;29.0;26.6457328796;12;33.4331302643;
50;6;27.9677333832;46.0;15;53.6880553961;3;29.0;26.7165641785;13;33.6495981216;
51;6;26.985376358;47.0;16;53.7851746082;3;29.0;26.824798584;12;34.8528985977;
52;7;27.1573295593;49.0;15;53.8825306892;3;29.5999984741;27.426448822;14;35.8229799271;
53;7;28.0212554932;46.0;14;53.9800341129;3;30.0680007935;27.9114894867;14;36.5944700241;
54;7;26.3999996185;47.0;14;54.0775940418;3;30.4247112274;28.2972354889;15;37.2035570145;
55;7;27.0577945709;48.0;15;54.1751179695;3;30.6916904449;28.6017780304;15;37.5357122421;
56;7;27.3999996185;47.0;11;54.2725126743;3;30.7999992371;28.7678565979;17;37.6753425598;
57;7;26.3999996185;47.0;12;54.3696844578;3;30.7999992371;28.8376712799;17;37.8035078049;
58;7;27.1134796143;48.0;12;54.4665391445;3;30.7999992371;28.9017543793;17;37.9208059311;
59;7;28.132183075;46.0;12;55.5629832745;3;30.7999992371;28.9604034424;17;38.0;
60;7;28.1509227753;48.0;13;55.6889238358;3;30.7999992371;29.0;18;38.0;
61;7;29.1696739197;50.0;12;55.8148596287;3;30.7999992371;29.0;17;38.0;
62;7;29.3999996185;49.0;12;55.9406929016;3;30.7999992371;29.0;18;38.0;
63;7;28.3999996185;51.0;11;56.0663268566;3;30.7999992371;29.0;17;38.0;
64;8;29.2257518768;53.0;10;58.5195735693;3;30.7999992371;29.0;17;38.0;
65;8;29.6870193481;55.2835350037;11;61.4891521931;3;30.7999992371;29.0;17;38.0;
66;8;32.0466766357;54.8350982666;13;64.0866982937;3;30.7999992371;29.0;18;38.0;
67;8;33.6048088074;57.6162643433;13;65.4241620302;3;30.7999992371;29.0;17;38.0;
