Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.1000003815;4;23.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;13.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;14.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;15.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;16.0;10.0;4;20.3999996185;
7;1;11.6000003815;11.5;6;23.0;2;17.6000003815;10.1999998093;3;21.7264003754;
8;1;11.8999996185;11.5;6;23.4599990845;2;18.0358409882;10.3632001877;2;22.9194275141;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;18.7516555786;10.9097137451;2;23.9405035973;
10;1;12.1463851929;11.9106416702;6;24.0;2;20.7516555786;11.3658018112;2;24.8018262386;
11;1;12.2000007629;12.0;6;25.2000007629;2;22.7516555786;11.7372808456;2;25.5230454206;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;23.9650440216;12.0336990356;3;26.1271054745;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;25.0484027863;12.2662630081;3;26.6370905638;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;26.1383895874;12.446267128;3;26.9060227871;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;27.2352695465;12.5;3;27.0793559551;
16;1;18.1463851929;13.943564415;7;28.0;2;28.3392696381;12.5;3;27.2648479939;
17;1;19.1463851929;14.0;7;28.0;2;29.4505653381;12.5;3;27.4626858234;
18;1;20.1463851929;14.0;7;28.0;2;30.4776115417;12.5;3;27.6729331017;
19;1;20.3999996185;14.0;7;28.0;2;30.6037597656;12.5;4;27.8955099583;
20;1;20.3999996185;14.0;8;28.0;2;30.7373065948;12.5;4;28.1301763058;
21;1;20.3999996185;14.0;8;28.0;2;30.8781051636;12.5;4;28.3765156269;
22;1;20.3999996185;14.0;8;28.0;2;31.0259094238;12.5;4;28.633923769;
23;1;20.3999996185;14.0;9;28.0;2;31.180355072;12.5;4;28.9016013145;
24;1;20.3999996185;14.0;9;28.0;2;31.3409614563;12.5;4;29.1785526276;
25;1;20.3999996185;14.0;9;28.0;2;31.5071315765;12.5;4;29.4635906219;
26;1;20.3999996185;14.0;9;28.0;2;31.6781539917;12.5;4;29.7553491592;
27;1;20.3999996185;14.0;9;28.0;2;31.8532104492;12.5;4;30.0523042679;
28;1;20.3999996185;14.0;9;28.0;2;32.0313835144;12.5;4;30.3527998924;
29;1;20.3999996185;14.0;9;28.0;2;32.211681366;12.5;5;30.6550831795;
30;1;18.3999996185;15.0;9;28.0;2;32.3930511475;12.5;5;30.9573426247;
31;1;17.3999996185;16.0;9;28.0;2;32.5744056702;14.5;5;31.257750988;
32;1;16.3999996185;17.0;9;28.0;2;32.754650116;16.5;5;31.5545091629;
33;1;15.3999996185;18.0;9;28.0;2;32.9327049255;18.5;5;31.8458890915;
34;1;14.3999996185;19.0;9;28.0;2;33.1075325012;20.5;5;32.1302747726;
35;1;15.3999996185;17.0;10;28.0;2;33.2781639099;22.5;6;32.4061965942;
36;1;16.3999996185;16.0;10;28.0;3;33.4437179565;22.5;6;32.6723608971;
37;1;17.3999996185;15.0;10;28.0;3;33.6034164429;22.5;5;32.9276695251;
38;1;18.3999996185;14.0;10;28.0;3;33.756603241;22.5;6;33.1712341309;
39;1;19.3999996185;14.0;11;28.0;3;33.9027404785;22.5;5;33.4023790359;
40;1;20.3999996185;14.0;11;28.0;3;34.0414276123;22.5;5;33.6206407547;
41;1;20.3999996185;14.0;11;28.0;3;34.1723861694;22.5;5;33.8257570267;
42;1;20.3999996185;14.0;12;28.0;3;34.2954559326;22.5;6;34.0176506042;
43;1;20.3999996185;14.0;12;28.0;3;34.4105911255;22.5;6;34.1964120865;
44;1;20.3999996185;14.0;13;28.0;3;34.5178451538;22.5;6;35.3622770309;
45;1;20.3999996185;14.0;13;28.0;3;35.6173667908;23.5;6;35.5506049395;
46;1;20.3999996185;15.0;13;28.0;3;36.70936203;24.5;7;35.7277164459;
47;1;20.3999996185;16.0;14;28.0;3;36.7941131592;25.5;7;35.8941432238;
48;1;20.3999996185;17.0;13;28.0;3;36.8719367981;26.5;7;36.0504714251;
49;1;20.3999996185;18.0;12;28.0;3;36.9431877136;27.5;8;36.1835762262;
50;1;20.3999996185;19.0;12;28.0;4;37.0;28.328502655;7;37.5228288174;
51;2;20.3999996185;19.0;13;28.0;4;37.7799987793;28.8559799194;6;38.621003747;
52;2;20.3999996185;19.0;12;28.0;5;38.4148635864;29.2740325928;5;39.5125931501;
53;2;20.3999996185;19.0;13;28.0;5;38.9252853394;29.5999088287;6;40.2338713408;
54;2;20.3999996185;19.0;14;28.0;5;39.3330497742;29.8515625;6;40.670578599;
55;2;20.3999996185;19.0;13;28.0;5;39.569606781;29.971529007;6;40.9075313807;
56;2;20.3999996185;19.0;15;28.0;5;39.6858634949;30.0017642975;6;41.1263006926;
57;2;20.3999996185;19.0;14;28.0;5;39.7907714844;30.0325069427;6;41.3280613422;
58;2;20.3999996185;19.0;14;28.0;5;39.885055542;30.0637397766;6;43.5140570402;
59;2;20.3999996185;19.0;15;28.0;5;41.9694824219;32.0954437256;6;43.7108519077;
60;2;20.3999996185;19.0;15;28.0;5;44.0;34.1275978088;7;43.8615397215;
61;2;20.3999996185;19.0;15;28.0;6;44.6487121582;37.1275978088;6;44.0170195103;
62;2;20.3999996185;19.0;16;28.0;6;44.0;40.1275939941;7;44.1773138046;
63;2;20.3999996185;19.0;17;28.0;6;44.0;43.1275939941;8;44.3424309492;
64;2;20.3999996185;19.0;17;28.0;6;44.0;45.7335128784;7;44.512363553;
65;2;20.3999996185;19.0;17;28.0;6;44.0;47.7564697266;8;44.6870875359;
66;2;20.3999996185;19.0;16;28.0;6;44.0;48.9809532166;8;44.8665599823;
67;2;20.3999996185;19.0;16;28.0;6;44.0;50.0396270752;9;45.0507184267;
68;2;20.3999996185;19.0;17;28.0;6;44.0;51.0990982056;10;45.2394797802;
69;2;20.3999996185;19.0;17;28.0;7;44.0;52.0291404724;10;45.4327386618;
70;2;20.3999996185;19.0;18;28.0;7;44.0;52.1358108521;10;45.6303672791;
