Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
89;7;29.3999996185;42.6303215027;17;41.4830234051;4;21.261423111;34.0;13;40.8979061842;
90;7;29.6000003815;44.6912841797;15;41.7765719891;4;22.266456604;34.595123291;13;41.7004839182;
91;7;28.3999996185;46.7524642944;13;42.0689548254;4;22.9500007629;35.8049659729;12;42.3780252934;
92;7;29.3999996185;48.8137168884;13;42.3596042395;4;23.3860778809;36.9690628052;13;42.7573088408;
93;7;29.6000003815;49.0;13;42.6479691267;4;23.3999996185;38.0;13;43.0391765833;
94;7;29.6000003815;50.9756278992;15;42.9335186481;4;23.7366676331;39.0;13;43.2590126991;
95;7;29.6000003815;51.9773750305;15;43.2157473564;5;23.7417297363;40.0;13;48.4546058178;
96;8;30.6000003815;53.048248291;15;44.4941775799;5;25.3999996185;42.0;13;48.7137769461;
97;8;31.6000003815;55.1181907654;15;44.9183629751;5;28.0646057129;43.7999992371;14;48.8830109835;
98;8;31.9449996948;57.1871185303;14;45.3586654663;5;30.0741500854;44.7999992371;15;49.0486203432;
99;8;31.6000003815;58.4869804382;15;45.8170355558;5;32.0836791992;45.7999992371;16;49.2102673054;
100;8;30.3999996185;59.6102867126;15;46.2955513;5;33.2643661499;46.7999992371;15;49.3676558733;
101;9;30.3999996185;59.7312393188;14;46.796361804;6;33.3312530518;46.7999992371;14;49.5205329657;
102;9;30.3999996185;62.1337814331;15;47.3216135502;6;32.6840820312;46.7999992371;16;49.6686881781;
103;9;30.3999996185;62.2951164246;15;47.873352766;6;33.4591941833;46.7999992371;16;49.8119540215;
104;9;30.3999996185;62.4526367188;16;48.4534032345;6;33.5200805664;46.7999992371;16;49.9502050877;
