Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
94;5;24.2999992371;58.5;19;52.0;6;23.7250003815;54.9690628052;7;64.9283004999;
95;6;25.2999992371;56.5;18;64.0;5;21.263551712;47.9690628052;9;53.3433111906;
96;6;25.2999992371;58.5;18;64.0;6;20.0;49.9690628052;9;53.761033535;
97;6;26.2999992371;60.5;18;64.0;6;20.0;51.5749816895;9;54.1796952486;
98;6;27.2999992371;59.5;18;64.0;6;20.0;52.5979385376;9;54.5975754261;
99;6;26.2999992371;61.5;21;64.0;6;20.0;54.0256729126;11;55.0130432844;
100;6;26.2999992371;63.5;21;64.0;7;20.0;58.5979385376;10;55.4245911837;
101;6;27.2999992371;62.5;20;64.0;7;20.0;61.5979385376;11;55.8308656216;
102;6;26.2999992371;64.5;21;64.0;7;20.0;64.5979385376;11;56.230684638;
103;6;26.2999992371;66.5;21;64.0;7;20.0;67.5979385376;11;56.6230540276;
104;6;27.2999992371;65.5;22;64.0;7;20.0;70.5979385376;12;57.0071690083;
105;6;26.2999992371;67.5;22;64.0;7;20.0;73.5979385376;13;57.3824127913;
106;6;26.2999992371;69.5;24;64.0;7;20.0;76.5979385376;12;58.7483465672;
107;7;27.2999992371;68.5;21;66.2278065681;6;19.0;75.5979385376;10;56.8305757046;
108;7;27.2999992371;71.5;21;66.3341217041;6;21.0;76.5979385376;11;57.131270051;
109;7;28.2999992371;74.5;21;66.4430289268;6;21.0;79.8862533569;11;57.4228589535;
110;7;29.2999992371;74.5;23;66.5543570518;6;22.0;82.5860137939;8;57.7056907415;
111;7;28.2999992371;79.0;26;66.667914629;6;24.0;81.6928863525;9;57.9802051783;
112;7;28.2999992371;82.0;27;66.7834908962;6;23.0;83.7940216064;10;58.246907115;
113;7;28.2999992371;84.0;27;66.9008569717;6;23.0;83.8896636963;11;58.5063459873;
114;7;28.2999992371;86.0;26;67.0197672844;6;24.0;81.9800567627;10;58.758873105;
115;7;28.2999992371;88.0;24;67.1399610043;6;23.0;83.0653839111;8;58.9055335522;
