Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
73;3;23.5;27.5;14;49.8888463974;6;32.536277771;44.0;12;70.044698596;
74;3;23.5;27.5;15;50.529838562;6;32.7700805664;45.0;13;71.1976823807;
75;3;23.5;27.5;14;52.3479347229;6;32.9653549194;46.0;14;72.0079909563;
76;3;23.7999992371;28.0;14;53.8661403656;6;32.7702560425;47.0;14;72.3395489454;
77;3;24.0340003967;28.3899993896;12;55.1210041046;6;32.8250007629;48.0;13;72.3617914915;
78;3;24.2123565674;28.6872596741;10;56.1520080566;6;30.8250007629;50.0;12;72.3841004372;
79;3;24.3458442688;28.9097423553;11;56.8489027023;6;28.8250007629;50.0;14;72.4064661264;
80;3;24.3999996185;29.0;11;57.3009986877;7;28.1000003815;52.0;13;72.428878665;
81;3;24.3999996185;29.0;12;57.5837545395;7;28.1000003815;54.0;13;72.4513280392;
82;3;24.3999996185;29.0;12;57.7902965546;7;28.1000003815;53.0;15;72.4738043547;
83;3;24.3999996185;29.0;13;57.9692153931;7;28.1000003815;55.7369003296;16;72.4962974787;
84;3;22.3999996185;30.0;12;58.0;7;28.1000003815;57.0;16;72.5187973976;
85;3;21.3999996185;31.0;12;58.0;7;28.1000003815;59.7593994141;17;72.5412938595;
86;3;20.3999996185;32.0;12;58.0;7;28.1000003815;61.7706451416;17;72.5637768507;
87;3;19.3999996185;33.0;12;58.0;7;28.1000003815;63.7818870544;19;72.5862361193;
88;3;18.3999996185;34.0;12;58.0;8;29.1000003815;62.7931175232;18;72.6086617708;
89;3;17.3999996185;35.0;13;58.0;8;28.1000003815;64.8043289185;19;72.6310436726;
90;3;16.3999996185;36.0;14;58.0;8;28.1000003815;66.8155212402;19;72.6533719301;
91;3;16.0;37.0;13;58.0;9;29.1000003815;65.8266830444;20;72.6756366491;
92;3;16.0;38.0;14;58.0;10;28.1000003815;67.8378143311;17;87.6978281736;
93;3;16.0;39.0;15;58.0;10;29.1000003815;70.0;17;88.7699360847;
94;3;16.0;41.0;15;58.0;10;31.1000003815;70.8599700928;18;89.7469274998;
95;3;17.0;40.0;14;58.0;10;30.1000003815;73.8709793091;17;91.6182454824;
96;3;16.0;42.0;14;58.0;10;31.1000003815;77.8819351196;18;92.5002244711;
97;3;16.0;41.0;15;58.0;10;33.0999984741;78.8928375244;18;94.288192749;
98;3;17.0;38.0;15;58.0;10;33.0999984741;82.903678894;20;95.0099791288;
99;3;16.0;39.0;15;58.0;11;34.0999984741;86.9144592285;20;95.6564990282;
100;3;16.0;40.0;15;58.0;13;35.0999984741;87.925163269;17;96.2398792505;
