Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;6;20.0;1;7.55000019073;11.3000001907;4;17.0;
4;1;9.0;10.0;6;20.0;1;7.55000019073;10.3000001907;4;17.0;
5;1;10.0;10.0;6;20.0;1;7.55000019073;9.30000019073;4;17.0;
6;1;11.0;10.0;6;20.0;1;8.55000019073;8.5;4;17.0;
7;1;11.0;10.0;6;20.3999996185;1;8.82499980927;8.5;3;17.0;
8;1;11.1199998856;10.1999998093;6;20.7264003754;1;8.82499980927;8.5;3;17.0;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;8.82499980927;8.5;3;17.3400001526;
10;2;11.597111702;10.4951858521;3;23.2119120359;1;8.9015007019;8.67000007629;3;17.6278438568;
11;2;11.9635734558;11.0209560394;3;24.2812614441;1;8.96626472473;8.81392192841;3;17.869726181;
12;2;13.9635734558;11.4571752548;3;25.2156770229;1;9.02068901062;8.93486309052;3;18.786491394;
13;2;15.9635734558;11.8107032776;3;26.0390859842;1;9.22696018219;9.39324569702;4;19.5780620575;
14;2;16.8117256165;12.0916318893;3;26.7780394554;1;11.0206890106;9.78903102875;4;20.2480106354;
15;2;17.0334129333;12.3113050461;3;27.458707571;1;12.0206890106;10.1240053177;4;20.8052330017;
16;2;17.2376117706;12.4808797836;3;27.8840510845;1;13.0206890106;10.4026165009;4;21.2618598938;
17;2;19.2519989014;12.5;3;28.3200027943;1;14.0206890106;10.6309299469;4;21.6314201355;
18;2;20.3827838898;12.5;3;28.8073790073;1;15.0206890106;10.8157100677;4;21.9274635315;
19;2;21.5289974213;12.5;3;29.3477458954;1;16.0206890106;10.9637317657;4;22.0;
20;2;22.6911067963;12.5;3;29.9413113594;1;16.9500007629;11.0;5;22.0;
21;2;22.9823932648;12.5;5;30.586581707;1;16.9500007629;11.0;5;22.0;
22;2;23.1759738922;12.5;5;31.2800674438;1;16.9500007629;11.0;6;22.0;
23;2;23.3840198517;12.5;5;32.0160870552;1;16.9500007629;11.0;7;22.0;
24;2;23.6048259735;12.5;6;32.7867279053;1;16.9500007629;11.0;7;22.0;
25;2;23.8360176086;12.5;7;33.5820074081;1;16.9500007629;11.0;7;22.0;
26;3;24.0746021271;12.5;6;34.3902606964;1;16.9500007629;11.0;7;22.0;
27;3;24.3170776367;12.5;6;35.1987380981;1;16.9500007629;11.0;8;22.0;
28;3;24.5596218109;12.5;6;35.9943685532;1;16.9500007629;11.0;8;22.0;
29;3;24.7983093262;12.5;6;36.7645931244;1;16.9500007629;11.0;8;22.0;
30;3;23.0293769836;13.5;6;37.4981632233;1;16.9500007629;11.0;8;22.0;
31;3;22.0293769836;13.5;6;38.1857919693;1;16.9500007629;11.0;8;22.0;
32;4;21.0293769836;13.5;4;48.8205833435;1;16.9500007629;11.0;8;22.0;
33;4;21.0293769836;13.5;3;49.7982025146;1;14.9500007629;12.0;8;22.0;
34;4;21.0293769836;13.5;3;50.6911964417;1;13.9500007629;13.0;8;22.0;
35;4;22.0293769836;14.5;3;51.4986505508;1;12.9500007629;14.0;8;22.0;
36;4;23.0293769836;15.5;3;52.2221221924;1;12.0;15.0;8;22.0;
37;4;24.0293769836;16.5;3;52.8651103973;1;12.0;16.0;8;22.0;
38;4;21.0293769836;16.5;3;53.4325094223;1;12.0;17.0;9;22.0;
39;4;21.5293769836;15.5;4;53.9301128387;1;12.0;18.0;9;22.0;
40;4;23.5293769836;16.5;4;54.3641824722;1;12.0;19.0;9;22.0;
41;4;24.8092556;17.5;4;54.6481971741;1;12.0;20.0;9;22.0;
42;4;23.8669567108;19.5;4;54.8191757202;1;12.0;21.0;11;22.0;
43;4;23.9182491302;21.5;4;54.9705476761;2;12.0;22.0;10;22.0;
44;4;23.9636611938;23.5;5;55.0;2;12.0;23.0;10;22.0;
45;4;23.9636611938;25.5;5;56.0;2;12.0;24.0;11;22.0;
46;5;26.9636611938;29.5;4;57.0499999523;2;12.0;25.0;11;22.0;
47;5;31.9636611938;31.5;4;57.2319749594;2;12.0;26.0;12;22.0;
48;5;34.9636611938;33.5;5;57.4313809872;2;12.0;27.0;11;22.0;
49;5;34.22057724;36.5;5;57.6496688128;2;12.0;28.0;12;22.0;
50;5;34.9224815369;37.5;6;57.8883082867;2;12.0;29.0;13;22.0;
51;6;35.9766654968;38.0079879761;5;58.1487551928;2;12.0;30.0;12;22.0;
52;6;34.4357910156;38.5;5;58.432410121;2;13.0;28.0;13;22.0;
53;6;35.1032409668;38.0568618774;5;58.7405678034;2;12.0;29.0;13;22.0;
54;6;33.7221717834;38.5;6;59.0743561983;2;12.0;30.0;13;22.0;
55;6;33.822303772;39.5;6;59.4346677065;2;13.0;28.0;14;22.0;
56;6;33.9303970337;40.5;6;59.8220834732;2;12.0;29.0;15;22.0;
57;6;33.5483894348;42.16431427;7;61.236792326;2;12.0;30.0;15;22.0;
58;7;36.1710357666;40.5;6;61.708511591;2;13.0;28.0;15;22.0;
59;7;37.142036438;41.5;6;62.2070040703;2;12.0;29.0;17;22.0;
60;7;38.4829406738;42.2055435181;7;62.7308276892;2;12.0;30.0;18;22.0;
61;7;39.8275299072;42.2840270996;6;63.2778937817;2;12.0;31.0;18;22.0;
