Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
74;7;35.7789230347;45.0;14;82.7151674032;7;26.4928817749;41.8089675903;14;36.109238863;
75;7;35.264251709;45.0;14;82.8342858553;7;25.5312614441;44.7685317993;15;37.3456408978;
76;7;35.8502845764;45.0;13;82.9536414146;7;25.5700683594;47.7685317993;15;37.6714755297;
77;7;35.8860931396;45.0;14;83.0731053352;7;25.6092624664;50.7685317993;15;38.0034897327;
78;7;35.9219284058;46.0;14;83.1925480366;7;24.6488018036;53.7685317993;17;38.3417037725;
79;7;36.557762146;47.0;15;83.3118402958;7;23.6886386871;56.7685317993;18;38.686139822;
80;7;33.6394348145;50.0;15;83.43085289;7;22.728729248;59.7685317993;18;39.0368158817;
81;7;32.9714775085;51.8770370483;15;83.5494577885;7;21.7690258026;61.7685317993;18;39.3937379122;
82;7;31.9885921478;53.9016609192;16;84.6675283909;8;21.5594787598;63.7685317993;21;39.7568928003;
83;7;32.005443573;56.9264221191;16;84.8449399471;8;21.6000366211;65.7685317993;21;40.1262392998;
84;7;31.7134628296;60.0;16;85.024533987;8;21.6406517029;67.2352828979;21;40.5016980171;
85;7;31.0690574646;63.3844032288;18;85.2062603235;8;21.6812744141;68.2790298462;22;40.883140564;
86;7;30.7509078979;65.0;18;85.3900637627;8;21.7218494415;69.322769165;23;41.2703781128;
87;7;28.769657135;69.0;18;85.5758835077;8;21.7623310089;70.3664398193;24;41.6631512642;
88;7;28.0;71.0;18;85.7636526823;8;22.8026657104;68.4100036621;25;43.0611205101;
89;7;26.8070964813;73.0;19;85.9532966614;8;22.8428039551;70.4533843994;26;43.5438562632;
90;7;28.8257369995;71.0;20;86.1447325945;8;23.8826999664;72.4965438843;26;44.0795661211;
91;7;29.9735527039;71.0;20;86.3378679752;8;24.9223041534;71.5394287109;26;44.6326746941;
92;7;31.0059623718;71.0;20;86.5326002836;8;23.9615688324;73.5819778442;28;45.2035365105;
93;7;32.0378837585;71.0;22;86.7288149595;10;24.0004501343;75.6241531372;25;45.7923955917;
94;8;33.0692977905;71.0;20;86.9263856411;10;25.0389060974;73.6659011841;25;46.3622587919;
95;8;34.1001739502;71.0;20;87.1251730919;10;24.0768966675;74.7071838379;23;46.8542470932;
96;8;35.7375488281;71.0;20;87.2998554707;10;24.1143798828;75.7479476929;18;47.3550183773;
97;8;34.1526870728;71.0;21;87.4613633156;10;25.1513214111;73.7881546021;17;47.8632788658;
98;9;34.8384094238;69.0;18;87.6247973442;9;24.1876831055;74.8277664185;17;48.3776285648;
99;9;35.8874397278;69.0;18;87.7899529934;9;24.2234382629;75.8667449951;17;49.8965771198;
100;9;34.2040786743;69.0;19;88.9566082954;9;26.2585525513;75.9050598145;17;50.4585664272;
101;9;33.9869842529;71.0;18;89.2745252848;9;26.2930030823;76.9426879883;17;51.1549378633;
102;9;34.037361145;74.0;19;90.1125648022;9;26.3267631531;78.9795837402;18;51.8687973022;
103;9;33.3544692993;75.0;19;90.999306798;9;27.3598098755;79.0157241821;18;52.4408792257;
104;9;32.4453964233;77.0;18;91.9354991913;9;26.3921298981;82.0511016846;19;53.0099442005;
105;10;31.6604328156;80.0;17;92.9214855433;10;26.4237003326;84.0856781006;17;53.5743350983;
106;10;30.7145347595;80.0;16;93.9571130276;10;27.4545116425;85.0511016846;18;54.1324620247;
107;11;30.8355560303;81.0;14;95.0416314602;10;28.4845504761;86.0511016846;17;54.6828192472;
108;11;31.3415985107;83.0;15;96.1735899448;10;29.0065803528;87.0511016846;18;55.2240035534;
109;11;31.0762023926;83.0;16;97.3507244587;10;29.0640907288;88.0511016846;18;55.7547250986;
110;11;30.1948795319;84.0;16;98.5698549747;10;29.1200218201;89.0511016846;19;56.2738189697;
111;11;30.3118438721;86.0;16;99.8267884254;10;29.174369812;90.0511016846;20;56.7385115623;
112;11;31.4266662598;85.0;17;102.1162467;10;29.2000007629;91.0511016846;20;57.152649045;
113;12;31.5389442444;89.0;11;103.491825104;10;29.2000007629;92.0511016846;20;57.5548919439;
114;12;31.7488021851;92.0;12;107.2003088;10;30.2000007629;90.0511016846;24;57.9446017742;
115;12;31.929227829;95.0;13;110.603923202;10;29.2000007629;91.0511016846;24;58.3212691545;
116;12;33.1022148132;99.0;13;113.74161768;10;29.2000007629;92.0511016846;25;58.6845097542;
117;12;34.4270782471;100.0;15;116.654729486;10;30.2000007629;89.3239517212;18;59.0340611935;
118;12;33.6658172607;103.0;17;119.206178069;10;27.2000007629;89.8965911865;18;59.3697721958;
119;12;34.8929176331;103.0;18;122.493650913;10;26.6000003815;91.0161437988;18;59.6867189407;
120;13;35.1079216003;107.0;13;124.769479394;10;27.6000003815;89.1312332153;18;61.9672093391;
121;14;35.2325363159;109.0;13;126.95513463;10;26.7299995422;89.1515274048;19;64.2646992207;
