Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;2;7.0;13.3000001907;5;21.0;
3;1;9.0;10.0;5;20.0;2;8.30000019073;12.0;5;21.0299999714;
4;1;9.0;10.0;5;20.0;2;9.30900001526;11.0;5;21.0605909824;
5;1;10.0;10.0;5;20.0;2;10.3181772232;10.0;5;21.091766119;
6;1;11.0;10.0;5;20.0;2;11.4912948608;10.0;5;21.1235172749;
7;1;11.0;10.0;5;20.3999996185;2;12.5055828094;10.0;5;21.1558350325;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;13.5201253891;10.0;5;21.6002668142;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;14.5401201248;10.1999998093;5;21.9722745419;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;14.8875226974;10.3632001877;5;23.1245321035;
11;2;11.9125738144;11.0209560394;4;23.9143505096;2;15.4060401917;10.9097137451;5;24.0979815722;
12;2;12.1743059158;11.4571752548;4;24.7514065504;2;15.8440923691;11.3658018112;5;24.9042524099;
13;2;14.9125738144;11.8107032776;5;25.4586948156;2;18.4336128235;11.7372808456;5;25.5624300241;
14;2;16.9125728607;12.0916318893;5;26.0603342056;2;20.4336128235;12.0336990356;5;26.0949087143;
15;2;18.0438919067;12.3113050461;5;26.5800945759;2;21.5218143463;12.2662630081;5;26.5242495537;
16;2;19.0980739594;12.4808797836;5;26.8187118769;2;22.5530147552;12.446267128;5;26.7029932737;
17;2;20.1581878662;12.5;5;27.0402543545;2;23.5850906372;12.5;5;26.776170969;
18;2;21.2246494293;12.5;3;27.2842636108;2;24.618019104;12.5;6;26.851193428;
19;2;22.1852798462;12.5;4;27.5518820286;2;25.6517791748;12.5;6;26.9279959202;
20;2;22.2655639648;12.5;4;27.8440244198;2;26.11759758;12.5;6;27.0065040588;
21;2;22.3532066345;12.5;4;28.1613030434;2;26.1529273987;12.5;6;27.0866336823;
22;2;22.4483909607;12.5;4;28.5039470196;2;26.1889858246;12.5;6;27.1682913303;
23;3;22.5511837006;12.5;3;28.871723175;3;26.225730896;12.5;5;27.2513740063;
24;3;22.6615161896;12.5;4;29.263862133;3;26.2631187439;12.5;6;27.3357696533;
25;4;19.5;14.5;3;29.6789975166;3;24.3010959625;13.5;6;27.4213576317;
26;4;20.5;13.6697492599;3;30.1151270866;3;23.3396110535;14.5;6;27.5080094337;
27;4;18.5;15.5460510254;3;30.5695996284;3;22.3786048889;15.5;6;27.5955889225;
28;4;17.5;16.7278404236;4;31.0391392708;3;21.4180145264;16.5;6;27.6839535236;
29;4;16.5;17.9156551361;4;31.5199065208;3;20.4577789307;17.5;6;27.7729547024;
30;4;15.5;19.107963562;5;33.007601738;3;19.4978294373;18.5;6;28.8624391556;
31;4;15.5;20.7030410767;5;33.6676009893;3;19.5380973816;19.5;6;28.9722499847;
32;4;16.0;21.9670410156;5;34.3520359993;3;19.5785121918;20.5;6;29.0824232101;
33;4;16.0;23.240814209;5;35.0596911907;3;19.0870895386;21.5;6;29.1927913427;
34;4;16.0;24.5238761902;5;35.789768815;3;18.136756897;22.5;7;29.3031855822;
35;4;16.0;25.8159065247;6;36.5419745445;3;17.9364337921;23.5;7;29.4134383202;
36;4;17.0;24.1167888641;6;37.3165376186;3;17.9860477448;24.5;7;29.5233827829;
37;4;16.0;25.4266147614;7;38.1141402721;3;18.0355224609;25.5;7;29.6328554153;
38;4;17.0;24.5814552307;7;38.9357569218;4;18.0847854614;26.5;7;29.7416963577;
39;4;17.0;23.7558364868;8;39.7823965549;4;18.1337623596;27.5;7;29.8497505188;
40;5;16.0;25.9507865906;7;40.6547555923;4;18.1823883057;28.5;7;29.9568687677;
41;5;17.0;25.1669330597;8;41.5528178215;4;18.2305908203;29.5;6;30.0629085302;
42;5;17.0;24.4043598175;8;42.4754281044;4;17.5533485413;29.5;7;30.167734623;
43;5;16.0;26.6624679565;8;43.4199056625;4;18.0;30.5;8;30.2712208033;
44;5;17.0;25.939863205;10;44.3817458153;4;19.0;31.5;9;30.3732485771;
45;6;17.0;25.2342700958;9;45.3544836044;4;18.5828857422;34.5;10;30.4737097025;
46;6;16.0;27.5425262451;10;46.3297643661;4;18.4631690979;37.5;10;30.5725053549;
47;6;18.0;27.5425262451;10;47.2976503372;4;18.5076274872;38.5;10;30.6695460081;
48;6;20.0;27.6146907806;11;48.1987380981;4;18.5512962341;39.5;11;30.7647528648;
49;6;20.0;28.5;12;48.9943685532;4;18.5941390991;40.5;11;31.8580566645;
50;6;22.0;29.5;13;49.7645931244;4;18.6329097748;40.5;11;32.0393979549;
51;6;24.0;30.5;14;50.4981632233;4;20.0;42.5;12;32.225846529;
52;6;23.0;32.5;16;51.1857919693;5;20.1873016357;41.5;11;32.4177439213;
53;6;25.0;32.5;16;51.8205833435;5;20.2444953918;41.5;12;32.6154271364;
54;6;24.5;31.5;16;52.3982028961;5;20.3052368164;42.5;12;32.8192224503;
55;6;24.5;31.5;12;52.9167966843;5;20.6834583282;43.5;13;33.0294338465;
56;6;23.5;30.5;12;53.3767118454;5;20.4379577637;42.5;14;33.2463364601;
57;7;25.5;30.5;11;53.780087471;5;20.5102005005;42.5;14;33.4701639414;
