Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;11.0;4;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;11.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.3999996185;1;12.0;10.0;4;20.0;
8;2;11.4200000763;10.1999998093;3;21.7264003754;1;13.0;10.0;4;20.3999996185;
9;2;11.5179204941;10.3632001877;3;21.9903717041;1;14.0;10.1999998093;4;20.7264003754;
10;2;11.597111702;10.4951858521;3;23.0819120407;1;14.3268795013;10.3632001877;4;21.8194274902;
11;2;11.9245738983;11.0209560394;3;23.99553442;2;14.8187427521;11.2097139359;3;23.7316036224;
12;2;13.9245738983;11.4571752548;3;24.7449600697;2;15.6792221069;11.3658018112;3;24.5045616627;
13;2;15.9245738983;11.8107032776;3;25.3503712416;2;18.268743515;11.7372808456;3;25.1279890537;
14;2;16.9627056122;12.0916318893;3;25.8344515562;2;20.268743515;12.0336990356;3;25.6242921352;
15;2;17.9761257172;12.3113050461;3;26.2195074558;2;21.3100376129;12.2662630081;4;26.0160515308;
16;2;18.9898986816;12.4808797836;3;26.3048160076;3;22.3243255615;12.446267128;4;26.1558350325;
17;2;20.0040187836;12.5;3;26.3530313969;3;23.3388690948;12.5;5;26.1887089014;
18;2;21.0184822083;12.5;3;26.4023760557;3;24.3536624908;12.5;5;26.2221269608;
19;2;21.9207134247;12.5;4;26.4528282881;3;25.3687000275;12.5;5;26.2560760975;
20;2;21.9358482361;12.5;4;26.5043625832;3;25.8152351379;12.5;5;26.2905418873;
21;2;21.9513092041;12.5;3;26.5569496155;3;25.8307437897;12.5;5;26.3255085945;
22;2;21.9670848846;12.5;3;26.6105561256;3;25.8464794159;12.5;6;26.3609591722;
23;2;21.9831676483;12.5;3;26.6651450396;4;25.8624305725;12.5;5;26.3968753815;
24;2;21.9995441437;12.5;3;26.72067523;4;25.8785934448;12.5;5;26.4332377911;
25;3;19.5;13.9301691055;2;26.7771017551;4;23.8949565887;13.5;5;26.4700255394;
26;3;20.5;12.944275856;3;26.8343759775;4;22.9115104675;14.5;5;26.5072168112;
27;3;18.5;14.2337503433;3;26.8924454451;4;21.9282474518;15.5;5;26.5447884798;
28;3;17.5;15.256978035;3;26.9512542486;4;20.9451541901;16.5;5;26.5827163458;
29;3;16.5;16.2805023193;3;27.0107431412;4;19.962223053;17.5;5;26.6209751368;
30;3;15.5;17.3042964935;3;27.0708494186;4;18.9794387817;18.5;5;26.6595385075;
31;3;14.5;18.3283405304;4;27.1315076351;4;17.9967918396;19.5;6;26.6983793974;
32;4;14.0;19.3526039124;3;28.1926498413;4;17.0142707825;20.5;7;26.7374696732;
