Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;2;14.4499998093;10.0;4;21.3999996185;1;11.0;10.0;4;20.3999996185;
8;2;14.6300001144;10.1999998093;3;21.8264003992;1;11.1199998856;10.1999998093;3;20.7264003754;
9;2;14.8218793869;10.3632001877;3;23.0613274574;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;15.3775978088;10.9097137451;3;24.1319464445;1;11.2971115112;10.4951858521;3;22.0419120789;
11;2;17.3775978088;11.3658018112;3;25.0513429642;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;19.3775978088;11.7372808456;3;25.8400663137;1;11.8743057251;11.4571752548;3;23.6214065552;
13;2;20.616443634;12.0336990356;4;26.5219442844;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;21.7139816284;12.2662630081;4;27.12089324;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;22.8215045929;12.446267128;4;27.4906733036;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;23.9395446777;12.5;6;27.7773330212;1;16.6125736237;12.4808797836;4;25.0;
17;3;25.0685424805;12.5;4;39.0779240131;1;17.6125736237;12.5;4;25.0;
18;3;27.2088031769;12.5;4;40.4051876068;1;18.6125736237;12.5;4;25.0;
