Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;2;10.3000001907;10.0;4;21.0;
6;2;13.4499998093;10.0;4;21.0;2;11.3000001907;10.0;4;21.1200000048;
7;2;14.4499998093;10.0;3;21.4999996424;2;11.3360004425;10.0;4;21.664255619;
8;2;14.6750001907;10.1999998093;3;21.9353003502;2;11.4992771149;10.1999998093;4;22.151668787;
9;2;14.8708848953;10.3632001877;3;23.1829590797;2;11.6455011368;10.3632001877;4;22.5948637724;
10;2;15.4323320389;10.9097137451;3;24.267437458;2;11.778459549;10.4951858521;4;23.90946877;
11;2;17.4323310852;11.3658018112;3;25.2018244267;2;12.1728410721;11.0209560394;4;25.0831897259;
12;2;19.4323310852;11.7372808456;2;26.0066431761;2;14.1728401184;11.4571752548;3;26.1335980892;
13;2;20.6914024353;12.0336990356;3;26.7056586742;2;16.1728401184;11.8107032776;4;27.0845386982;
14;2;21.7966518402;12.2662630081;3;27.3226804733;2;17.4829559326;12.0916318893;4;27.961940527;
15;2;22.9123077393;12.446267128;3;27.7113106251;2;18.6143722534;12.3113050461;4;28.7906582355;
16;2;24.0388336182;12.5;3;28.0173821449;2;19.7612438202;12.4808797836;4;29.3714957237;
17;2;25.1765651703;12.5;3;28.3487696648;2;20.9240226746;12.5;4;29.9672651291;
18;2;26.3256893158;12.5;3;28.7054548264;2;22.1027526855;12.5;3;30.6146354675;
