Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;2;13.4499998093;10.0;5;21.0;1;11.0;10.0;5;20.0;
7;2;14.4499998093;10.0;5;21.469999671;1;11.0;10.0;5;20.3999996185;
8;2;14.6614999771;10.1999998093;5;21.8705514669;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;14.8417472839;10.3632001877;5;23.0649029016;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;15.3792066574;10.9097137451;4;24.0861145258;2;11.597111702;10.4951858521;4;23.0419120789;
11;2;17.3792076111;11.3658018112;4;24.9461766481;2;11.9125738144;11.0209560394;4;23.9543504715;
12;2;19.3792076111;11.7372808456;4;25.6645179987;2;12.1863059998;11.4571752548;4;24.7025904655;
13;2;20.5374469757;12.0336990356;4;26.2638499737;2;14.9245738983;11.8107032776;5;25.3068172932;
14;2;20.8187332153;12.2662630081;4;26.7670158148;2;16.9245738983;12.0916318893;5;25.789717555;
15;2;21.0451583862;12.446267128;4;27.0267930031;2;17.9627056122;12.3113050461;5;26.1736010313;
16;2;21.1620559692;12.5;3;27.1883933544;2;18.9761257172;12.4808797836;5;26.2577478886;
17;2;23.1864185333;12.5;3;27.3593420982;2;19.9898986816;12.5;5;26.3048160076;
18;2;24.2633457184;12.5;3;27.5396113396;2;21.0040187836;12.5;5;26.3530313969;
