Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
5;1;12.0;10.0;4;20.0;1;10.0;10.0;4;20.0;
6;1;13.0;10.0;4;20.0;2;11.3000001907;10.0;3;21.0;
7;2;14.4499998093;10.0;3;21.3999996185;2;11.3000001907;10.0;3;21.4999996424;
8;2;14.6300001144;10.1999998093;3;21.7264003754;2;11.4499998093;10.1999998093;3;21.9353003502;
9;2;14.7768793106;10.3632001877;3;22.8694274426;2;11.5805902481;10.3632001877;3;22.3176362514;
10;2;15.2912425995;10.9097137451;3;23.8335785866;2;11.6952905655;10.4951858521;3;23.5373773575;
11;2;17.2912425995;11.3658018112;3;24.6305116415;2;12.0612134933;11.0209560394;3;24.5968167782;
12;2;19.2912425995;11.7372808456;3;25.2793427706;2;14.0612134933;11.4571752548;3;25.5111111403;
13;2;20.364118576;12.0336990356;4;25.8024992943;2;16.0612125397;11.8107032776;4;26.3018171787;
14;2;21.3902301788;12.2662630081;4;26.2225775719;2;17.2481403351;12.0916318893;4;26.9928781986;
15;2;22.417263031;12.446267128;4;26.3921557665;2;18.3236541748;12.3113050461;4;27.6076834202;
16;2;23.4452133179;12.5;4;26.4563041925;2;19.4063510895;12.4808797836;4;27.9463441372;
17;2;24.4740791321;12.5;4;26.5224741697;2;20.4964771271;12.5;4;28.2720229626;
18;2;25.5038566589;12.5;4;26.5906432867;2;21.5941810608;12.5;4;28.6230447292;
