Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;2;9.19999980927;10.0;3;21.0;
5;1;12.0;10.0;6;20.0;2;10.3000001907;10.0;3;21.0900000334;
6;1;13.0;10.0;6;20.0;2;11.3269996643;10.0;3;21.1871190071;
7;1;14.0;10.0;6;20.3999996185;2;11.3561353683;10.0;3;21.7036092281;
8;1;14.1800003052;10.1999998093;6;20.7264003754;2;11.5110826492;10.1999998093;3;22.1564130783;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;11.6469240189;10.3632001877;3;22.557236433;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;11.7671709061;10.4951858521;3;23.8035871983;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;12.141076088;11.0209560394;3;24.8916251659;
12;1;16.8187427521;11.7372808456;4;24.0673980713;2;14.141076088;11.4571752548;3;25.8364036083;
13;2;18.8187427521;12.0336990356;3;25.5325260162;2;16.1410751343;11.8107032776;4;26.6592981815;
14;2;20.0396366119;12.2662630081;3;26.0225342512;2;17.3553848267;12.0916318893;3;27.3839819431;
15;2;20.2016410828;12.446267128;3;26.2754310369;2;18.440984726;12.3113050461;3;28.0334718227;
16;2;20.25;12.5;2;26.4377241135;2;19.5340881348;12.4808797836;3;28.407397747;
17;2;22.2016410828;12.5;2;26.6183350086;2;20.6347923279;12.5;3;28.7683298588;
18;2;23.2016410828;12.5;2;26.8187118769;2;21.7430725098;12.5;3;29.1538929939;
19;2;24.2016410828;12.5;2;27.0402543545;2;22.7461681366;12.5;3;29.562889576;
20;2;25.2016410828;12.5;2;27.2842636108;2;22.8688659668;12.5;3;29.9934945107;
21;2;25.25;12.5;2;27.5518820286;2;22.9980487823;12.5;5;30.4432339668;
22;2;25.25;12.5;2;27.8440244198;2;23.1329708099;12.5;5;30.9089989662;
23;2;25.25;12.5;1;28.1613030434;2;23.2726993561;12.5;5;31.3870959282;
24;2;25.25;12.5;1;28.5039470196;2;23.4161281586;12.5;5;31.8733391762;
25;2;25.25;12.5;1;28.871723175;2;23.562002182;12.5;5;32.36317873;
26;2;26.25;12.5;2;29.263862133;2;23.7089538574;12.5;6;32.8518595695;
27;2;27.1687374115;12.5;3;29.6789975166;2;23.8555583954;12.5;7;33.3346033096;
28;2;27.3555488586;12.5;3;30.1151270866;2;24.0003814697;12.5;7;33.8067913055;
29;2;27.5518074036;12.5;4;30.5695996284;2;24.142036438;12.5;7;34.2641468048;
30;2;25.5518074036;13.5;3;31.0391392708;2;22.142036438;13.5;8;34.7028827667;
31;2;25.25;14.5;2;31.5199065208;2;21.5;14.5;8;35.1198272705;
32;2;25.25;15.5;2;32.007601738;2;21.5;15.5;9;35.5124940872;
33;2;25.25;16.5;2;32.4976010323;3;20.5;14.5;7;38.1281969547;
34;2;25.25;17.5;1;32.9851250648;3;21.5;14.5;7;38.5970640182;
35;2;25.25;15.5;1;33.465420723;3;22.5;15.5;7;39.0427997112;
36;2;25.25;16.5;1;33.9339466095;3;22.2536373138;14.5;7;39.4653921127;
37;0;0;0;0;0;3;21.5;15.5;7;39.8652853966;
