Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;2;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;2;20.0;
7;1;14.0;10.0;4;20.3999996185;2;11.3000001907;10.0;1;21.3999996185;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;11.4200000763;10.1999998093;1;21.7264003754;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;11.5179204941;10.3632001877;1;21.9903717041;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;11.597111702;10.4951858521;1;23.0719120502;
11;1;15.8187427521;11.3658018112;4;23.4745616913;2;11.9215736389;11.0209560394;1;23.9749414921;
12;2;17.8187427521;11.7372808456;3;25.0673980713;2;13.9215736389;11.4571752548;1;24.7131726742;
13;2;19.8187427521;12.0336990356;4;25.7025259733;2;15.9215736389;11.8107032776;2;25.3067810535;
14;2;21.345243454;12.2662630081;4;26.2594451904;2;16.94962883;12.0916318893;2;25.7784451246;
15;2;22.4338531494;12.446267128;4;26.5942704678;2;17.9593238831;12.3113050461;2;26.1504684687;
16;2;23.5361652374;12.5;4;26.8558222055;2;18.9691867828;12.4808797836;2;26.2221269608;
17;2;24.6538619995;12.5;4;27.1554293633;2;19.9792118073;12.5;2;26.2560760975;
18;2;25.788684845;12.5;4;27.4969480038;2;20.989397049;12.5;2;26.2905418873;
19;2;26.373626709;12.5;5;27.8840510845;2;21.8871631622;12.5;3;26.3255085945;
20;2;26.5478229523;12.5;6;28.3200027943;2;21.8976516724;12.5;4;26.3609591722;
21;2;26.7440013885;12.5;6;28.8073790073;2;21.9082870483;12.5;5;26.3968753815;
