Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;11.3000001907;10.0;3;21.0;1;9.0;10.0;4;20.0;
2;2;11.3000001907;10.0;3;21.0900000334;1;9.0;10.0;5;20.0;
3;2;11.3269996643;10.0;3;21.1871190071;1;9.0;10.0;5;20.0;
4;2;11.3561353683;10.0;3;21.2917383909;1;9.0;10.0;5;20.0;
5;2;12.5812826157;10.0;3;21.4042263031;1;10.0;10.0;5;20.0;
6;2;13.631901741;10.0;3;21.5249304771;2;11.3000001907;10.0;4;21.0;
7;2;14.6862182617;10.0;3;22.0694183111;2;11.3000001907;10.0;4;21.3999996185;
8;2;14.9312381744;10.1999998093;3;22.5515855551;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;15.1482124329;10.3632001877;3;23.8668255806;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;15.7400722504;10.9097137451;3;25.0237190723;2;11.597111702;10.4951858521;4;23.0719120502;
11;2;17.7400722504;11.3658018112;3;26.0350353718;2;11.9215736389;11.0209560394;4;23.9749414921;
12;2;19.7400722504;11.7372808456;3;26.9207777977;2;13.9215736389;11.4571752548;4;24.7131726742;
13;2;21.1027641296;12.0336990356;4;27.703961134;2;15.9215736389;11.8107032776;5;25.3067810535;
14;2;22.2458877563;12.2662630081;5;28.4073903561;2;16.94962883;12.0916318893;5;25.7784451246;
15;2;23.400428772;12.446267128;5;28.8833937645;2;17.9593238831;12.3113050461;5;26.1504684687;
16;2;24.5662689209;12.5;5;29.2762613297;2;18.9691867828;12.4808797836;5;26.2221269608;
17;2;25.7430610657;12.5;6;29.692073822;2;19.9792118073;12.5;5;26.2560760975;
18;2;26.9301757812;12.5;6;30.1288084984;2;20.989397049;12.5;5;26.2905418873;
19;2;27.557964325;12.5;6;30.5837950706;2;21.8871631622;12.5;5;26.3255085945;
20;2;27.7627067566;12.5;6;31.0537385941;2;21.8976516724;12.5;5;26.3609591722;
21;2;27.9741821289;12.5;7;31.534784317;2;21.9082870483;12.5;5;26.3968753815;
22;2;28.1906528473;12.5;7;32.0226202011;2;21.9190635681;12.5;5;26.4332377911;
23;2;26.1906528473;13.5;7;32.5126152039;2;21.5;12.9299716949;4;26.4700255394;
24;2;25.25;14.5;7;32.9999876022;2;21.5;12.9410076141;5;26.5072168112;
25;2;23.25;16.5;7;33.4799880981;3;21.9521656036;12.5;4;26.5447884798;
26;2;24.25;15.89199543;6;33.9480848312;3;21.9634361267;12.5;3;26.5827163458;
27;2;23.25;14.89199543;6;34.4001340866;3;21.5;12.5;3;26.6209751368;
28;2;21.25;16.8919944763;6;34.8325281143;3;21.5;12.5;3;26.6595385075;
29;2;20.25;18.8919944763;7;35.2422962189;3;21.5;12.5;2;26.6983793974;
30;2;20.25;17.8919944763;7;35.6271715164;3;19.5;13.5;2;26.7374696732;
31;2;18.25;19.8919944763;7;35.9856081009;3;18.5;14.5;2;26.7767804861;
32;2;19.25;18.8919944763;7;36.3167572021;3;17.5;15.5;2;26.8162822723;
33;2;20.25;18.8919944763;6;36.6204128265;3;16.5;16.5;2;26.8559447527;
34;2;21.25;18.1481647491;6;36.8969306946;3;15.5;17.5;3;26.8957372904;
35;2;22.25;17.2587718964;7;37.1471309662;3;14.5;18.5;3;26.9356285334;
36;2;23.25;17.3588523865;7;37.3722009659;3;14.0;19.5;4;26.9755871296;
37;2;24.25;17.4488792419;7;37.5735960007;3;14.0;20.5;5;27.015581131;
38;2;26.25;18.5;8;37.7529459;3;14.0;21.5;5;27.0555787086;
39;2;27.25;19.5;8;37.9119815826;3;14.0;22.5;6;27.0955479145;
40;2;28.25;20.5;8;38.0;3;14.0;23.5;8;27.135456562;
41;2;29.25;21.5;9;38.0;3;14.0;24.5;7;27.17527318;
42;2;30.25;22.5;10;38.0;3;15.0;22.5;8;27.2149660587;
43;2;31.1000003815;22.5;10;38.0;3;14.0;23.5;8;27.2545039654;
44;2;31.1000003815;22.5;11;38.0;3;14.0;24.5;8;27.293856144;
45;2;31.1000003815;22.5;11;38.0;3;15.6881570816;22.5;5;27.3329925537;
46;2;31.1000003815;22.5;11;38.0;3;16.0;22.5;6;27.3718836308;
47;2;31.1000003815;22.5;12;38.0;3;17.0;22.5;6;27.4105007648;
48;2;31.1000003815;22.5;12;38.0;3;18.7231502533;22.5;7;27.4488155842;
49;2;31.1000003815;22.5;12;38.0;4;19.7346439362;22.5;6;37.4868011475;
50;2;31.1000003815;22.5;13;38.0;4;21.7460403442;23.5;6;37.9244310856;
51;2;31.1000003815;22.5;13;38.0;4;23.7573299408;24.5;8;38.336081028;
52;2;31.1000003815;22.5;13;38.0;4;25.2685050964;25.5;8;38.7204651833;
53;2;31.1000003815;22.5;16;38.0;4;26.2795581818;26.5;8;39.0769789219;
