Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;2;13.4499998093;10.0;5;21.0;1;11.0;10.0;5;20.0;
7;2;14.4499998093;10.0;5;21.3999996185;1;11.0;10.0;5;20.3999996185;
8;2;14.6300001144;10.1999998093;5;21.7264003754;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;14.7768793106;10.3632001877;5;22.8494274616;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;15.282242775;10.9097137451;5;23.7921946049;2;11.597111702;10.4951858521;4;23.0719120502;
11;2;17.2822418213;11.3658018112;5;24.5663278103;2;11.9215736389;11.0209560394;4;23.9749414921;
12;2;19.2822418213;11.7372808456;5;25.1909153461;2;13.9215736389;11.4571752548;4;24.7131726742;
13;2;20.3243255615;12.0336990356;5;25.6883610487;2;15.9215736389;11.8107032776;5;25.3067810535;
14;2;20.5597629547;12.2662630081;5;26.0812431574;2;16.94962883;12.0916318893;5;25.7784451246;
15;2;20.7365608215;12.446267128;5;26.2221269608;2;17.9593238831;12.3113050461;5;26.1504684687;
16;2;20.7999572754;12.5;5;26.2560760975;2;18.9691867828;12.4808797836;5;26.2221269608;
17;2;22.7668762207;12.5;5;26.2905418873;2;19.9792118073;12.5;5;26.2560760975;
18;2;23.7823848724;12.5;5;26.3255085945;2;20.989397049;12.5;5;26.2905418873;
