Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;5;20.3999996185;
8;2;14.6300001144;10.1999998093;4;21.7264003754;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;14.7768793106;10.3632001877;4;22.8494274616;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;15.282242775;10.9097137451;4;23.7921946049;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;17.2822418213;11.3658018112;4;24.5663278103;2;11.9125738144;11.0209560394;3;23.9143505096;
12;2;19.2822418213;11.7372808456;3;25.1909153461;2;12.1743059158;11.4571752548;3;24.6514065266;
13;2;20.3243255615;12.0336990356;3;25.6883610487;2;14.9125738144;11.8107032776;4;25.2438547611;
14;2;20.5597629547;12.2662630081;3;26.0812431574;2;16.9125728607;12.0916318893;4;25.7143762112;
15;2;20.7365608215;12.446267128;3;26.2221269608;2;17.9401035309;12.3113050461;4;26.0852768421;
16;2;20.7999572754;12.5;3;26.2560760975;2;18.94962883;12.4808797836;4;26.1558350325;
17;2;22.2016410828;13.0652341843;3;26.2905418873;2;19.9593238831;12.5;3;26.1887089014;
18;2;23.2016410828;13.0807437897;3;26.3255085945;2;20.9691867828;12.5;3;26.2221269608;
