Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;4;20.3999996185;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;11.4200000763;10.1999998093;3;21.7264003754;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;11.5179204941;10.3632001877;3;22.1503716707;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;11.645111084;10.4951858521;3;23.4436560869;
11;1;15.8187427521;11.3658018112;5;23.4745616913;2;12.0330972672;11.0209560394;3;24.6048293114;
12;1;16.8187427521;11.7372808456;5;24.0673980713;2;14.0330963135;11.4571752548;3;25.6552135944;
13;1;17.8187427521;12.0336990356;6;24.5325260162;2;16.0330963135;11.8107032776;4;26.6231446266;
14;1;18.8187427521;12.2662630081;6;24.892534256;2;17.344537735;12.0916318893;3;27.539734602;
15;1;19.8187427521;12.446267128;6;25.0;2;18.4877109528;12.3113050461;3;28.4355552197;
16;1;20.8187427521;12.5;6;25.0;2;19.654712677;12.4808797836;3;29.1173582077;
17;1;21.8187427521;12.5;5;25.0;2;20.847782135;12.5;3;29.8536505699;
18;1;22.8187427521;12.5;5;25.0;2;22.0686683655;12.5;3;30.6858744621;
19;1;23.25;12.5;5;25.0;2;23.2057628632;12.5;4;31.6134753227;
