Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;2;9.19999980927;10.0;3;21.0;
2;1;11.0;10.0;5;20.0;2;9.19999980927;10.0;3;21.0900000334;
3;1;11.0;10.0;6;20.0;2;9.21800041199;10.0;3;21.1871190071;
4;2;11.3000001907;10.0;5;21.0;2;9.23742389679;10.0;2;21.2917383909;
5;2;12.4499998093;10.0;5;21.0900000334;2;10.3875217438;10.0;2;21.4042263031;
6;2;13.4905004501;10.0;5;21.1871190071;2;11.4212675095;10.0;2;21.5249304771;
7;2;14.5342035294;10.0;5;21.7036092281;2;11.4574794769;10.0;2;22.0694183111;
8;2;14.7666244507;10.1999998093;5;22.1564130783;2;11.6208257675;10.1999998093;2;22.5515855551;
9;2;14.9703855515;10.3632001877;5;23.4291926622;2;11.7654762268;10.3632001877;2;22.983014226;
10;2;15.5431365967;10.9097137451;5;24.540822506;2;11.8949041367;10.4951858521;2;24.2738182545;
11;2;17.5431365967;11.3658018112;5;25.5043385029;2;12.2821455002;11.0209560394;2;25.4089095592;
12;2;19.5431365967;11.7372808456;5;26.3401436806;2;14.2821455002;11.4571752548;2;26.4029755592;
13;2;20.8414783478;12.0336990356;5;27.0718023777;2;16.2821464539;11.8107032776;2;27.276881218;
14;2;21.1823120117;12.2662630081;4;27.7228300571;2;17.5406589508;12.0916318893;2;28.0536293983;
15;2;21.4752731323;12.446267128;4;28.1464314461;2;18.6418800354;12.3113050461;2;28.755402565;
16;2;21.6658935547;12.5;4;28.4879314899;2;19.750667572;12.4808797836;3;29.1808357239;
17;2;23.7712097168;12.5;4;28.8545851707;3;20.8668251038;12.5;2;29.5913586617;
18;2;24.9362049103;12.5;4;29.2456488609;3;21.9899806976;12.5;2;30.0233430862;
19;2;26.1121826172;12.5;5;29.659784317;3;23.0070037842;12.5;2;30.4742712975;
20;2;27.2985439301;12.5;6;30.0950183868;3;23.1422805786;12.5;2;30.9409928322;
21;2;27.5427589417;12.5;7;30.5487289429;3;23.2822971344;12.5;2;31.4197778702;
22;2;27.7469291687;12.5;7;31.0176672935;3;23.4259338379;12.5;2;31.906411171;
23;2;27.957950592;12.5;7;31.4980173111;3;23.5719223022;12.5;2;32.3963236809;
24;2;28.1741065979;12.5;7;31.9854974747;3;23.7188968658;12.5;2;32.8847527504;
25;3;28.3934745789;12.5;6;32.4754953384;3;23.8654251099;12.5;2;33.3669252396;
26;3;28.6139717102;12.5;7;32.9632344246;3;24.0100784302;12.5;2;33.8382406235;
27;3;28.8334560394;12.5;7;33.4439563751;3;24.1514720917;12.5;2;34.2944498062;
28;3;29.049779892;12.5;7;33.9131059647;3;24.2883338928;12.5;2;34.7318048477;
29;3;29.2608985901;12.5;7;34.3665065765;3;24.4195404053;12.5;2;35.1471776962;
30;3;27.2608985901;13.5;7;34.8005027771;3;22.4195404053;13.5;3;35.5381307602;
31;3;26.2608985901;14.5;7;35.2120742798;3;22.5;14.5;2;36.9029474258;
32;3;25.2608985901;15.5;7;35.5988998413;3;22.5;13.5;2;37.260617733;
33;3;25.25;16.5;8;35.9593791962;3;22.8059997559;14.5;3;37.590985775;
34;3;25.25;16.8837509155;8;37.2926120758;3;21.5;14.0200977325;4;37.894274354;
35;3;26.25;17.4170455933;8;37.6283466816;3;20.8181743622;13.5;5;38.171197772;
36;3;28.25;19.8999996185;10;37.937489748;3;20.824344635;14.5;5;38.422857523;
37;3;29.7272663116;21.8999996185;10;38.2208230495;3;19.8305702209;13.5;5;38.6506465673;
