Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;2;9.19999980927;10.0;4;21.0;
5;1;12.0;10.0;5;20.0;2;10.3000001907;10.0;4;21.0599999428;
6;2;13.4499998093;10.0;4;21.0;2;11.3179998398;10.0;4;21.1229639053;
7;2;14.4499998093;10.0;4;21.3999996185;2;11.336889267;10.0;4;21.6001901627;
8;2;14.6300001144;10.1999998093;4;21.7264003754;2;11.4800567627;10.1999998093;4;22.0082015991;
9;2;14.7768793106;10.3632001877;4;22.8394274712;2;11.6024608612;10.3632001877;4;22.3582868576;
10;2;15.2777423859;10.9097137451;4;23.7717995644;2;11.7074861526;10.4951858521;4;23.5279067755;
11;2;17.2777423859;11.3658018112;4;24.5351434946;2;12.0583724976;11.0209560394;4;24.5268628597;
12;2;19.2777423859;11.7372808456;3;25.1485489607;2;14.0583724976;11.4571752548;4;25.3691681623;
13;2;20.3052597046;12.0336990356;4;25.6344225407;2;16.0583724976;11.8107032776;5;26.0752547979;
14;2;21.3145961761;12.2662630081;4;26.0153459311;2;17.1801719666;12.0916318893;5;26.6680037975;
15;2;22.3240089417;12.446267128;4;26.1438889503;2;18.2261924744;12.3113050461;5;27.1698563099;
16;2;23.3334922791;12.5;4;26.1651208401;2;19.2750034332;12.4808797836;5;27.3801496029;
17;2;24.3430480957;12.5;4;26.1864993572;2;20.3266181946;12.5;5;27.5615134239;
18;2;25.3526668549;12.5;4;26.2080165148;2;21.3810272217;12.5;5;27.7520513535;
