Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
6;1;13.0;10.0;4;20.0;1;11.0;10.0;5;20.0;
7;1;14.0;10.0;4;20.3999996185;2;11.3000001907;10.0;4;21.3999996185;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;11.4200000763;10.1999998093;4;21.8264003992;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;11.5479202271;10.3632001877;4;22.1992716789;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;11.659781456;10.4951858521;4;23.4054436684;
11;2;16.8187427521;11.3658018112;3;24.4745616913;2;12.0216331482;11.0209560394;4;24.4501843452;
12;2;18.8187427521;11.7372808456;3;25.0973980427;2;14.0216331482;11.4571752548;4;25.3486692905;
13;2;20.2822418213;12.0336990356;4;25.5931169987;2;16.0216331482;11.8107032776;5;26.1225088835;
14;2;21.2960090637;12.2662630081;4;25.984300375;2;17.1943473816;12.0916318893;5;26.7957427502;
15;2;22.3100376129;12.446267128;4;26.1235172749;2;18.2645130157;12.3113050461;5;27.3919057846;
16;2;23.3243255615;12.5;4;26.1558350325;2;19.3416175842;12.4808797836;5;27.7113106251;
17;2;24.3388690948;12.5;4;26.1887089014;2;20.4259662628;12.5;5;28.0173821449;
18;2;25.3536624908;12.5;4;26.2221269608;2;21.5177879333;12.5;4;28.3487696648;
