Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;2;12.4499998093;10.0;4;21.0;1;10.0;10.0;4;20.0;
6;2;13.4499998093;10.0;4;21.0900000334;1;11.0;10.0;4;20.0;
7;2;14.4905004501;10.0;4;21.5980186462;1;11.0;10.0;4;20.3999996185;
8;2;14.7191085815;10.1999998093;4;22.0418490171;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;14.9188308716;10.3632001877;4;23.3017349243;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;15.4857807159;10.9097137451;4;24.3994617462;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;17.4857807159;11.3658018112;4;25.3481024504;2;11.9125738144;11.0209560394;3;23.9143505096;
12;2;19.4857807159;11.7372808456;4;26.1681330204;2;12.1743059158;11.4571752548;3;24.7114065886;
13;2;20.7640724182;12.0336990356;4;26.8832330704;2;14.9125738144;11.8107032776;4;25.3703827858;
14;2;21.097454071;12.2662630081;4;27.5170819759;2;16.9125728607;12.0916318893;4;25.9143484831;
15;2;21.382686615;12.446267128;4;27.923101902;2;18.0000953674;12.3113050461;4;26.3659858704;
16;2;21.5653953552;12.5;4;28.2468910217;2;19.0338420868;12.4808797836;4;26.5249304771;
17;2;23.6627426147;12.5;4;28.5960328579;2;20.0700531006;12.5;4;26.6541694403;
18;2;24.8198566437;12.5;4;28.9701628685;2;21.1088237762;12.5;4;26.7922235727;
